,id,study,study_design,level_evidence,subgroup(s),outcome(s),arm(s)
0,1,Martorell-de (2025),,,,,
1,2,Obradović (2023),,,,,
2,3,Iliopoulos (2017),,,,,
3,4,Valentí (2014),,,,,
4,5,Kautzner (2015),,,,,
5,6,Peterson (2014),,,,,
6,7,Mayr (2014),,,,,
7,8,Seijas (2013),,,,,
8,9,Indelicato (2013),,,,,
9,10,Ward (2011),,,,,
10,11,Cervellin (2012),,,,,
11,12,Drogset (2011),,,,,
12,13,Volpi (2010),,,,,
13,14,Zaffagnini (2011),,,,,
14,15,Nin (2009),,,,,
15,16,Sun (2009),,,,,
16,17,Sun (2009),,,,,
17,18,Dauri (2009),,,,,
18,19,Sun (2009),,,,,
19,20,Ito (2007),,,,,
20,21,Isberg (2006),,,,,
21,22,Harilainen (2006),,,,,
22,23,Kaeding (2005),,,,,
23,24,Nicholas (2004),,,,,
24,25,Decker (2004),,,,,
25,26,Alford (2003),,,,,
26,27,Mikkelsen (2003),,,,,
27,28,Straw (2003),,,,,
28,29,Muren (2003),,,,,
29,30,Otsuka (2003),,,,,
30,31,Drogset (2002),,,,,
31,32,Hoenecke (2002),,,,,
32,33,Nau (2002),,,,,
33,34,Yoshiya (2002),,,,,
34,35,Hess (2002),,,,,
35,36,Follak (2001),,,,,
36,37,McCarty (2001),,,,,
37,38,Webster (2001),,,,,
38,39,Ejerhed (2001),,,,,
39,40,Brandsson (2001),,,,,
40,41,Fink (2000),,,,,
41,42,Amendola (1999),,,,,
42,43,McGuire (1999),,,,,
43,44,van (1998),,,,,
44,45,Popp (1998),,,,,
45,46,Barber (1998),,,,,
46,47,Tohyama (1998),,,,,
47,48,Brandsson (1998),,,,,
48,49,Gerich (1997),,,,,
49,50,Thuresson (1996),,,,,
50,51,Grøntvedt (1995),,,,,
51,52,Barber (1995),,,,,
52,53,Muren (1995),,,,,
53,54,Cameron (1995),,,,,
54,55,Engström (1995),,,,,
55,56,Cerullo (1995),,,,,
56,57,Rosen (1992),,,,,
57,58,Richmond (1991),,,,,
58,59,Engebretsen (1990),,,,,
59,60,Getgood (2024),,,,,
60,61,Low (2024),,,,,
61,62,Ma (2023),,,,,
62,63,Vivekanantha (2023),,,,,
63,64,Mousavi (2023),,,,,
64,65,Saki (2023),,,,,
65,66,Heard (2023),,,,,
66,67,Xu (2022),,,,,
67,68,Jin (2022),,,,,
68,69,Labianca (2022),,,,,
69,70,Santos (2020),,,,,
70,71,Chiang (2019),,,,,
71,72,Kouloumentas (2019),,,,,
72,73,Xiang (2019),,,,,
73,74,Silberberg (2018),,,,,
74,75,Gupta (2017),,,,,
75,76,MacDonald (2018),,,,,
76,77,Tian (2017),,,,,
77,78,Lindström (2015),,,,,
78,79,Gifstad (2014),,,,,
79,80,Iorio (2013),,,,,
80,81,Nakayama (2013),,,,,
81,82,Christensen (2013),,,,,
82,83,Mirzatolooei (2013),,,,,
83,84,"""DAlessandro (2013)",,,,,
84,85,Zhang (2012),,,,,
85,86,Lee (2012),,,,,
86,87,Sun (2011),,,,,
87,88,Sun (2012),,,,,
88,89,Figueroa (2010),,,,,
89,90,Vogrin (2010),,,,,
90,91,Kawano (2011),,,,,
91,92,Ibrahim (2009),,,,,
92,93,Sastre (2010),,,,,
93,94,Benazzo (2008),,,,,
94,95,Capuano (2008),,,,,
95,96,Streich (2008),,,,,
96,97,Gurney (2008),,,,,
97,98,Jepsen (2007),,,,,
98,99,Vadalà (2007),,,,,
99,100,Yagi (2007),,,,,
100,101,Yasuda (2006),,,,,
101,102,Rose (2006),,,,,
102,103,Kim (2006),,,,,
103,104,Sato (2005),,,,,
