"study","graft_type","ni","mi","sdi","yi","vi","sei","zi","pval","ci.lb","ci.ub"
1,"BPTB",100,88,15,88,2.25,1.5,58.6666666666667,0,85.0600540231899,90.9399459768101
2,"BPTB",200,92,10,92,0.5,0.707106781186548,130.107647738325,0,90.6140961756503,93.3859038243497
3,"BPTB",100,88,15,88,2.25,1.5,58.6666666666667,0,85.0600540231899,90.9399459768101
4,"BPTB",200,92,10,92,0.5,0.707106781186548,130.107647738325,0,90.6140961756503,93.3859038243497
5,"BPTB",100,88,15,88,2.25,1.5,58.6666666666667,0,85.0600540231899,90.9399459768101
6,"BPTB",200,92,10,92,0.5,0.707106781186548,130.107647738325,0,90.6140961756503,93.3859038243497
7,"BPTB",200,92,10,92,0.5,0.707106781186548,130.107647738325,0,90.6140961756503,93.3859038243497
1,"QT",100,84,10,84,1,1,84,0,82.0400360154599,85.9599639845401
2,"QT",100,84,9,84,0.81,0.9,93.3333333333333,0,82.2360324139139,85.7639675860861
3,"QT",100,84,10,84,1,1,84,0,82.0400360154599,85.9599639845401
4,"QT",100,84,9,84,0.81,0.9,93.3333333333333,0,82.2360324139139,85.7639675860861
5,"QT",100,84,10,84,1,1,84,0,82.0400360154599,85.9599639845401
6,"QT",100,84,9,84,0.81,0.9,93.3333333333333,0,82.2360324139139,85.7639675860861
7,"QT",100,84,9,84,0.81,0.9,93.3333333333333,0,82.2360324139139,85.7639675860861
