Unnamed: 0,id,source,subgroup,doi,authors,journal,title,abstract,year,first_author,short_title,key
84,85,pubmed,bptb,10.1007/s00167-008-0714-8,"['Sun K', 'Tian S', 'Zhang J', 'Xia C', 'Zhang C', 'Yu T']",Knee Surg Sports Traumatol Arthrosc,"Anterior cruciate ligament reconstruction with BPTB autograft, irradiated versus non-irradiated allograft: a prospective randomized clinical study.","The effect of using gamma irradiation to sterilize bone-patellar tendon-bone (BPTB) allograft on the clinical outcomes of anterior cruciate ligament (ACL) reconstruction with irradiated allograft remains controversial. Our study was aimed to analyze the clinical outcomes of arthroscopic ACL reconstruction with irradiated BPTB allograft compared with non-irradiated allograft and autograft. All BPTB allografts were obtained from a single tissue bank and the irradiated allografts were sterilized with 2.5 Mrad of irradiation prior to distribution. A total of 102 patients undergoing arthroscopic ACL reconstruction were prospectively randomized consecutively into three groups. The same surgical technique was used in all operations done by the same senior surgeon. Before surgery and at the average of 31 months follow-up (range 24-47 months) patients were evaluated by the same observer according to objective and subjective clinical evaluations. Of these patients, 99 (autograft 33, non-irradiated allograft 34, irradiated allograft 32) were available for full evaluation. When compared the irradiated allograft group to non-irradiated allograft group or autograft group at 31 months follow-up by the Lachman test, ADT, pivot shift test and KT-2000 arthrometer testing, statistically significant differences were found. Most importantly, 87.8% of patients in the Auto group, 85.3% in the Non-Ir-Auto group and just only 31.3% in the Ir-Allo group had a side-to-side difference of less than 3 mm according to KT-2000. The failure rate of the ACL reconstruction with irradiated allograft (34.4%) was higher than that with autograft (6.1%) and non-irradiated allograft (8.8%). The anterior and rotational stability decreased significantly in the irradiated allograft group. According to the overall IKDC, functional, subjective evaluations and activity level testing, no statistically significant differences were found between the three groups. However, there was a trend that the functional and activity level decreased and the patients felt uncomfortable more often in the irradiated allograft group. The statistical analysis showed no significant difference between the non-irradiated allograft group and the autograft group according to the aforementioned evaluations, except that patients in the allograft group had a shorter operation time and a longer duration of postoperative fever. When comparing the postoperative duration of fever of the two allograft groups, there was also a trend that the irradiated allograft group was longer than the non-irradiated allograft group, but no significant difference was found. When the patients had a fever, the laboratory examinations of all patients were almost normal (Blood routine was normal, the values of ESR were 5 - 16 mm/h, CRP were 3 - 10 mg/l). On the basis of our study, we concluded that patients undergoing ACL reconstruction with BPTB non-irradiated allograft or autograft had similar clinical outcomes. Non-irradiated BPTB allograft is a reasonable alternative to autograft for ACL reconstruction. While the short term clinical outcomes of the ACL reconstruction with irradiated BPTB allograft were adversely affected with an increased failure rate. The less than satisfactory results led the senior authors to discontinue the use of irradiated BPTB allograft in ACL surgery and not to advocate that gamma irradiation be used as a secondary sterilizing method. Further research into alternatives to gamma irradiation is needed.",2009,Sun,anteriorcruciateligamentrecons,Sun+anteriorcruciateligamentrecons+2009
186,187,wos,ht,10.1016/S0968-0160(01)00062-X,"Beard, DJ; Anderson, JL; Davies, S; Price, AJ; Dodd, CAF",KNEE,Hamstrings vs. patella tendon for anterior cruciate ligament reconstruction: a randomised controlled trial,"A randomised controlled trial was performed to evaluate early outcome for two types of anterior cruciate ligament reconstruction. Sixty patients undergoing cruciate reconstruction were randomized into two groups. Group PT underwent reconstruction using a patella tendon autograft, whereas Group (SG) had a semitendinosus/gracilis autograft (SG). IKDC, Lysholm, and Tegner scores, KT1000 values and muscle strength were recorded pre-operatively, at 6 months and 1 year follow up. The functional scores, activity level, muscle strength and anterior tibial translation improved in both groups. No significant difference between groups was found for any measurement at 6 months and 1 year despite adequate study power. The study indicates that the 1 year results for either technique are equally favourable. (C) 2001 Elsevier Science B.V. All rights reserved.",2001,Beard,hamstringsvspatellatendonforan,Beard+hamstringsvspatellatendonforan+2001
191,192,embase,qt,10.1101/2025.02.09.25321959,"Hendri E.N.M., Hamid M.S.A., Yusoff B.A.H.Md., Mohamad N., Yusof A.",medRxiv (2025). Date of Publication: 10 Feb 2025,Effect of upper limb isometric training (ULIT) on hamstring strength in early postoperative anterior cruciate ligament reconstruction patients: study protocol for a randomized controlled trial,"Anterior cruciate ligament (ACL) injuries impact approximately 68.6 per 100,000 individuals annually, with ACL reconstruction (ACLR) being a common intervention for restoring knee stability in physically active individuals. Despite advancements in surgical techniques and rehabilitation protocols, patients often experience prolonged recovery, hamstring weakness, and neuromuscular deficits, increasing the risk of re-injury and osteoarthritis. Early-phase ACLR rehabilitation primarily focuses on managing pain, swelling, and quadriceps strength, frequently neglecting the critical role of hamstrings in knee stabilization. This leaves a gap in addressing imbalances that hinder functional recovery and return-to-sport timelines. Upper limb isometric training (ULIT) presents an innovative approach to enhance hamstring activation during the early rehabilitation phase. By leveraging the posterior myofascial kinetic chain (PMKC), ULIT indirectly stimulates hamstrings through bilateral static upper limb exercises, such as wall push up, shoulder extension and scapular retraction, promoting neuromuscular coordination and kinetic chain synergy. These exercises mitigate challenges associated with direct hamstring loading, such as arthrogenic muscle inhibition and graft protection needs. Preliminary research suggests upper limb resistance exercise at submaximal voluntary contraction facilitates inter-limb strength gains, improves core abdominals and hamstring activation, and reduces knee imbalances, supporting accelerated recovery and reduced re-injury risk. The ULIT demonstrates potential as an alternative warm-up exercise to promote hamstring activation and enhance overall readiness for physical activity. Emerging findings highlight ULIT as a safe and potentially effective supplementary intervention, but further research is essential to establish its role in ACLR rehabilitation and develop evidence-based protocols. This study aims to evaluate the effects of integrating ULIT into standard care rehabilitation on hamstring strength and physical function in early-phase postoperative ACLR patients with hamstring autograft. The findings could introduce a novel and effective strategy to optimize recovery, enhance functional outcomes, and support a safer return to sport. Trial registration number: ACTRN12624001445561 and available at https://www.anzctr.org.au/Trial/Registration/TrialReview.aspx?id=388441&isReview=true.",2025,Hendri,effectofupperlimbisometrictrai,Hendri+effectofupperlimbisometrictrai+2025
95,96,wos,bptb,10.1177/0363546517694354,"Maletis, GB; Chen, JS; Inacio, MCS; Love, RM; Funahashi, TT",AM J SPORT MED,Increased Risk of Revision After Anterior Cruciate Ligament Reconstruction With Soft Tissue Allografts Compared With Autografts: Graft Processing and Time Make a Difference,"Background: The optimal graft for anterior cruciate ligament reconstruction (ACLR) remains controversial. Purpose: To compare the risk of aseptic revision between bone-patellar tendon-bone (BPTB) autografts, hamstring autografts, and soft tissue allografts. Study Design: Cohort study; Level of evidence, 2. Methods: Prospectively collected ACLR cases reconstructed with BPTB autografts, hamstring autografts, and soft tissue allografts were identified using the Kaiser Permanente ACLR Registry. Aseptic revision was the endpoint. The type of graft and allograft processing method (nonprocessed, <1.8-Mrad irradiation with and without chemical processing [Allowash or AlloTrue], 1.8-Mrad irradiation with and without chemical processing, and chemical processing alone [BioCleanse]) were the exposures evaluated. Analyses were adjusted for age, sex, and race. Kaplan-Meier curves and Cox proportional hazards models were employed. Results: The cohort included 14,015 cases: there were 8924 (63.7%) male patients, there were 6397 (45.6%) white patients, 4557 (32.5%) ACLRs used BPTB autografts, 3751 ACLRs (26.8%) used soft tissue allografts, and 5707 (40.7%) ACLRs used hamstring autografts. The median age was 34.6 years for soft tissue allografts, 24.3 years for hamstring autografts, and 22.0 years for BPTB autografts. The crude nonadjusted revision rates were 85 (1.9%) in BPTB autograft cases, 132 (2.3%) in hamstring autograft cases, and 83 (2.2%) in soft tissue allograft cases. After adjusting for age, sex, and race, compared with hamstring autografts, a higher risk of revision was found with allografts with 1.8 Mrad without chemical processing after 2.5 years (hazard ratio [HR], 3.88; 95% CI, 1.48-10.12) and 1.8 Mrad with chemical processing after 1 year (HR, 3.43; 95% CI, 1.58-7.47) and with BioCleanse processed grafts at any time point (HR, 3.02; 95% CI, 1.40-6.50). Nonprocessed allografts and those irradiated with <1.8 Mrad with or without chemical processing were not found to have a different risk of revision compared with hamstring autografts. Compared with BPTB autografts, a higher risk of revision was seen with hamstring autografts (HR, 1.51; 95% CI, 1.15-1.99) and BioCleanse processed allografts (HR, 4.67; 95% CI, 2.15-10.16). Allografts irradiated with <1.8 Mrad with chemical processing (Allowash or AlloTrue) (HR, 2.19; 95% CI, 1.42-3.38) and without chemical processing (HR, 2.31; 95% CI, 1.40-3.82) had a higher risk of revision, as did allografts with 1.8 Mrad without chemical processing after 2 years (HR, 6.30; 95% CI, 3.18-12.48) and 1.8 Mrad with chemical processing (Allowash or AlloTrue) after 1 year (HR, 5.03; 95% CI, 2.30-11.00) compared with BPTB autografts. Nonprocessed allografts did not have a higher risk of revision compared with autografts. With the numbers available, direct comparisons between the specific allograft processing methods were not possible. Conclusion: When soft tissue allografts are used for ACLR, processing and time from surgery affect the risk of revision. Tissue processing has a significant effect on the risk of revision surgery, which is most profound with more highly processed grafts and increases with increasing follow-up time. Surgeons and patients need to be aware of the increased risks of revision with the various soft tissue allografts used for ACLR.",2017,Maletis,increasedriskofrevisionafteran,Maletis+increasedriskofrevisionafteran+2017
127,128,wos,bptb,10.2106/JBJS.L00724,"Mohammadi, F; Salavati, M; Aldibari, B; Mazaheri, M; Mir, SM; Etemadi, Y",J BONE JOINT SURG AM,Comparison of Functional Outcome Measures After ACL Reconstruction in Competitive Soccer Players A Randomized Trial,"Background: The choice of graft for anterior cruciate ligament (ACL) reconstruction remains controversial. Although many outcome studies comparing bone-patellar tendon-bone and semitendinosus and gracilis tendon grafts have been performed, most have not included tests of functional outcomes that challenge the graft. The objective of the current study was to compare the functional performances of soccer players after ACL reconstruction that was performed with either a bone-patellar tendon-bone or a semitendinosus and gracilis tendon graft. Methods: Forty-two soccer players with unilateral ACL injury were prospectively randomized to a bone-patellar tendonbone group (BPTB group; twenty-one subjects) or a semitendinosus and gracilis tendon group (STG group; twenty-one subjects) and followed a rehabilitation protocol. At the time of return to sports, the patients were asked to execute strength, hop, and jump tests and the results were compared between the groups. Twenty-one healthy athletes were recruited as the control group to evaluate their performance of the same tests. Results: The limbs with the ACL reconstruction in the STG group had greater values for quadriceps torque as well as on the triple-hop, crossover-hop, and jump-landing test (p < 0.01), but the STG and BPTB groups showed similar results in terms of hamstrings peak torque and the results of two other hop tests (p > 0.05). Moreover, the subjects with ACL reconstruction had significantly lower values with regard to quadriceps and hamstrings peak torques and the results of the hop and jump tests compared with the healthy athletes (p < 0.01). Conclusions: At the time of return to sports, the STG group had better performance in terms of quadriceps strength and the results of the triple-hop, crossover-hop, and jump-landing tests compared with the BPTB group. Compared with controls, soccer players who had undergone ACL reconstruction had less quadriceps and hamstrings strength and inferior hop performance and jump-landing strategy.",2013,Mohammadi,comparisonoffunctionaloutcomem,Mohammadi+comparisonoffunctionaloutcomem+2013
118,119,pubmed,bptb,,"['Aglietti P', 'Giron F', 'Buzzi R', 'Biddau F', 'Sasso F']",J Bone Joint Surg Am,"Anterior cruciate ligament reconstruction: bone-patellar tendon-bone compared with double semitendinosus and gracilis tendon grafts. A prospective, randomized clinical trial.","BACKGROUND: The choice of graft for anterior cruciate ligament reconstruction is a matter of debate, with patellar and hamstring tendons being the two most popular autologous graft options. The objective of this study was to determine in a prospective, randomized clinical trial whether two grafts (bone-patellar tendon-bone or doubled hamstring tendons) fixed with modern devices affect the two-year minimum clinical and radiographic outcomes of anterior cruciate ligament reconstruction. METHODS: One hundred and twenty patients with a chronic unilateral rupture of the anterior cruciate ligament underwent arthroscopically assisted reconstruction with use of either autologous bone-patellar tendon-bone or doubled hamstring tendon grafts, in a strictly alternating manner. Both groups were comparable with regard to demographic data, preoperative activity level, mechanism of injury, interval between the injury and the operation, and the amount of knee laxity present preoperatively. The same well-proven surgical technique and aggressive controlled rehabilitation was used. An independent observer, who was blinded with regard to the involved leg and the type of graft, performed the outcome assessment with use of a visual analog scale, the new International Knee Documentation Committee form, the Knee Injury and Osteoarthritis Outcome Score, the Functional Knee Score for Anterior Knee Pain, and an arthrometric and an isokinetic dynamometric evaluation. Radiographs were also made. RESULTS: At the two-year follow-up evaluation, no differences were found in terms of the visual analog score, the Knee Injury and Osteoarthritis Outcome Score, the new International Knee Documentation Committee subjective and objective evaluation scores, the KT-1000 side-to-side laxity measurements, the Functional Knee Score for Anterior Knee Pain, muscle strength recovery, or return to sports activities. In the bone-patellar tendon-bone group, we found a higher prevalence of postoperative kneeling discomfort (p < 0.01) and an increased area of decreased skin sensitivity (p < 0.001). In the hamstring tendon group, we recorded a higher prevalence of femoral tunnel widening (p < 0.01). In this group, a correlation was also found between medial meniscectomy and an increased prevalence of pivot-shift glide (p = 0.035). CONCLUSIONS: We believe that, with use of accurate and proven surgical and rehabilitation techniques, both grafts are an equivalent option for anterior cruciate ligament reconstruction.",2004,Aglietti,anteriorcruciateligamentrecons,Aglietti+anteriorcruciateligamentrecons+2004
317,318,pubmed,ht,,"['Laoruengthana A', 'Pattayakorn S', 'Chotanaputhi T', 'Kosiyatrakul A']",J Med Assoc Thai,"Clinical comparison between six-strand hamstring tendon and patellar tendon autograft in arthroscopic anterior cruciate ligament reconstruction: a prospective, randomized clinical trial.","OBJECTIVE: Many randomized clinical trials demonstrated that 4-strand hamstring tendon grafts have comparable results both subjectively and objectively with the patellar tendon grafts. The authors hypothesized that the increment of hamstring tendons strength with 6-strand graft could improve the knee stability compared to the result from using the gold standard patellar tendon. MATERIAL AND METHOD: Thirty-four patients were prospectively randomized into two groups for arthroscopic anterior cruciate ligament reconstruction. Seventeen patients underwent reconstruction with 6-strand hamstring tendons and the remaining seventeen were treated with bone-patellar tendon-bone graft. Patients were followed-up under the similar rehabilitation protocol for at least 12 months. At the time of final follow-up, all the patients in both groups were evaluated in terms of patient's satisfaction, activity level, and knee stability. RESULTS: Fifteen patients in bone-patellar tendon-bone graft (two lost to follow-up) and thirteen patients used 6-strand hamstring tendons (four were converted to 4-strand hamstring tendons) were evaluated at a mean of 19 months (range 12-31 months). The mean of KT-2000 side-to-side laxity measurement in 6-strand hamstring group (0.96 mm) is less than BPTB group (1.22 mm) significantly (p < 0.05). Eleven of 13 patients (84.62%) that received the 6-strand hamstring tendons could return to sport activities compared to 10 of 15 patients (66.67%) that received BPTB graft. Hamstring group have a lower prevalence of donor-site morbidity resulting in less difficult in kneeling. CONCLUSION: The authors concluded that using 6-strand hamstring tendons could improve knee stability in the early clinical outcomes. With no difference in subjective assessment, anterior cruciate ligament reconstruction used hamstring tendons have less donor-site morbidity, which is more compatible to Asian life-style.",2009,Laoruengthana,clinicalcomparisonbetweensixst,Laoruengthana+clinicalcomparisonbetweensixst+2009
363,364,pubmed,ht,,"['Aglietti P', 'Giron F', 'Buzzi R', 'Biddau F', 'Sasso F']",J Bone Joint Surg Am,"Anterior cruciate ligament reconstruction: bone-patellar tendon-bone compared with double semitendinosus and gracilis tendon grafts. A prospective, randomized clinical trial.","BACKGROUND: The choice of graft for anterior cruciate ligament reconstruction is a matter of debate, with patellar and hamstring tendons being the two most popular autologous graft options. The objective of this study was to determine in a prospective, randomized clinical trial whether two grafts (bone-patellar tendon-bone or doubled hamstring tendons) fixed with modern devices affect the two-year minimum clinical and radiographic outcomes of anterior cruciate ligament reconstruction. METHODS: One hundred and twenty patients with a chronic unilateral rupture of the anterior cruciate ligament underwent arthroscopically assisted reconstruction with use of either autologous bone-patellar tendon-bone or doubled hamstring tendon grafts, in a strictly alternating manner. Both groups were comparable with regard to demographic data, preoperative activity level, mechanism of injury, interval between the injury and the operation, and the amount of knee laxity present preoperatively. The same well-proven surgical technique and aggressive controlled rehabilitation was used. An independent observer, who was blinded with regard to the involved leg and the type of graft, performed the outcome assessment with use of a visual analog scale, the new International Knee Documentation Committee form, the Knee Injury and Osteoarthritis Outcome Score, the Functional Knee Score for Anterior Knee Pain, and an arthrometric and an isokinetic dynamometric evaluation. Radiographs were also made. RESULTS: At the two-year follow-up evaluation, no differences were found in terms of the visual analog score, the Knee Injury and Osteoarthritis Outcome Score, the new International Knee Documentation Committee subjective and objective evaluation scores, the KT-1000 side-to-side laxity measurements, the Functional Knee Score for Anterior Knee Pain, muscle strength recovery, or return to sports activities. In the bone-patellar tendon-bone group, we found a higher prevalence of postoperative kneeling discomfort (p < 0.01) and an increased area of decreased skin sensitivity (p < 0.001). In the hamstring tendon group, we recorded a higher prevalence of femoral tunnel widening (p < 0.01). In this group, a correlation was also found between medial meniscectomy and an increased prevalence of pivot-shift glide (p = 0.035). CONCLUSIONS: We believe that, with use of accurate and proven surgical and rehabilitation techniques, both grafts are an equivalent option for anterior cruciate ligament reconstruction.",2004,Aglietti,anteriorcruciateligamentrecons,Aglietti+anteriorcruciateligamentrecons+2004
364,365,pubmed,ht,,"['Sun K', 'Tang JW', 'Xu Q', 'Liu XY', 'Zhou LG', 'Hao YQ', 'Wang L', 'Sun YJ']",Zhonghua Wai Ke Za Zhi,[A prospective study of the anterior cruciate ligament reconstruction: allograft versus autograft].,"OBJECTIVE: To compare the clinical outcomes and differences of arthroscopic anterior cruciate ligament (ACL) reconstruction by using allografts and autografts. METHODS: Fifty-three patients with grade III ACL injuries were divided randomly into 2 groups. Twenty-five cases of group A with autografts of patellar bone-tendon-bone (B-PT-B;n = 15) and 4 strands of semitendinosus/gracilis (n = 10); 28 patients of group B with allografts of B-PT-B (n = 18), 4 strands of semitendinosus/2 strands of gracilis tendons (n = 6) and double tibialis posterior (n = 4) as well as Achilles bone-tendon (n = 2). All procedures were performed endoscopically by some surgeons. All patients were followed up for 12 to 31 months, average 19 months. RESULTS: There were statistically significant differences revealed in physical examination. IKDC and Lysholm-Tegner Score as well as KT-2000 testing was used preoperation and postoperation for both group, but there were no significant differences between the two groups except that group B had less time in operation and longer time in postoperative fever comparing with group A. (2-sample t test, P < 0.05). The KT-2000 side to side difference less than 3 mm were 88% and 86% and more than 5 mm were 4% and 7.1% respectively. The infection rates were 0% and 3.5% for the two groups. CONCLUSION: The clinical outcomes of the allografts and autografts in ACL reconstruction is almost the same. Allografts are a reasonably alternative choice for ACL reconstruction in patients over middle ages and for multiple ligament surgery as well as revision procedures.",2004,Sun,aprospectivestudyoftheanterior,Sun+aprospectivestudyoftheanterior+2004
380,381,pubmed,ht,,"['Eriksson K', 'Anderberg P', 'Hamberg P', 'Olerud P', 'Wredmark T']",Scand J Med Sci Sports,There are differences in early morbidity after ACL reconstruction when comparing patellar tendon and semitendinosus tendon graft. A prospective randomized study of 107 patients.,"The main objective of this study was to study solely early postoperative morbidity following anterior cruciate ligament (ACL) reconstruction by comparing the gold standard procedure, the bone-patellar tendon-bone graft (BTB), and one of the most common alternatives, the semitendinosus tendon graft (ST). The prospective study included 107 randomized patients (50 BTB and 57 ST). The follow-up period was set to 20-35 weeks postoperatively (mean 26.8 +/- 3.5 weeks). One patient suffered early graft rupture and 89 (84%) of the remaining 106 patients were able to attend the follow-up within the given time limit. There were no differences in sick leave between the groups. The Lysholm score, Tegner activity level score and Visual Analog Scales (VAS) with the questions ""How does your knee function?"" and ""How does your knee affect your activity level?"" revealed no differences between the groups. Subjective patellofemoral pain, patellofemoral compartment findings and donor site morbidity were more common in the BTB group, P < 0.05. Lachman test grade 1+ was more common in the ST group, P < 0.05, but there was no significant difference in instrumented Lachman side-to-side comparison. The ST group scored better in the one-leg hop test than the BTB group, P < 0.05. No correlations between these clinical and functional findings and subjective knee function scores were found. In conclusion, ACL reconstruction with ST tendon graft presented fewer short-term postoperative problems as compared to reconstruction with BTB.",2001,Eriksson,therearedifferencesinearlymorb,Eriksson+therearedifferencesinearlymorb+2001
