Unnamed: 0,id,study,subgroup,authors,first_author,title,short_title,abstract,year,language,journal,source,doi,doi_url,pmid,pmid_url,key
1075,186,Hoher (1997),BPTB,"Hoher J, Kersten D, Bouillon B, Neugebauer E, Tiling T",Hoher,Local and intra-articular infiltration of bupivacaine before surgery: Effect on postoperative pain after anterior cruciate ligament reconstruction,localandintraarticularinfiltrationofbupivacainebef,"In a double-blind, randomized trial, 40 patients undergoing open anterior cruciate ligament (ACL) reconstruction using a bone-patellar tendon-bone autograft were randomly allocated to two groups: group A (n = 20) received an intra-articular instillation of 20 mt bupivacaine (0.25%) and a local infiltration of 20 mt bupivacaine (0.5%) 15 minutes before surgery. Group B (n = 20) received an injection of saline solution in the same manner. Patient-controlled on-demand analgesia (PCA) with intravenous piritramid was used for postoperative pain control. A significant decrease in pain scores on a visual analog scale (VAS scale, 0 to 10) was found in the bupivacaine group (group A) at bedrest on the day of surgery only (pain score, 5.5 v 7.3 (scale, 0 to 10), P < .05). At all other times, no significant differences were found. The overall supplemental opioid requirements were not different between the study groups (63.9 v 62.6 mg piritramid/72 hours). A long-lasting, clinically relevant, pain-reducing effect with infiltration of bupivacaine before surgery could not be shown with this study.",1997,English,ARTHROSCOPY,wos,10.1016/S0749-8063(97)90156-0,https://doi.org/10.1016/S0749-8063(97)90156-0,9127079.0,https://pubmed.ncbi.nlm.nih.gov/9127079/,Hoher+localandintraarticularinfiltrationofbupivacainebef+1997
1076,187,Beard (2001),HT,"Beard DJ, Anderson JL, Davies S, Price AJ, Dodd CAF",Beard,Hamstrings vs. patella tendon for anterior cruciate ligament reconstruction: a randomised controlled trial,hamstringsvspatellatendonforanteriorcruciateligame,"A randomised controlled trial was performed to evaluate early outcome for two types of anterior cruciate ligament reconstruction. Sixty patients undergoing cruciate reconstruction were randomized into two groups. Group PT underwent reconstruction using a patella tendon autograft, whereas Group (SG) had a semitendinosus/gracilis autograft (SG). IKDC, Lysholm, and Tegner scores, KT1000 values and muscle strength were recorded pre-operatively, at 6 months and 1 year follow up. The functional scores, activity level, muscle strength and anterior tibial translation improved in both groups. No significant difference between groups was found for any measurement at 6 months and 1 year despite adequate study power. The study indicates that the 1 year results for either technique are equally favourable. (C) 2001 Elsevier Science B.V. All rights reserved.",2001,English,KNEE,wos,10.1016/S0968-0160(01)00062-X,https://doi.org/10.1016/S0968-0160(01)00062-X,11248568.0,https://pubmed.ncbi.nlm.nih.gov/11248568/,Beard+hamstringsvspatellatendonforanteriorcruciateligame+2001
1017,128,Mohammadi (2013),BPTB,"Mohammadi F, Salavati M, Aldibari B, Mazaheri M, Mir SM, Etemadi Y",Mohammadi,Comparison of Functional Outcome Measures After ACL Reconstruction in Competitive Soccer Players A Randomized Trial,comparisonoffunctionaloutcomemeasuresafteraclrecon,"Background: The choice of graft for anterior cruciate ligament (ACL) reconstruction remains controversial. Although many outcome studies comparing bone-patellar tendon-bone and semitendinosus and gracilis tendon grafts have been performed, most have not included tests of functional outcomes that challenge the graft. The objective of the current study was to compare the functional performances of soccer players after ACL reconstruction that was performed with either a bone-patellar tendon-bone or a semitendinosus and gracilis tendon graft. Methods: Forty-two soccer players with unilateral ACL injury were prospectively randomized to a bone-patellar tendonbone group (BPTB group; twenty-one subjects) or a semitendinosus and gracilis tendon group (STG group; twenty-one subjects) and followed a rehabilitation protocol. At the time of return to sports, the patients were asked to execute strength, hop, and jump tests and the results were compared between the groups. Twenty-one healthy athletes were recruited as the control group to evaluate their performance of the same tests. Results: The limbs with the ACL reconstruction in the STG group had greater values for quadriceps torque as well as on the triple-hop, crossover-hop, and jump-landing test (p < 0.01), but the STG and BPTB groups showed similar results in terms of hamstrings peak torque and the results of two other hop tests (p > 0.05). Moreover, the subjects with ACL reconstruction had significantly lower values with regard to quadriceps and hamstrings peak torques and the results of the hop and jump tests compared with the healthy athletes (p < 0.01). Conclusions: At the time of return to sports, the STG group had better performance in terms of quadriceps strength and the results of the triple-hop, crossover-hop, and jump-landing tests compared with the BPTB group. Compared with controls, soccer players who had undergone ACL reconstruction had less quadriceps and hamstrings strength and inferior hop performance and jump-landing strategy.",2013,English,J BONE JOINT SURG AM,wos,10.2106/JBJS.L00724,https://doi.org/10.2106/JBJS.L00724,23864175.0,https://pubmed.ncbi.nlm.nih.gov/23864175/,Mohammadi+comparisonoffunctionaloutcomemeasuresafteraclrecon+2013
118,119,Aglietti (2004),BPTB,"Aglietti P, Giron F, Buzzi R, Biddau F, Sasso F",Aglietti,"Anterior cruciate ligament reconstruction: bone-patellar tendon-bone compared with double semitendinosus and gracilis tendon grafts. A prospective, randomized clinical trial.",anteriorcruciateligamentreconstruction:bonepatella,"BACKGROUND: The choice of graft for anterior cruciate ligament reconstruction is a matter of debate, with patellar and hamstring tendons being the two most popular autologous graft options. The objective of this study was to determine in a prospective, randomized clinical trial whether two grafts (bone-patellar tendon-bone or doubled hamstring tendons) fixed with modern devices affect the two-year minimum clinical and radiographic outcomes of anterior cruciate ligament reconstruction. METHODS: One hundred and twenty patients with a chronic unilateral rupture of the anterior cruciate ligament underwent arthroscopically assisted reconstruction with use of either autologous bone-patellar tendon-bone or doubled hamstring tendon grafts, in a strictly alternating manner. Both groups were comparable with regard to demographic data, preoperative activity level, mechanism of injury, interval between the injury and the operation, and the amount of knee laxity present preoperatively. The same well-proven surgical technique and aggressive controlled rehabilitation was used. An independent observer, who was blinded with regard to the involved leg and the type of graft, performed the outcome assessment with use of a visual analog scale, the new International Knee Documentation Committee form, the Knee Injury and Osteoarthritis Outcome Score, the Functional Knee Score for Anterior Knee Pain, and an arthrometric and an isokinetic dynamometric evaluation. Radiographs were also made. RESULTS: At the two-year follow-up evaluation, no differences were found in terms of the visual analog score, the Knee Injury and Osteoarthritis Outcome Score, the new International Knee Documentation Committee subjective and objective evaluation scores, the KT-1000 side-to-side laxity measurements, the Functional Knee Score for Anterior Knee Pain, muscle strength recovery, or return to sports activities. In the bone-patellar tendon-bone group, we found a higher prevalence of postoperative kneeling discomfort (p < 0.01) and an increased area of decreased skin sensitivity (p < 0.001). In the hamstring tendon group, we recorded a higher prevalence of femoral tunnel widening (p < 0.01). In this group, a correlation was also found between medial meniscectomy and an increased prevalence of pivot-shift glide (p = 0.035). CONCLUSIONS: We believe that, with use of accurate and proven surgical and rehabilitation techniques, both grafts are an equivalent option for anterior cruciate ligament reconstruction.",2004,English,J Bone Joint Surg Am,pubmed,,,15466722.0,https://pubmed.ncbi.nlm.nih.gov/15466722/,Aglietti+anteriorcruciateligamentreconstruction:bonepatella+2004
317,318,Laoruengthana (2009),HT,"Laoruengthana A, Pattayakorn S, Chotanaputhi T, Kosiyatrakul A",Laoruengthana,"Clinical comparison between six-strand hamstring tendon and patellar tendon autograft in arthroscopic anterior cruciate ligament reconstruction: a prospective, randomized clinical trial.",clinicalcomparisonbetweensixstrandhamstringtendona,"OBJECTIVE: Many randomized clinical trials demonstrated that 4-strand hamstring tendon grafts have comparable results both subjectively and objectively with the patellar tendon grafts. The authors hypothesized that the increment of hamstring tendons strength with 6-strand graft could improve the knee stability compared to the result from using the gold standard patellar tendon. MATERIAL AND METHOD: Thirty-four patients were prospectively randomized into two groups for arthroscopic anterior cruciate ligament reconstruction. Seventeen patients underwent reconstruction with 6-strand hamstring tendons and the remaining seventeen were treated with bone-patellar tendon-bone graft. Patients were followed-up under the similar rehabilitation protocol for at least 12 months. At the time of final follow-up, all the patients in both groups were evaluated in terms of patient's satisfaction, activity level, and knee stability. RESULTS: Fifteen patients in bone-patellar tendon-bone graft (two lost to follow-up) and thirteen patients used 6-strand hamstring tendons (four were converted to 4-strand hamstring tendons) were evaluated at a mean of 19 months (range 12-31 months). The mean of KT-2000 side-to-side laxity measurement in 6-strand hamstring group (0.96 mm) is less than BPTB group (1.22 mm) significantly (p < 0.05). Eleven of 13 patients (84.62%) that received the 6-strand hamstring tendons could return to sport activities compared to 10 of 15 patients (66.67%) that received BPTB graft. Hamstring group have a lower prevalence of donor-site morbidity resulting in less difficult in kneeling. CONCLUSION: The authors concluded that using 6-strand hamstring tendons could improve knee stability in the early clinical outcomes. With no difference in subjective assessment, anterior cruciate ligament reconstruction used hamstring tendons have less donor-site morbidity, which is more compatible to Asian life-style.",2009,English,J Med Assoc Thai,pubmed,,,19374299.0,https://pubmed.ncbi.nlm.nih.gov/19374299/,Laoruengthana+clinicalcomparisonbetweensixstrandhamstringtendona+2009
363,364,Aglietti (2004),HT,"Aglietti P, Giron F, Buzzi R, Biddau F, Sasso F",Aglietti,"Anterior cruciate ligament reconstruction: bone-patellar tendon-bone compared with double semitendinosus and gracilis tendon grafts. A prospective, randomized clinical trial.",anteriorcruciateligamentreconstruction:bonepatella,"BACKGROUND: The choice of graft for anterior cruciate ligament reconstruction is a matter of debate, with patellar and hamstring tendons being the two most popular autologous graft options. The objective of this study was to determine in a prospective, randomized clinical trial whether two grafts (bone-patellar tendon-bone or doubled hamstring tendons) fixed with modern devices affect the two-year minimum clinical and radiographic outcomes of anterior cruciate ligament reconstruction. METHODS: One hundred and twenty patients with a chronic unilateral rupture of the anterior cruciate ligament underwent arthroscopically assisted reconstruction with use of either autologous bone-patellar tendon-bone or doubled hamstring tendon grafts, in a strictly alternating manner. Both groups were comparable with regard to demographic data, preoperative activity level, mechanism of injury, interval between the injury and the operation, and the amount of knee laxity present preoperatively. The same well-proven surgical technique and aggressive controlled rehabilitation was used. An independent observer, who was blinded with regard to the involved leg and the type of graft, performed the outcome assessment with use of a visual analog scale, the new International Knee Documentation Committee form, the Knee Injury and Osteoarthritis Outcome Score, the Functional Knee Score for Anterior Knee Pain, and an arthrometric and an isokinetic dynamometric evaluation. Radiographs were also made. RESULTS: At the two-year follow-up evaluation, no differences were found in terms of the visual analog score, the Knee Injury and Osteoarthritis Outcome Score, the new International Knee Documentation Committee subjective and objective evaluation scores, the KT-1000 side-to-side laxity measurements, the Functional Knee Score for Anterior Knee Pain, muscle strength recovery, or return to sports activities. In the bone-patellar tendon-bone group, we found a higher prevalence of postoperative kneeling discomfort (p < 0.01) and an increased area of decreased skin sensitivity (p < 0.001). In the hamstring tendon group, we recorded a higher prevalence of femoral tunnel widening (p < 0.01). In this group, a correlation was also found between medial meniscectomy and an increased prevalence of pivot-shift glide (p = 0.035). CONCLUSIONS: We believe that, with use of accurate and proven surgical and rehabilitation techniques, both grafts are an equivalent option for anterior cruciate ligament reconstruction.",2004,English,J Bone Joint Surg Am,pubmed,,,15466722.0,https://pubmed.ncbi.nlm.nih.gov/15466722/,Aglietti+anteriorcruciateligamentreconstruction:bonepatella+2004
364,365,Sun (2004),HT,"Sun K, Tang JW, Xu Q, Liu XY, Zhou LG, Hao YQ, Wang L, Sun YJ",Sun,[A prospective study of the anterior cruciate ligament reconstruction: allograft versus autograft].,aprospectivestudyoftheanteriorcruciateligamentreco,"OBJECTIVE: To compare the clinical outcomes and differences of arthroscopic anterior cruciate ligament (ACL) reconstruction by using allografts and autografts. METHODS: Fifty-three patients with grade III ACL injuries were divided randomly into 2 groups. Twenty-five cases of group A with autografts of patellar bone-tendon-bone (B-PT-B;n = 15) and 4 strands of semitendinosus/gracilis (n = 10); 28 patients of group B with allografts of B-PT-B (n = 18), 4 strands of semitendinosus/2 strands of gracilis tendons (n = 6) and double tibialis posterior (n = 4) as well as Achilles bone-tendon (n = 2). All procedures were performed endoscopically by some surgeons. All patients were followed up for 12 to 31 months, average 19 months. RESULTS: There were statistically significant differences revealed in physical examination. IKDC and Lysholm-Tegner Score as well as KT-2000 testing was used preoperation and postoperation for both group, but there were no significant differences between the two groups except that group B had less time in operation and longer time in postoperative fever comparing with group A. (2-sample t test, P < 0.05). The KT-2000 side to side difference less than 3 mm were 88% and 86% and more than 5 mm were 4% and 7.1% respectively. The infection rates were 0% and 3.5% for the two groups. CONCLUSION: The clinical outcomes of the allografts and autografts in ACL reconstruction is almost the same. Allografts are a reasonably alternative choice for ACL reconstruction in patients over middle ages and for multiple ligament surgery as well as revision procedures.",2004,Chinese,Zhonghua Wai Ke Za Zhi,pubmed,,,15363236.0,https://pubmed.ncbi.nlm.nih.gov/15363236/,Sun+aprospectivestudyoftheanteriorcruciateligamentreco+2004
380,381,Eriksson (2001),HT,"Eriksson K, Anderberg P, Hamberg P, Olerud P, Wredmark T",Eriksson,There are differences in early morbidity after ACL reconstruction when comparing patellar tendon and semitendinosus tendon graft. A prospective randomized study of 107 patients.,therearedifferencesinearlymorbidityafteraclreconst,"The main objective of this study was to study solely early postoperative morbidity following anterior cruciate ligament (ACL) reconstruction by comparing the gold standard procedure, the bone-patellar tendon-bone graft (BTB), and one of the most common alternatives, the semitendinosus tendon graft (ST). The prospective study included 107 randomized patients (50 BTB and 57 ST). The follow-up period was set to 20-35 weeks postoperatively (mean 26.8 +/- 3.5 weeks). One patient suffered early graft rupture and 89 (84%) of the remaining 106 patients were able to attend the follow-up within the given time limit. There were no differences in sick leave between the groups. The Lysholm score, Tegner activity level score and Visual Analog Scales (VAS) with the questions ""How does your knee function?"" and ""How does your knee affect your activity level?"" revealed no differences between the groups. Subjective patellofemoral pain, patellofemoral compartment findings and donor site morbidity were more common in the BTB group, P < 0.05. Lachman test grade 1+ was more common in the ST group, P < 0.05, but there was no significant difference in instrumented Lachman side-to-side comparison. The ST group scored better in the one-leg hop test than the BTB group, P < 0.05. No correlations between these clinical and functional findings and subjective knee function scores were found. In conclusion, ACL reconstruction with ST tendon graft presented fewer short-term postoperative problems as compared to reconstruction with BTB.",2001,English,Scand J Med Sci Sports,pubmed,,,11374431.0,https://pubmed.ncbi.nlm.nih.gov/11374431/,Eriksson+therearedifferencesinearlymorbidityafteraclreconst+2001
466,467,Iamaroon (2016),QT,"Iamaroon A, Tamrongchote S, Sirivanasandha B, Halilamien P, Lertwanich P, Surachetpong S, Rungwattanakit P",Iamaroon,Femoral Nerve Block versus Intra-Articular Infiltration: A Preliminary Study of Analgesic Effects and Quadriceps Strength in Patients Undergoing Arthroscopic Anterior Cruciate Ligament Reconstruction.,femoralnerveblockversusintraarticularinfiltration:,"BACKGROUND: Adequate analgesia and early rehabilitation is necessary for arthroscopic anterior cruciate ligament reconstruction (A CLR) surgery. OBJECTIVE: To compare analgesia and quadriceps strength after femoral nerve block (FNB) with intra-articular infiltration (IA) using 0.25% bupivacaine for ACLR with patella tendon graft. MATERIAL AND METHOD: Forty patients were randomized to receive FNB under ultrasound guidance with 20 mL of bupivacaine or IA with 15 mL of bupivacaine into the knee joint and 5 mL infiltrated along the incision sites including portal sites at the end of surgery. All patients received intravenous ketorolac at wound closure. Data regarding demographic, time to first pain, time to first morphine requirement, morphine usage, pain scores and quadriceps strength were recorded. RESULTS: Significant difference in quadriceps strength was shown. Ninety percent of patients in Group IA and fifty-five percent of patients in Group FNB had good ability to extend knee at 24 hours after surgery (p = 0.013). No differences were found in demographic data, time to first pain, time to first morphine requirement, post operative pain scores and morphine consumption, CONCLUSION: The preliminary results demonstrated that IA has an effect on quadriceps strength less than FNB while provide comparable postoperative analgesia after patellar tendon graft ACLR.",2016,English,J Med Assoc Thai,pubmed,,,27501614.0,https://pubmed.ncbi.nlm.nih.gov/27501614/,Iamaroon+femoralnerveblockversusintraarticularinfiltration:+2016
480,481,Iamaroon (2014),QT,"Iamaroon A, Tangwiwat S, Sirivanasandha B, Halilamien P, Lertpenmetha Y, Sirimaneewattana S, Surachetpong S, Puangchan S",Iamaroon,Femoral nerve block using 0.25% or 0.5% bupivacaine for analgesia after arthroscopic anterior cruciate ligament reconstruction.,femoralnerveblockusing025%or05%bupivacaineforanalg,"BACKGROUND: Femoral nerve block (FNB) with varying concentrations of bupivacaine is often used for postoperative analgesia after anterior cruciate ligament (ACL) reconstruction. OBJECTIVE: To determine whether FNB using 0.25% or 0.5% bupivacaine provided better analgesia with less effect on quadriceps strengths after ACL reconstruction. MATERIAL AND METHOD: One hundred patients were randomized to receive FNB with 20 mL of 0.25% or 0.5% bupivacaine. Data regarding demographic, effectiveness of FNB, time to first pain, time to first analgesic, pain scores, morphine use, and recovery of sensory and motor function were recorded. RESULTS: Median time to first morphine requirement was 12 hours in 0.5% bupivacaine group and 10 hours in 0.25% bupivacaine group (p = 0.048). Pain score at 18 hours was lower in 0.5% bupivacaine group compared with 0.25% bupivacaine group (p = 0.001). When specify to the patellar tendon graft subgroup, the patients requiring morphine were 70% in 0.5% bupivacaine group and 90% in 0.25% bupivacaine group (p = 0.03). No differences were found in demographic data, effectiveness of FNB, time to first pain, morphine consumption, and recovery of sensorimotor function. CONCLUSION: FNB with 0.5% bupivacaine provided longer time to first analgesic and lower narcotic requirements after patellar tendon graft ACL reconstruction when compared to 0.25% bupivacaine. Both concentrations showed similar effect on quadriceps strengths.",2014,English,J Med Assoc Thai,pubmed,,,25265770.0,https://pubmed.ncbi.nlm.nih.gov/25265770/,Iamaroon+femoralnerveblockusing025%or05%bupivacaineforanalg+2014
