,id,study,subgroup,title,abstract,year,doi,url,title_abstract_screening
0,2,Martorell-de 2025,bptb,Patellar bone defect grafting does not reduce anterior knee pain after bone-patellar tendon-bone anterior cruciate ligament reconstruction.,"PURPOSE: Donor site morbidity is the main drawback to using bone-patellar tendon-bone (BPTB) as a graft in anterior cruciate ligament (ACL) reconstruction. The objective of the study was to determine whether refilling the patellar bone defect after BPTB harvesting with autograft bone decreased kneeling pain to a greater degree when compared with a group in which bone defect is left unaddressed. METHODS: This is a randomised single-blinded controlled study. Forty patients were randomised into two groups; group 1: Patellar bone defect filled with autologous bone; group 2: Bone defect left undressed. Pain was measured by means of pressure algometry (PA). Functional outcomes were measured with the Kujala and Victorian Institute of Sport Assessment-Patella (VISA-P) score. Magnetic resonance imaging (MRI) was done to measure bone buildup between groups at the 1-year follow-up. RESULTS: No differences were observed in the different algometry measurements and the scores were assessed at 3, 6 and 12 months postoperatively. The ratio of void filled remained consistently higher (p = 0.003) in group 1 when compared to group 2. CONCLUSIONS: Although refilling the lower pole of the patella with autologous bone from the harvested BPTB autograft loads the bone defect, it does not reduce pain at the donor site 1 year after surgery. LEVEL OF EVIDENCE: Level 1, therapeutic study.",2025,10.1002/ksa.12449,https://doi.org/10.1002/ksa.12449,yes
1,4,Obradović 2023,bptb,Tubularization of Bone-Tendon-Bone Grafts: Effects on Mechanical Strength and Postoperative Knee Stability in Anterior Cruciate Ligament Reconstruction.,"Background and Objectives: The study addresses a significant limitation in applying bone-patellar tendon-bone (BTB) grafts in anterior cruciate ligament (ACL) surgery. By exploring the tubularization of grafts, the study extends the understanding of this surgical technique. The dual approach of the study-focusing on biomechanical properties using an animal model and postoperative outcomes in humans-offers a comprehensive perspective. Materials and Methods: The experimental cohort encompassed ten pairs of fresh porcine bone-tendon-bone grafts. One graft in each pair underwent modification through sutures that transformed the flat graft into a cylindrical structure. Testing determined the force required for the modified graft to rupture mechanically, expressed as N/mm(2), compared to conventionally prepared bone-tendon-bone grafts. The second phase of the research involved a prospective randomized clinical trial comprising 120 patients undergoing operative ACL reconstruction. For half the cases, grafts were tubularized using a random selection process. Clinical evaluations preoperatively and 12 months postoperatively employed the Tegner, Lysholm, and IKDC scoring scales for knee assessment. Results: Experiments showed that ligaments made using the tubularized surgical technique have statistically significantly higher values of measured force and higher maximum elongation values than ligaments made using the classical method. The clinical study concluded that there was no significant difference between the two groups of patients in the average score on the Tegner, Lysholm, and IKDC scales before and after surgery. Conclusions: The study results showed that suturing the graft does not negatively affect its biomechanical properties, and tubularization significantly increases the values of force required to cause rupture and the values of maximum elongation during rupture. Given the possibility of the one-year follow-up period being insufficient, future investigations should extend this period to acquire objective functional insights post-surgery.",2023,10.3390/medicina59101764,https://doi.org/10.3390/medicina59101764,yes
2,26,Biswal 2016,bptb,Correlation of tunnel widening and tunnel positioning with short-term functional outcomes in single-bundle anterior cruciate ligament reconstruction using patellar tendon versus hamstring graft: a prospective study.,"OBJECTIVE: To study the correlation between tunnel widening and tunnel position with short-term functional outcomes post-ACL reconstruction with patellar tendon and hamstring autografts in young adults. MATERIALS AND METHODS: A total of 33 patients who underwent ACL reconstruction between October 2013 and February 2015 were included and followed up for 6 months. A standardized surgical technique was used for each graft type. Intra-op arthroscopy findings and drilled tunnel diameters were noted. They were followed up for 3 and 6 months. Radiological assessment was done at 3 and 6 months with clinical score assessment at 6 months. RESULTS: At 6 months, clinical scores were comparable in both groups. Tunnel widening in both femoral and tibial tunnel at 3 and 6 months were significantly higher in STG group (p values <0.05). The rate of widening was higher in 0-3 months and reduced in 3-6 months. There was statistically significant negative correlation between femoral tunnel widening by CT and IKDC score at 6 months (p value 0.049). We found a positive correlation between posterior positioning of femoral tunnel and Lysholm and IKDC scores. The correlation with Lysholm scores was statistically significant (p value 0.046). CONCLUSION: To conclude, tunnel widening is more with hamstrings graft. Femoral tunnel widening has significant negative correlation with that of IKDC scores at 6 months. Posterior femoral tunnel positioning and Lysholm scores at 6 months had significant correlation.",2016,10.1007/s00590-016-1809-4,https://doi.org/10.1007/s00590-016-1809-4,yes
3,27,Iliopoulos 2017,bptb,Anatomic single-bundle anterior cruciate ligament reconstruction improves walking economy: hamstrings tendon versus patellar tendon grafts.,"PURPOSE: Anterior cruciate ligament (ACL) injury is associated with a pathologic gait pattern and increased energy cost during locomotion. ACL reconstruction could improve the gait pattern. Hamstrings tendon (HAM) and bone-patellar tendon-bone (BPTB) grafts are usually used for reconstruction. The aim of this study was to compare the efficacy of anatomic ACL reconstruction with HAM and BPTB grafts on improving and normalizing the energy cost and physiologic reserves during flat, uphill, and downhill walking. METHODS: Twenty male subjects with unilateral ACL injuries were randomly assigned to ACL reconstruction with a HAM (n = 10) or BPTB (n = 10) graft. Ten matched controls were also enrolled. All participants performed three 8-min walking tasks at 0, +10, and -10 % gradients before and 9 months after surgery. Energy cost (oxygen consumption, VO(2)), heart rate (HR), and ventilation (VE) were measured. Lysholm/IKDC scores were recorded. RESULTS: Pre-operatively, VO(2), HR, and VE were higher in the HAM and BPTB groups than in controls during walking at 0, +10, and -10 % gradients (p < 0.001-0.01). Post-operatively, both HAM and BPTB groups showed reduced VO(2), HR, and VE during the three walking tasks (p < 0.001-0.01). Although the post-operative VO(2) in both surgical groups reached 90-95 % of the normative (control) value during walking, it remained elevated against the value observed in controls (p < 0.001-0.01). The HAM and BPTB groups showed no differences in post-surgical VO(2) or HR during walking at all three gradients. CONCLUSION: Anatomic ACL reconstruction with either HAM or BPTB graft resulted in similar short-term improvements in energy cost and nearly normalized locomotion economy and cardiorespiratory reserves during flat, uphill, and downhill walking. The improved locomotion economy is an additional benefit of anatomic ACL reconstruction, irrespective of the type of graft used, that the orthopaedic surgeons should consider. LEVEL OF EVIDENCE: II.",2017,10.1007/s00167-016-4229-4,https://doi.org/10.1007/s00167-016-4229-4,yes
4,37,Valentí 2014,bptb,Comparison between two different platelet-rich plasma preparations and control applied during anterior cruciate ligament reconstruction. Is there any evidence to support their use?,"INTRODUCTION: To compare the clinical, analytical and graft maturation effects of two different platelet-rich plasma (PRP) preparations applied during anterior cruciate ligament (ACL) reconstruction. MATERIALS AND METHODS: A total of 150 patients with ACL disruption were included in the study. Arthroscopic ACL reconstruction with patellar tendon allograft was conducted on all knees using the same protocol. One hundred patients were prospectively randomised to either a group to receive double-spinning platelet-enriched gel (PRP) with leukocytes (n=50) or to a non-gel group (n=50). Finally, we included 50 patients treated with a platelet-rich preparation from a single-spinning procedure (PRGF Endoret((R)) Technology) without leukocytes. Inflammatory parameters, including C-reactive protein (CRP) and knee perimeters (PER), were measured 24 hours and 10 days after surgery. Postoperative pain score (visual analogue score [VAS]) was recorded the day after surgery. Follow-up visits occurred postoperatively at 3, 6, and 12 months. The International Knee Documentation Committee scale (IKDC) was included to compare functional state, and MRI was conducted 6 months after surgery. RESULTS: The PRGF group showed a statistically significant improvement in swelling and inflammatory parameters compared with the other two groups at 24 hours after surgery (p<0.05). The results did not show any significant differences between groups for MRI and clinical scores. CONCLUSIONS: PRGF used in ACL allograft reconstruction was associated with reduced swelling; however, the intensity and uniformity of the graft on MRI were similar in the three groups, and there was no clinical or pain improvement compared with the control group. LEVEL OF EVIDENCE: II.",2014,10.1016/S0020-1383(14)70008-7,https://doi.org/10.1016/S0020-1383(14)70008-7,yes
5,40,Kautzner 2015,bptb,A comparison of ACL reconstruction using patellar tendon versus hamstring autograft in female patients: a prospective randomised study.,"PURPOSE: The incidence of an anterior cruciate ligament (ACL) tear is highest in female patients; however, it is not apparent whether graft choice affects clinical results. The aim of this prospective randomised study was to evaluate clinical results of an ACL reconstruction using patellar tendon [bone-patellar tendon-bone (BTB)] or hamstring graft (HS) in female patients. METHODS: Inclusion criteria were traumatic instability, no signs of osteoarthritis, no previous instability and no contralateral knee instability. Inclusion criteria were met in 150 patients, mean age 26 (17-47) years. Patients were randomised into two groups of 75 patients according to graft type; all had the same rehabilitation protocol. Tegner Lysholm knee score and stability were evaluated pre-operatively and one and two years postoperatively. The difference between groups was statistically evaluated using unpaired t test. RESULTS: Of the 150 patients, all completed one year follow-up; three were lost to follow-up at two years. There was no significant difference in functional scores and knee stability between groups. The HS group had significantly less anterior knee pain in the first six months postoperatively. CONCLUSION: ACL reconstruction significantly improves clinical results and stability of the knee. Difference in Lysholm score and stability between groups was not significant. Neither group showed higher tendency to graft failure within two years. Graft choice for reconstruction in female patients should be surgeon specific and individualised, as both grafts studied achieved comparable results.",2015,10.1007/s00264-014-2495-7,https://doi.org/10.1007/s00264-014-2495-7,yes
6,46,Peterson 2014,bptb,Long-term results of a randomized study on anterior cruciate ligament reconstruction with or without a synthetic degradable augmentation device to support the autograft.,"PURPOSE: The aim was to compare the outcome of anterior cruciate ligament (ACL) reconstruction with bone-patellar tendon-bone (BPTB) autograft, with and without a poly(urethane urea) augmentation device. METHODS: Patients were randomized to BPTB reconstruction with a synthetic degradable augmentation device (n = 96) or without augmentation (n = 105). Follow-ups were made during 4 years after surgical treatment with the KT1000 arthrometer for objective evaluation of sagittal stability. The Tegner scoring system for assessment of physical activity level and the Knee injury Osteoarthritis Outcome Score (KOOS) for assessment of knee-specific health were evaluated after 4 and 12 years. RESULTS: KT1000 tests showed a significant decrease in mean manual maximum side-to-side difference after 4 years in both patients with and those without augmentation, without any statistical difference between the groups (n.s.). Pre-injury, 76 and 80% of the patients, respectively, reported Tegner level 7-10. Pre-surgery, the corresponding figures were 6 and 5%, and at 4 years, 33 and 30 %. Twelve years after ACL reconstruction, both groups had significantly higher KOOS scores in function in sports and recreational activities (p < 0.001) and knee-related quality of life (p < 0.001) compared to before surgical treatment. In 10 patients, the augmentation device was removed, in six of these because of insufficient screw fixation to femur and in four due to swelling/hydrops. CONCLUSION: This study showed no significant difference in clinical outcome with use of an additional synthetic augmentation device in a single-bundle BPTB ACL reconstruction compared with non-augmentation, in short, intermediate, or long-term perspective. LEVEL OF EVIDENCE: Therapeutic study, Level I.",2014,10.1007/s00167-013-2636-3,https://doi.org/10.1007/s00167-013-2636-3,yes
7,50,Mayr 2014,bptb,Brace or no-brace after ACL graft? Four-year results of a prospective clinical trial.,"PURPOSE: A controversial discussion is held on using stabilizing knee braces after anterior cruciate ligament (ACL) surgery. The current study investigated the influence of a stabilizing knee brace on results after ACL reconstruction using patellar tendon autografts. METHODS: A prospective randomized study was started including 64 patients divided into two equal groups and treated with or without a stabilizing knee brace for 6 weeks post-operatively. A follow-up examination 4 years after operation comprised IKDC 2000, KT1000 measurement, a visual analogue pain scale (VAS; scores 0-10) and radiographic evaluation. The t test for independent and paired samples and the Pearson's Chi-square test were used for statistical analysis (p < 0.05). The primary endpoint was the difference in IKDC classification. RESULTS: Eighty-one per cent of the patients were examined 4 years post-operatively. IKDC 2000 subjective (brace group 90.5 +/- 8.9, braceless group 93.2 +/- 6.1) and objective results (brace A 30%, B 56%, C 16%; braceless A 32%, B 48%, C 20%) and instrumental measurement of anteroposterior laxity with KT1000 (brace 0.6 +/- 2.4 mm, braceless 1.8 +/- 3.4 mm) showed no significant differences. VAS pain results were significantly better in the braceless group at 1.0 +/- 1.2 versus 1.9 +/- 1.4 under sports activity or heavy physical work (p = 0.015). There were no radiographic differences concerning osteoarthritic findings and tunnel widening between the groups. CONCLUSION: Post-operative treatment with a stabilizing knee brace after ACL replacement showed no advantage over treatment without a brace at 4-year follow-up. The use of a knee-stabilizing brace after isolated ACL reconstruction with autologous patellar tendon graft is not recommended. LEVEL OF EVIDENCE: II.",2014,10.1007/s00167-013-2564-2,https://doi.org/10.1007/s00167-013-2564-2,yes
8,51,Seijas 2013,bptb,Magnetic resonance imaging evaluation of patellar tendon graft remodelling after anterior cruciate ligament reconstruction with or without platelet-rich plasma.,"PURPOSE: To evaluate the stages of patellar tendon graft remodelling using magnetic resonance imaging (MRI) after anterior cruciate ligament (ACL) reconstruction with or without platelet-rich plasma (PRP) injection. METHODS: 98 patients aged 18 to 65 years with complete rupture of the ACL were randomised to undergo reconstruction with the autologous patellar tendon grafts with or without PRP injection. For the PRP group, 8 ml of PRP was obtained in the surgery room and was percutaneously injected into the suprapatellar joint after portal suture. MRI was obtained at months 4, 6, and 12. Remodelling stages of the grafts were classified as hypointense, mildly hyperintense, moderately hyperintense, severely hyperintense, and diffusely hyperintense by a radiologist blinded to treatment allocation. RESULTS: More patients in the PRP group than controls attained higher stages of remodelling at month 4 (p=0.003), month 6 (p=0.0001), and month 12 (p=0.354). CONCLUSION: PRP enabled faster remodelling of patellar tendon grafts.",2013,10.1177/230949901302100105,https://doi.org/10.1177/230949901302100105,yes
9,52,Indelicato 2013,bptb,Aseptically processed and chemically sterilized BTB allografts for anterior cruciate ligament reconstruction: a prospective randomized study.,"PURPOSE: To compare the clinical outcomes of bone-patellar tendon-bone (BTB) allografts processed via a novel sterilization system with the traditional aseptically processed BTB allografts for anterior cruciate ligament (ACL) reconstruction. METHODS: A total of 67 patients undergoing ACL reconstruction at 6 independent investigation sites were randomized into one of two intervention groups, BioCleanse-sterilized or aseptic BTB allografts. Inclusion criteria included an acute, isolated, unilateral ACL tear, and exclusion criteria included prior ACL injury, multi-ligament reconstruction, and signs of degenerative joint disease. Post-op examiners and patients were blinded to graft type. Patients were evaluated at 6, 12, and 24 months. Clinical outcomes were compared using the IKDC, a KT-1000 knee arthrometer, level of effusion, and ranges of motion (ROM). RESULTS: After randomization, 24 patients received aseptic BTB allografts and 43 patients received BioCleanse-sterilized allografts. Significant improvement in IKDC scores (P < 0.0001) as well as KT-1000 results (P < 0.0001) was noted over the 24-month period for both groups. IKDC or KT-1000 results were not significantly different between groups at any time point. Active flexion ROM significantly improved from pre-op to 24-month follow-up (P < 0.0001) with no difference between groups at any time point. Active extension ROM did not differ significantly between the two groups. CONCLUSIONS: These results indicate that the sterilization process, BioCleanse, did not demonstrate a statistical difference in clinical outcomes for the BTB allograft at 2 years. The BioCleanse process may provide surgeons with allografts clinically similar to aseptically processed allograft tissue with the benefit of addressing donor-to-recipient disease. LEVEL OF EVIDENCE: II.",2013,10.1007/s00167-012-2309-7,https://doi.org/10.1007/s00167-012-2309-7,yes
