,Unnamed: 0,id,study,subgroup,authors,first_author,title,short_title,abstract,year,language,journal,source,doi,doi_url,pmid,pmid_url,title+author+year,title+year
22,87,88,Laboute (2008),BPTB,"Laboute E, Savalli L, Lefesvre T, Puig P, Trouve P",Laboute,[Interest of an iterative specialized rehabilitation after an anterior cruciate ligament reconstruction in high level sport athletes].,interestofaniterativespecializedrehabilitationafterananterio,"PURPOSE OF THE STUDY: The aim of this work was to assess the usefulness of specialized rehabilitation sessions after anterior cruciate ligament reconstruction in high-level athletes participating in regional-, national-, or international-level sports. MATERIAL AND METHODS: We conducted a retrospective comparison between two populations: in the first, rehabilitation was limited to the early postoperative period (PO); in the second, rehabilitation sessions were repeated, once in the early postoperative period and again 90 days later (POR). The second rehabilitation period lasted two or three weeks and included an open and closed-chain muscle training program controlled by physical therapists using isokinetic devices. The sessions also included proprioceptive exercises and cardiovascular exercise reconditioning with a therapeutic project developed by the Physical Medicine and Rehabilitation physician in collaboration with other health professionals and taking into consideration the surgical recommendations and the patient's clinical status. A questionnaire was addressed to all patients one year after the operation. The response rate was 55 %. Two groups were created at random: 74 patients were in the PO group and 75 in the POR group. The two populations were comparable in terms of gender (64 men, 10 women in PO versus 57 men and 18 women in POR), sports level (regional, national, international), type of surgery (41 hamsting, 33 bone-patellar tendon-bone in PO and 43 hamstring and 32 bone-patellar tendon-bone in POR) and sports (generally rugby, soccer, handball or ski). RESULTS: Our results were statistically in favor of the group POR in terms of resumption of sports activities: time to return to training (7.6 versus 8.7 months, p=0.03) and time to return to competition (9.06 versus 10.84 months, p=0.007). They were also in favor of the group POR for resumption of sports activities at the former level (52.05 % versus 19.44 %, p=0.001), pain (numerical scale: 1.52 versus 2.03, p=0.021) and subjective impression (IKDC subjective score: 87.58 % versus 81.64 %, p=0.003). There was no significant difference for resumption of training (90.50 % versus 81.69 %, p=0.2) or competition (71.80 % versus 56.76 %, p=0.1) at one year, but the results were close to the level of significance. DISCUSSION: Adapted preparation before returning to sports activities using a scheme elaborated by specialists (physicians, physical therapists, trainers) provided a statistically significant improvement in time and quality of resumed activity (return to prior level, pain, subjective IKDC score) in this specific population of high-level competition athletes. A larger series would be interesting to check the statistical significance of return to training and competition at one year. Another follow-up beyond one year (1.5 or two years for example) would also provide information on the percentage of definitive return to sports in these two populations.",2008,French,Rev Chir Orthop Reparatrice Appar Mot,pubmed,10.1016/j.rco.2008.01.008,https://doi.org/10.1016/j.rco.2008.01.008,18929746.0,https://pubmed.ncbi.nlm.nih.gov/18929746/,Laboute+interestofaniterativespecializedrehabilitationafterananterio+2008,interestofaniterativespecializedrehabilitationafterananterio+2008
23,95,96,Giraud (2006),BPTB,"Giraud B, Besse JL, Cladière F, Ecochard R, Moyen B, Lerat JL",Giraud,[Intra-articular reconstruction of the anterior cruciate ligament with and without extra-articular supplementation by quadricipital tendon plasty: seven-year follow-up].,intraarticularreconstructionoftheanteriorcruciateligamentwit,"PURPOSE OF THE STUDY: Reconstruction of the anterior cruciate ligament (ACL) is a common procedure, but use of lateral reinforcement is still a subject of debate. The purpose of this study was to compare two randomized series of ACL reconstructions, one using an intra-articular method (patellar tendon autograft) and the other an intra- and extra-articular method (Mac-InJones). MATERIAL AND METHODS: From January 1995 to March 1998, 63 knees underwent surgery for ACL reconstruction. Inclusion criteria was significant medial differential laxity measured between 7 and 12 mm on passive dynamic x-rays as 20 degrees flexion. Group 1 (patellar tendon intra-articular reconstruction) included 34 patients (27.1+/-7.5 years) and group 2 (intra-articular reconstruction plus extra-articular quadircipital tendon plasty) included 29 patients (28.5+/-12 years). The IKDC score was determined for 72% of the knees in group 1 and 68% in group 2 at seven years follow-up on average (102 and 93 months respectively). Anterior laxity was measured radiographically and with KT-1000. The position of the tunnels was controlled using the Aglietti method. RESULTS: The subjective functional score was 83.6+/-3.5 in group 1 and 83.5+/-3.5 in group 2. The overall IKDC knee score classes for group 1 were 0% A, 52.4% B, 28.6% C, and 19% D and for group 2 were 5.5% group A, 50% group B, 33.3% group C, and 11.1% group D. In group 1, the pivot test was negative in 61.9% and noted stage 1 in 28.6% and stage 2 in 9.5%. In group 2, the pivot test was negative in 78.9% and noted stage 1 in 15.8% and stage 2 in 5.3%. The KT-1000 showed no difference in gain in laxity: 31% for group 1 and 27% for group 2. Similarly, radiographically there was no difference with a 43.9% gain in differential laxity for the medial compartment and 45.3% for the lateral compartment in group 1. In group 2 the corresponding values were 51.9% and 41.8%. The position of the tunnels was the same in the two groups. DISCUSSION: In a preliminary study with two years follow-up, the results in these two series were not significantly different. It was concluded that there was not clear advantage to adding the extra-articular lateral plasty. At the present 7-year follow-up, pivoting appears to be better controlled in the lateral plasty group (p=0.23), but with no significant difference for laxity for both knee compartments. The inclusion criteria would be different today and would be based on the laxity of the lateral compartment.",2006,French,Rev Chir Orthop Reparatrice Appar Mot,pubmed,10.1016/s0035-1040(06)75947-5,https://doi.org/10.1016/s0035-1040(06)75947-5,17245238.0,https://pubmed.ncbi.nlm.nih.gov/17245238/,Giraud+intraarticularreconstructionoftheanteriorcruciateligamentwit+2006,intraarticularreconstructionoftheanteriorcruciateligamentwit+2006
37,134,135,Gorschewsky (2002),BPTB,"Gorschewsky O, Browa A, Vogel U, Stauffer E",Gorschewsky,[Clinico-histologic comparison of allogenic and autologous bone-tendon-bone using one-third of the patellar tendon in reconstruction of the anterior cruciate ligament].,clinicohistologiccomparisonofallogenicandautologousbonetendo,"Reconstruction of the ruptured anterior cruciate ligament (ACL) using modern techniques achieves successful long-term results in up to 90% of all cases. Yet the discussion continues as to the suitable implant to replace the ACL in terms of donor morbidity, implant reaction, long-term results, and potenzial risk of carrier concerning the allograft. The clinical and histological results from 2 years experience with the BPTB allograft (Tutoplast) and the BPTB autograft for ACL reconstruction are compared with reference to stability, functionality, rerupture rate, and histological reaction of the remodelling process. A BTB patella tendon allograft was implanted into 132 patients and a BPTB autograft into 136 patients. The patients were randomly allocated to the two groups. The results were recorded by an independent researcher and assessed according to the IKDC and Lysholm score. In the allograft group, a total of 20 patients (2.6%) reruptured within an average period of 11.75 months. In the autograft group, the transplant reruptured in five patients (4.8%) after an average of 17 months. Histological reappraisal indicated delayed incorporation and extended reconstruction in the BPTB allograft. There were clearer and more protracted indications of hypercellularity and hypervascularity, and the collagen matrix had not regularly aligned longitudinally even 1 year later. A detailed analysis of the BPTB allograft group indicated that especially in young and very sporty patients there is increased elongation of the implant and a clearly higher rerupture rate. Hence, according to the data we have collected, it would seem that the use of the BPTB allograft (Tutoplast) is not suitable especially in young patients who frequently practice high-level sports involving high knee stress.",2002,German,Unfallchirurg,pubmed,10.1007/s00113-001-0405-0,https://doi.org/10.1007/s00113-001-0405-0,12243016.0,https://pubmed.ncbi.nlm.nih.gov/12243016/,Gorschewsky+clinicohistologiccomparisonofallogenicandautologousbonetendo+2002,clinicohistologiccomparisonofallogenicandautologousbonetendo+2002
48,154,155,Fremerey (2000),BPTB,"Fremerey R, Lobenhoffer P, Skutek M, Zeichen J, Gerich T, Bosch U",Fremerey,[Proprioception after reconstruction of the anterior cruciate ligament. Endoscopic vs. 2 tunnel technique].,proprioceptionafterreconstructionoftheanteriorcruciateligame,"ACL reconstruction with patellar tendon autograft is a standard procedure which can be performed arthroscopically with a femoral half tunnel drilled from the joint or using the two-tunnel technique with medial miniarthrotomy and additional femoral approach. The arthroscopic procedure with single incision was supposed to increase stability and to improve proprioception by earlier rehabilitation. 29 patients with ACL deficiency were included in the study. 15 patients were treated endoscopically, 14 patients by using the two-tunnel technique. Proprioception, Lysholm and Tegner scores as well as stability (KT-1000) were assessed preoperatively, 3 and 6 months postoperatively. A deficit of proprioception was assessed in either group preoperatively, which could be improved after 3 months only in the arthroscopic group. 6 months postoperatively, either group showed a restitution of proprioception near full extension and full flexion of the knee. In the mid range position, the proprioception could not be restored. There were no differences in stability and the Lysholm and Tegner scores between the groups after 6 months postoperatively. The comparison between the patients with acute and chronic instability shows a better proprioception in the acute group in the mid range position 6 months after the reconstruction.",2000,German,Unfallchirurg,pubmed,10.1007/s001130050634,https://doi.org/10.1007/s001130050634,11098747.0,https://pubmed.ncbi.nlm.nih.gov/11098747/,Fremerey+proprioceptionafterreconstructionoftheanteriorcruciateligame+2000,proprioceptionafterreconstructionoftheanteriorcruciateligame+2000
49,156,157,Hackl (2000),BPTB,"Hackl W, Fink C, Benedetto KP, Hoser C",Hackl,[Transplant fixation by anterior cruciate ligament reconstruction. Metal vs. bioabsorbable polyglyconate interference screw. A prospective randomized study of 40 patients].,transplantfixationbyanteriorcruciateligamentreconstructionme,"To overcome some of the potential problems (e.g. hardware removal during revision surgery) of metal interference screws used for patellar tendon anterior cruciate ligament reconstruction, bioabsorbable screws have recently been introduced. Forty patients who underwent endoscopic ACL reconstruction using patella tendon autograft were included in the study, they were randomized intraoperatively to either Group A (femoral bone block fixation: polyglyconate screw; tibial: metal screw) or Group B (both bone blocks fixed with metal interference screws). The patients were evaluated clinically preoperatively as well as 6 weeks, 3 months 12 months and 24 months post op. Lysholm Score at 24 months was 98.1 +/- 2.3 for Group A and 97.7 +/- 3.0 for Group B. Tegner Score was 7.4 +/- 1.1 for Group A and 7.5 +/- 0.8 for Group B. Two years post op overall IKDC-Score for group A was 5.6% normal, 88.8% nearly normal and 5.6% abnormal. The result for group B was 11.1%, 77.8% and 11.1%, respectively. KT-1000 (at 89 N) at two years revealed a side to side difference of 1.5 +/- 0.3 mm (Group A) and 1.6 +/- 0.7 (Group B). The results of the two groups did not show significant differences at any stage of follow up. In our study polyglyconate interference screw fixation for patellar tendon grafts has not found to be associated with increased clinical complications. It provided equivalent fixation and clinical results compared to metal screws.",2000,German,Unfallchirurg,pubmed,10.1007/s001130050567,https://doi.org/10.1007/s001130050567,10925649.0,https://pubmed.ncbi.nlm.nih.gov/10925649/,Hackl+transplantfixationbyanteriorcruciateligamentreconstructionme+2000,transplantfixationbyanteriorcruciateligamentreconstructionme+2000
56,165,166,Gerich (1998),BPTB,"Gerich TG, Lattermann C, Bosch U, Lobenhoffer HP, Tscherne H",Gerich,[Endoscopic versus limited open technique for replacement of the anterior cruciate ligament. 4 years outcome of a prospective study].,endoscopicversuslimitedopentechniqueforreplacementoftheanter,"ACL reconstruction with patellar tendon graft has become a standard procedure. The graft can be inserted either using two tunnels and a lateral femoral incision or with a femoral half tunnel drilled from the joint, thus avoiding the lateral incision. Advantages of the single-incision technique in the early rehabilitation period have been claimed. 40 patients with ACL deficiency were included in a prospective randomized trial comparing single and two-incision technique with a follow-up period of 4 years. Preoperative data did not show any significant difference between the two groups. At follow-up no difference were observed with respect to complications or he progress of rehabilitation. Evaluation after 1 and 4 years according to the IKDC form revealed good to excellent results in 70% of all patients. The Tegner-score increased significantly, however most patients did not regain their former activity level. ACL-reconstruction reduced anterior translation of the knee significantly at 6 months follow-up. However, we observed a slight increase of anterior translation after 1 and 4 years in both groups; stability was comparable in both groups at all time periods. We conclude that an arthroscopic single-incision technique has no advantage compared to a mini-open two-incision technique for ACL reconstruction with patellar tendon graft in terms of subjective or objective parameters.",1998,German,Unfallchirurg,pubmed,10.1007/s001130050308,https://doi.org/10.1007/s001130050308,9739219.0,https://pubmed.ncbi.nlm.nih.gov/9739219/,Gerich+endoscopicversuslimitedopentechniqueforreplacementoftheanter+1998,endoscopicversuslimitedopentechniqueforreplacementoftheanter+1998
120,349,350,Dauty (2006),HT,"Dauty M, Huguet D, Tortellier L, Potiron-Josse M, Dubois C",Dauty,[Retraining between months 4 and 6 after anterior cruciate ligament reconstruction with hamstring graft: comparison between cycling and running with an untrained operated subject group].,retrainingbetweenmonths4and6afteranteriorcruciateligamentrec,"OBJECTIVE: To study the effect of cycling or running retraining between 4 and 6 months after patients underwent anterior cruciate ligament reconstruction with hamstring grafting (Semitendinosus-Gracilis) compared with that in patients who had the same surgery but were untrained. METHOD: Patients who had undergone surgery for an anterior cruciate ligament reconstruction by the same surgeon who used hamstring grafting were included if they were free of knee pain 4 months after the surgery. After giving consent, patients were randomized to receive controlled retraining (cycling or running 3 times a week) or not. The effect of retraining was measured by the evolution of the knee isokinetic peak torque at 60 degrees/s and 180 degrees/s 6 months after surgery. RESULTS: Fifteen patients were retrained with cycling (GI), 17 with running (GII) and 15 patients did not retrain (GIII). Before retraining, the 3 groups had the same peak torque deficit, measured at an angular speed of 60 degrees/s and 180 degrees/s, for knee extensors (GI: 33+/-11% and 27+/-8%; GII: 30+/-13% and 24+/-10%; GIII: 31+/-15% and 24+/-13%, respectively) and knee flexors (GI: 26+/-11% and 20+/-13%; GII: 20+/-14% and 17+/-13%; GIII: 19+/-15% and 14+/-15%, respectively). After retraining, progress measured at 60 degrees /s of knee extensors and flexors on the operated knees was 18+/-9% and 16+/-10% for GI, 16+/-9% and 11+/-11% for GII and 12+/-15% and 8+/-12 for GIII, respectively. Progress measured at 180 degrees /s followed the same evolution. After comparison of the 3 groups, any significant difference was put in relief according to the type of retraining. CONCLUSION: Retraining after anterior cruciate ligament reconstruction is necessary for patients to practice their previous sport. In our study, aerobic cycling or running between 4 and 6 months after surgery did not improve peak torque in the operated knee extensors and flexors. However, these 2 types of retraining are well-tolerated.",2006,French,Ann Readapt Med Phys,pubmed,10.1016/j.annrmp.2006.03.006,https://doi.org/10.1016/j.annrmp.2006.03.006,16675058.0,https://pubmed.ncbi.nlm.nih.gov/16675058/,Dauty+retrainingbetweenmonths4and6afteranteriorcruciateligamentrec+2006,retrainingbetweenmonths4and6afteranteriorcruciateligamentrec+2006
124,356,357,Pförringer (2005),HT,"Pförringer W, Kremer C",Pförringer,"[Subsequent treatment of surgically managed, fresh, anterior cruciate ligament ruptures--a randomized, prospective study].",subsequenttreatmentofsurgicallymanagedfreshanteriorcruciatel,"The prospective study examined two different postoperative treatments on 46 patients with acute and isolated disruption of the anterior cruciate ligament (acl), who were treated with reconstruction and augmentation using the semitendinosus-tendon. The patients were randomised and divided into two groups either to use a postoperative brace (Donjoy Ind.) set at full extension (group A) or to use the same brace set at a flexion of 20 degrees (group B) on the first 3 days after surgery. All patients undertook a standard ""accelerated"" rehabilitation protocol and were evaluated after 3, 6 and 12 months after surgery. The results were as follow: the patients of group A reached the full extension faster than group B without any loss of knee stability. Postoperative extension even led to an earlier return to work and sport activities. The muscle strength side-to-side difference (Cybex-measurement) was lower in group A. The severity and intensity of postoperative pain, swelling and giving-way was reduced in group A as was the risk of arthrofibrosis. Evaluated with the scoring scales of the ""Orthopadische Arbeitsgruppe Knie"" (OAK), the ""International Knee Documentation Committee"" (IKDC), the Tegner activity score and the Lysholm score, the clinical outcome and activity-level were higher in group A than in group B. This prospective study shows, that immediate postoperative extension, compared to the postoperative flexion of 20 degrees, reduces the term of rehabilitation and optimizes the operative results after acl-reconstruction.",2005,German,Sportverletz Sportschaden,pubmed,10.1055/s-2005-858472,https://doi.org/10.1055/s-2005-858472,16167266.0,https://pubmed.ncbi.nlm.nih.gov/16167266/,Pförringer+subsequenttreatmentofsurgicallymanagedfreshanteriorcruciatel+2005,subsequenttreatmentofsurgicallymanagedfreshanteriorcruciatel+2005
129,381,382,Röpke (2001),HT,"Röpke M, Becker R, Urbach D, Nebelung W",Röpke,[Semitendinosus tendon vs. patellar ligament. Results of a prospective randomized study after anterior cruciate ligament reconstruction].,semitendinosustendonvspatellarligamentresultsofaprospectiver,"The aim of our prospective randomised study was to evaluate the clinical results after arthroscopical reconstruction of the ACL using the midthird patellar ligament or semitendinosus tendon. METHODS: Forty patients were followed up two years postoperatively. Twenty of them received either a patellar ligament graft (BTB-group) or doubled semiteninosus tendon (SET-group). The clinical evaluation included the preoperative and two years postoperative assessment, based on the IKDC-Score, Tegener-Score and Mc-Carroll-Score. The a.p.-translation was evaluated using the KT-1000. RESULTS: Sixteen (80%) patients of the SET-group and 10 (50%) patients of the BTB-group showed good and excellent results in the over all assessment with the IKDC-Score. The mean side to side KT-1000 difference yielded 1.6 mm (-2-4 mm) in the BTB-group and 2.7 mm (0-7 mm) in the SET-group (p < 0.05). The retropatellar pain syndrome based on the Mc-Caroll-Score showed 17.4 points in the BTB-group in comparison to 19.5 points in the SET-group (p < 0.05). The level of activity using the Tegner-score showed preoperatively for both the SET- and BTB-group 6.9 points and postoperatively for the SET-group 6.7 points and for the BTB-group 5.6 points. CONCLUSIONS: Despite the inferior a.p.-stability for the patients who received doubled semitendinosus tendon grafts they presented clinically superior results compared to the BTB-group. Therefore this technique seems to be the alternative method. In order to improve the stability we recommend the usage of three or four stranded grafts and an improved fixation technique.",2001,German,Unfallchirurg,pubmed,10.1007/s001130050733,https://doi.org/10.1007/s001130050733,11357697.0,https://pubmed.ncbi.nlm.nih.gov/11357697/,Röpke+semitendinosustendonvspatellarligamentresultsofaprospectiver+2001,semitendinosustendonvspatellarligamentresultsofaprospectiver+2001
153,443,444,Arora (2019),QT,"Arora S, Sadashivappa C, Sen I, Sahni N, Gandhi K, Batra YK, Dhillon MS",Arora,[Comparison of adductor canal block for analgesia in arthroscopic surgery with ropivacaine alone and ropivacaine and clonidine].,comparisonofadductorcanalblockforanalgesiainarthroscopicsurg,"BACKGROUND AND OBJECTIVES: Inadequate pain relief after anterior cruciate ligament reconstruction affects mobility leading to development of adhesions, weakened ligament insertion and muscle atrophy. Adductor canal block for postoperative analgesia preserves quadriceps strength. The present study was conducted to compare pain free period in patients undergoing arthroscopic anterior cruciate ligament reconstruction, receiving ultrasound-guided adductor canal block with ropivacaine alone and ropivacaine with clonidine. METHODS: A prospective randomized double blinded study was conducted including sixty-three adult, ASA class I, II patients undergoing anterior cruciate ligament reconstruction. They were randomized into three groups: Group S - control group received adductor canal block with 30 mL saline, Group R - ropivacaine group received adductor canal block with 30 mL of 0.375% ropivacaine and Group RC - clonidine group received adductor canal block with 30 mL of 0.375% ropivacaine with clonidine 1 mug.kg(-1). The primary aim was to compare the pain free period in patients receiving adductor canal block with ropivacaine alone or ropivacine with clonidine. The secondary outcomes were pain score at rest and movement, total analgesic requirement, sedation score and postoperative nausea and vomiting. RESULTS: The mean pain free periods were 20 min, 384.76 min and 558.09 min for Group S, Group R and Group RC, respectively and this difference was statistically significant (p < 0.001). There was no significant difference between Group R and Group RC in terms of pain scores at rest and movement and total analgesic requirement. CONCLUSION: Addition of clonidine to ropivacaine in USG guided adductor canal block led to significant prolongation of pain free period though pain score at rest and movement, and rescue analgesic requirement, did not differ.",2019,Portuguese,Braz J Anesthesiol,pubmed,10.1016/j.bjan.2018.12.004,https://doi.org/10.1016/j.bjan.2018.12.004,31080007.0,https://pubmed.ncbi.nlm.nih.gov/31080007/,Arora+comparisonofadductorcanalblockforanalgesiainarthroscopicsurg+2019,comparisonofadductorcanalblockforanalgesiainarthroscopicsurg+2019
