,id,Unnamed: 0,pmid,date,epubdate,journal_abbr,authors,last_author,title,volume,issue,pages,language,nlmuniqueid,issn,essn,study_design,recordstatus,pubstatus,ArticleIds,doi,history,references,hasabstract,pmcrefcount,journal_full,elocationid,so,abstract,year,source,subgroup
0,1,0,40308075,2025 May,2025 May 1,Am J Sports Med,"['Rao N', 'Triana J', 'Avila A', 'Campbell KA', 'Alaia MJ', 'Jazrawi LM', 'Furiguele D', 'Popovic J', 'Strauss EJ']",Strauss EJ,Postoperative Pain and Opioid Usage With Combined Adductor Canal and IPACK Block Versus Isolated Adductor Canal Block After Anterior Cruciate Ligament Reconstruction With a Bone-Patellar Tendon-Bone Autograft: A Single-Center Randomized Controlled Trial.,53,6,1359-1367,['English'],7609541,0363-5465,1552-3365,"['Clinical Trial, Phase IV', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['40308075', '10.1177/03635465251328609']",10.1177/03635465251328609,"['2025/05/01 06:28', '2025/05/01 06:27', '2025/05/01 03:03']",[],1,0,The American journal of sports medicine,doi: 10.1177/03635465251328609,2025 May;53(6):1359-1367,"BACKGROUND: Efforts to decrease pain, improve early rehabilitation, and reduce opioid consumption have prompted a focus on peripheral nerve blocks for pain management after anterior cruciate ligament reconstruction (ACLR). The commonly used adductor canal block (ACB) might not provide sufficient postoperative pain control because of its lack of coverage of the posterior aspect of the knee. The addition of the IPACK (interspace between the popliteal artery and the capsule of the posterior knee) block, which targets this area, to the standard ACB could potentially provide better pain control after ACLR over the current standard of care. PURPOSE/HYPOTHESIS: The purpose of this study was to compare and analyze postoperative pain, satisfaction, and opioid demand between the standard ACB and a combination of an ACB and IPACK block in patients undergoing ACLR with a bone-patellar tendon-bone (BTB) autograft. It was hypothesized was that the addition of the IPACK block would substantially improve early postoperative pain control and minimize opioid use. STUDY DESIGN: Randomized controlled trial; Level of evidence, 2. METHODS: A total of 102 patients undergoing ACLR with a BTB autograft at a single institution were recruited. Patients were randomly assigned to receive either the ACB alone or the ACB plus IPACK block. Patients were contacted at 24 hours (postoperative day [POD] 1), 48 hours (POD 2), 72 hours (POD 3), and 1 week to assess postoperative pain scores, opioid consumption, and satisfaction with their postoperative pain control. Intergroup comparative analysis was performed using a t test or nonparametric test for continuous variables and the chi-square test for categorical variables. Opioid usage was reported as morphine milligram equivalents (MME). RESULTS: The final analysis included 96 patients, with 47 in the control group (ACB) who received only the ACB and 49 in the experimental group (IPACK) who received the ACB and an additional IPACK block. The cohort was composed of 60.4% male patients with a mean age of 28.40 +/- 7.51 years (range, 18-55 years) and a mean body mass index of 25.67 +/- 4.84 kg/m(2). There were no statistically significant differences between the groups with respect to age, body mass index, or sex (P > .05). Patients in the IPACK group reported significantly lower opioid usage than those in the ACB group on POD 1 (mean, 6.1 [interquartile range (IQR), 4.5-7.7] vs 10.7 [IQR, 8.6-13.0] MME, respectively; P < .001), POD 2 (mean, 7.3 [IQR, 5.2-9.5] vs 12.5 [IQR, 10.0-15.0] MME, respectively; P = .001), and POD 3 (mean, 4.2 [IQR, 2.8-5.5] vs 9.4 [IQR, 7.1-12.0] MME, respectively; P < .001). The visual analog scale for pain score on POD 1 (mean, 67.7 [IQR, 62.0-73.0] vs 55.2 [IQR, 48.0-63.0], respectively; P = .024) and POD 3 (mean, 54.9 [IQR, 48.0-63.0] vs 44.4 [IQR, 37.0-51.0], respectively; P = .037) was statistically higher in the ACB group compared with the IPACK group. On POD 1, patient satisfaction was higher in the IPACK group than in the ACB group (mean, 7.3 [IQR, 6.6-8.0] vs 5.6 [IQR, 4.8-6.4], respectively; P = .001). No statistically significant differences were observed between groups on POD 7. On regression analysis, IPACK block (beta = -13.0; P = .03) and male sex (beta = -9.9; P = .024) were significant negative predictors for opioid use on POD 1. The association of reduced opioid use in the IPACK group persisted on POD 2 (beta = -12.0; P = .019) and POD 3 (beta = -15.0; P < .001). CONCLUSION: The results of this study suggest that the addition of an IPACK block to an ACB leads to reduced opioid consumption, improved pain control, and higher satisfaction with pain control acutely after ACLR with a BTB autograft. REGISTRATION: NCT05286307 (ClinicalTrials.gov).",2025,pubmed,bptb
1,2,1,39194385,2025 Apr,2024 Aug 28,Knee Surg Sports Traumatol Arthrosc,"['Martorell-de Fortuny L', 'Torres-Claramunt R', 'Sánchez-Soler JF', 'Perelli S', 'Hinarejos P', 'Monllau JC']",Monllau JC,Patellar bone defect grafting does not reduce anterior knee pain after bone-patellar tendon-bone anterior cruciate ligament reconstruction.,33,4,1299-1307,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['39194385', '10.1002/ksa.12449']",10.1002/ksa.12449,"['2024/08/04 00:00', '2024/05/15 00:00', '2024/08/04 00:00', '2025/03/27 06:28', '2024/08/28 12:42', '2024/08/28 09:54']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1002/ksa.12449,2025 Apr;33(4):1299-1307,"PURPOSE: Donor site morbidity is the main drawback to using bone-patellar tendon-bone (BPTB) as a graft in anterior cruciate ligament (ACL) reconstruction. The objective of the study was to determine whether refilling the patellar bone defect after BPTB harvesting with autograft bone decreased kneeling pain to a greater degree when compared with a group in which bone defect is left unaddressed. METHODS: This is a randomised single-blinded controlled study. Forty patients were randomised into two groups; group 1: Patellar bone defect filled with autologous bone; group 2: Bone defect left undressed. Pain was measured by means of pressure algometry (PA). Functional outcomes were measured with the Kujala and Victorian Institute of Sport Assessment-Patella (VISA-P) score. Magnetic resonance imaging (MRI) was done to measure bone buildup between groups at the 1-year follow-up. RESULTS: No differences were observed in the different algometry measurements and the scores were assessed at 3, 6 and 12 months postoperatively. The ratio of void filled remained consistently higher (p = 0.003) in group 1 when compared to group 2. CONCLUSIONS: Although refilling the lower pole of the patella with autologous bone from the harvested BPTB autograft loads the bone defect, it does not reduce pain at the donor site 1 year after surgery. LEVEL OF EVIDENCE: Level 1, therapeutic study.",2025,pubmed,bptb
2,3,2,38226736,2024 Feb,2024 Jan 7,Knee Surg Sports Traumatol Arthrosc,"['Martin RK', 'Marmura H', 'Wastvedt S', 'Pareek A', 'Persson A', 'Moatshe G', 'Bryant D', 'Wolfson J', 'Engebretsen L', 'Getgood A']",Getgood A,External validation of the Norwegian anterior cruciate ligament reconstruction revision prediction model using patients from the STABILITY 1 Trial.,32,2,206-213,['English'],9314730,0942-2056,1433-7347,"['Randomized Controlled Trial', 'Journal Article']",PubMed - indexed for MEDLINE,ppublish+epublish,"['38226736', '10.1002/ksa.12031']",10.1002/ksa.12031,"['2023/11/10 00:00', '2023/09/14 00:00', '2023/12/05 00:00', '2024/02/11 16:43', '2024/01/16 13:42', '2024/01/16 08:34']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1002/ksa.12031,2024 Feb;32(2):206-213,"PURPOSE: A machine learning-based anterior cruciate ligament (ACL) revision prediction model has been developed using Norwegian Knee Ligament Register (NKLR) data, but lacks external validation outside Scandinavia. This study aimed to assess the external validity of the NKLR model (https://swastvedt.shinyapps.io/calculator_rev/) using the STABILITY 1 randomized clinical trial (RCT) data set. The hypothesis was that model performance would be similar. METHODS: The NKLR Cox Lasso model was selected for external validation owing to its superior performance in the original study. STABILITY 1 patients with all five predictors required by the Cox Lasso model were included. The STABILITY 1 RCT was a prospective study which randomized patients to receive either a hamstring tendon autograft (HT) alone or HT plus a lateral extra-articular tenodesis (LET). Since all patients in the STABILITY 1 trial received HT +/- LET, three configurations were tested: 1: all patients coded as HT, 2: HT + LET group coded as bone-patellar tendon-bone (BPTB) autograft, 3: HT + LET group coded as unknown/other graft choice. Model performance was assessed via concordance and calibration. RESULTS: In total, 591/618 (95.6%) STABILITY 1 patients were eligible for inclusion, with 39 undergoing revisions within 2 years (6.6%). Model performance was best when patients receiving HT + LET were coded as BPTB. Concordance was similar to the original NKLR prediction model for 1- and 2-year revision prediction (STABILITY: 0.71; NKLR: 0.68-0.69). Concordance 95% confidence interval (CI) ranged from 0.63 to 0.79. The model was well calibrated for 1-year prediction while the 2-year prediction demonstrated evidence of miscalibration. CONCLUSION: When patients in STABILITY 1 who received HT + LET were coded as BPTB in the NKLR prediction model, concordance was similar to the index study. However, due to a wide 95% CI, the true performance of the prediction model with this Canadian and European cohort is unclear and a larger data set is required to definitively determine the external validity. Further, better calibration for 1-year predictions aligns with general prediction modelling challenges over longer periods. While not a large enough sample size to elicit the true accuracy and external validity of the prediction model when applied to North American patients, this analysis provides more support for the notion that HT plus LET performs similarly to BPTB reconstruction. In addition, despite the wide confidence interval, this study suggests optimism regarding the accuracy of the model when applied outside of Scandinavia. LEVEL OF EVIDENCE: Level 3, cohort study.",2024,pubmed,bptb
3,4,3,37893482,2023 Oct 3,2023 Oct 3,Medicina (Kaunas),"['Obradović M', 'Ninković S', 'Gvozdenović N', 'Tošić M', 'Milinkov M', 'Dulić O']",Dulić O,Tubularization of Bone-Tendon-Bone Grafts: Effects on Mechanical Strength and Postoperative Knee Stability in Anterior Cruciate Ligament Reconstruction.,59,10,,['English'],9425208,1010-660X,1648-9144,"['Randomized Controlled Trial', 'Journal Article']",PubMed - indexed for MEDLINE,epublish,"['37893482', 'PMC10608507', 'pmc-id: PMC10608507;', '10.3390/medicina59101764', 'medicina59101764']",10.3390/medicina59101764,"['2023/08/31 00:00', '2023/09/24 00:00', '2023/09/28 00:00', '2023/10/30 06:46', '2023/10/28 11:47', '2023/10/28 01:10', '2023/10/03 00:00']",[],1,48,"Medicina (Kaunas, Lithuania)",doi: 10.3390/medicina59101764,2023 Oct 3;59(10),"Background and Objectives: The study addresses a significant limitation in applying bone-patellar tendon-bone (BTB) grafts in anterior cruciate ligament (ACL) surgery. By exploring the tubularization of grafts, the study extends the understanding of this surgical technique. The dual approach of the study-focusing on biomechanical properties using an animal model and postoperative outcomes in humans-offers a comprehensive perspective. Materials and Methods: The experimental cohort encompassed ten pairs of fresh porcine bone-tendon-bone grafts. One graft in each pair underwent modification through sutures that transformed the flat graft into a cylindrical structure. Testing determined the force required for the modified graft to rupture mechanically, expressed as N/mm(2), compared to conventionally prepared bone-tendon-bone grafts. The second phase of the research involved a prospective randomized clinical trial comprising 120 patients undergoing operative ACL reconstruction. For half the cases, grafts were tubularized using a random selection process. Clinical evaluations preoperatively and 12 months postoperatively employed the Tegner, Lysholm, and IKDC scoring scales for knee assessment. Results: Experiments showed that ligaments made using the tubularized surgical technique have statistically significantly higher values of measured force and higher maximum elongation values than ligaments made using the classical method. The clinical study concluded that there was no significant difference between the two groups of patients in the average score on the Tegner, Lysholm, and IKDC scales before and after surgery. Conclusions: The study results showed that suturing the graft does not negatively affect its biomechanical properties, and tubularization significantly increases the values of force required to cause rupture and the values of maximum elongation during rupture. Given the possibility of the one-year follow-up period being insufficient, future investigations should extend this period to acquire objective functional insights post-surgery.",2023,pubmed,bptb
4,5,4,35762124,2023 May,2022 Jun 27,Sports Health,"['Jack RA 2nd', 'Lambert BS', 'Hedt CA', 'Delgado D', 'Goble H', 'McCulloch PC']",McCulloch PC,Blood Flow Restriction Therapy Preserves Lower Extremity Bone and Muscle Mass After ACL Reconstruction.,15,3,361-371,['English'],101518422,1941-7381,1941-0921,"['Randomized Controlled Trial', 'Journal Article']",PubMed - indexed for MEDLINE,ppublish+epublish,"['35762124', 'PMC10170230', 'pmc-id: PMC10170230;', '10.1177/19417381221101006']",10.1177/19417381221101006,"['2023/04/26 06:41', '2022/06/29 06:00', '2022/06/28 03:02', '2023/06/27 00:00']",[],1,58,Sports health,doi: 10.1177/19417381221101006,2023 May;15(3):361-371,"BACKGROUND: Muscle atrophy is common after an injury to the knee and anterior cruciate ligament reconstruction (ACLR). Blood flow restriction therapy (BFR) combined with low-load resistance exercise may help mitigate muscle loss and improve the overall condition of the lower extremity (LE). PURPOSE: To determine whether BFR decreases the loss of LE lean mass (LM), bone mass, and bone mineral density (BMD) while improving function compared with standard rehabilitation after ACLR. STUDY DESIGN: Randomized controlled clinical trial. METHODS: A total of 32 patients undergoing ACLR with bone-patellar tendon-bone autograft were randomized into 2 groups (CONTROL: N = 15 [male = 7, female = 8; age = 24.1 +/- 7.2 years; body mass index [BMI] = 26.9 +/- 5.3 kg/m2] and BFR: N = 17 [male = 12, female = 5; age = 28.1 +/- 7.4 years; BMI = 25.2 +/- 2.8 kg/m2]) and performed 12 weeks of postsurgery rehabilitation with an average follow-up of 2.3 +/- 1.0 years. Both groups performed the same rehabilitation protocol. During select exercises, the BFR group exercised under 80% arterial occlusion of the postoperative limb (Delfi tourniquet system). BMD, bone mass, and LM were measured using DEXA (iDXA, GE) at presurgery, week 6, and week 12 of rehabilitation. Functional measures were recorded at week 8 and week 12. Return to sport (RTS) was defined as the timepoint at which ACLR-specific objective functional testing was passed at physical therapy. A group-by-time analysis of covariance followed by a Tukey's post hoc test were used to detect within- and between-group changes. Type I error; alpha = 0.05. RESULTS: Compared with presurgery, only the CONTROL group experienced decreases in LE-LM at week 6 (-0.61 +/- 0.19 kg, -6.64 +/- 1.86%; P < 0.01) and week 12 (-0.39 +/- 0.15 kg, -4.67 +/- 1.58%; P = 0.01) of rehabilitation. LE bone mass was decreased only in the CONTROL group at week 6 (-12.87 +/- 3.02 g, -2.11 +/- 0.47%; P < 0.01) and week 12 (-16.95 +/- 4.32 g,-2.58 +/- 0.64%; P < 0.01). Overall, loss of site-specific BMD was greater in the CONTROL group (P < 0.05). Only the CONTROL group experienced reductions in proximal tibia (-8.00 +/- 1.10%; P < 0.01) and proximal fibula (-15.0+/-2.50%,P < 0.01) at week 12 compared with presurgery measures. There were no complications. Functional measures were similar between groups. RTS time was reduced in the BFR group (6.4 +/- 0.3 months) compared with the CONTROL group (8.3 +/- 0.5 months; P = 0.01). CONCLUSION: After ACLR, BFR may decrease muscle and bone loss for up to 12 weeks postoperatively and may improve time to RTS with functional outcomes comparable with those of standard rehabilitation.",2023,pubmed,bptb
5,6,5,35468330,2022 Jun,2022 Apr 22,Knee,"['de Souza Borges JH', 'Oliveira M', 'Junior PL', 'de Souza Machado R', 'Lima R', 'Ramos LA', 'Cohen M']",Cohen M,Is contralateral autogenous patellar tendon graft a better choice than ipsilateral for anterior cruciate ligament reconstruction in young sportsmen? A randomized controlled trial.,36,,33-43,['English'],9430798,0968-0160,1873-5800,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['35468330', '10.1016/j.knee.2022.03.015', 'S0968-0160(22)00044-8']",10.1016/j.knee.2022.03.015,"['2021/02/08 00:00', '2022/02/09 00:00', '2022/03/29 00:00', '2022/04/26 06:00', '2022/06/22 06:00', '2022/04/25 20:14']",[],1,0,The Knee,doi: 10.1016/j.knee.2022.03.015,2022 Jun;36:33-43,"AIM: The aim of this study was to compare the peak extensor torque (primary outcome), sensory-motor capacity and Lysholm questionnaire score up to the fourth postoperative month post-primary anterior cruciate ligament reconstruction (ACLR) with bone-patellar-tendon-bone (BPTB) graft using either ipsilateral or contralateral technique in young sportsmen. METHODS: We performed a randomized controlled trial from 2018 to 2019. The same preoperative protocol, surgical technique and postoperative protocol were used in both groups. Eighty-eight young adult male patients were randomized, and 44 of each group completed the trial. RESULTS: After the follow up analysis, the contralateral receptor and donor limb demonstrated a statistically significant increase in peak extension torque compared with the ipsilateral operated limb (effect size (ES) = 0.99, power = 0.99, P < 0.0001; ES = 0.46, power = 0.56, P < 0.04). The symmetry between limbs was compared between groups. In the contralateral group, there was a significant decrease in the recipient limb (after surgery), compared with the donor limb (before surgery) (ES = 0.87, power = 0.99, P < 0.0001). In the ipsilateral group, the operated limb demonstrated a significant decrease in peak extension torque compared with the non-operated limb after surgery (ES = 1.88, power = 0.99, P < 0.0001). The comparison between groups in sensory-motor capacity and Lysholm score demonstrated a non-significant group effect postoperatively. CONCLUSION: The use of contralateral BPTB is more effective in increasing peak extension torque when compared with ipsilateral technique in young sportsmen. Furthermore, patients achieved greater symmetry (side to side) in quadriceps muscle performance after the 4-month follow up with a contralateral graft.",2022,pubmed,bptb
6,7,6,35042007,2022 Jul,2022 Jan 15,Arthroscopy,"['Forsythe B', 'Chahla J', 'Korrapati A', 'Lavoie-Gagne O', 'Forlenza E', 'Diaz CC', 'Chung CB', 'Bae WC', 'Bach BR', 'Cole B', 'Yanke AB', 'Verma NN']",Verma NN,Bone Marrow Aspirate Concentrate Augmentation May Accelerate Allograft Ligamentization in Anterior Cruciate Ligament Reconstruction: A Double-Blinded Randomized Controlled Trial.,38,7,2255-2264,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['35042007', '10.1016/j.arthro.2022.01.010', 'S0749-8063(22)00013-5']",10.1016/j.arthro.2022.01.010,"['2021/07/06 00:00', '2022/01/03 00:00', '2022/01/06 00:00', '2022/01/19 06:00', '2022/07/14 06:00', '2022/01/18 20:16']","['Arthroscopy. 2022 Jul;38(7):2265-2267. doi: 10.1016/j.arthro.2022.03.016. PMID: 35809981', 'Arthroscopy. 2023 Jun;39(6):1595. doi: 10.1016/j.arthro.2023.01.092. PMID: 37147082']",1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2022.01.010,2022 Jul;38(7):2255-2264,"PURPOSE: To assess the effect of bone marrow aspiration concentrate (BMAC) augmentation on clinical outcomes and magnetic resonance imaging (MRI) findings in anterior cruciate ligament (ACL) reconstruction (ACLR) with bone-patellar tendon-bone (BTB) allografts. METHODS: A double-blinded, randomized controlled trial was conducted on 80 patients undergoing ACL reconstruction using BTB allografts. Patients were randomized to 2 groups: (1) bone marrow aspirate was collected from the iliac crest, concentrated, and approximately 2.5 mL was injected into the BTB allograft, or (2) a small sham incision was made at the iliac crest (control). MRI was performed at 3 months and 9 months postoperatively to determine the signal intensity ratio of the ACL graft. RESULTS: Seventy-three patients were available for follow-up at 1-year postoperatively (36 BMAC, 37 control). International Knee Documentation Committee (IKDC) scores were significantly greater in the BMAC group versus the control at the 9-month postoperative period (81.6 +/- 10.5 vs 74.6 +/- 14.2, P = .048). There was no significant difference in the proportion of patients who met the minimal clinically important difference for IKDC between the BMAC and control groups at 9 months (89% vs 85%; P = .7). Three months postoperatively, signal intensity ratio of the inferior third of the ACL graft was significantly greater in the BMAC group versus the control group (3.2 +/- 2.2 vs 2.1 +/- 1.5; P = .02). CONCLUSIONS: Patients who received BMAC augmentation of the BTB allograft during ACL reconstruction demonstrated greater signal intensity scores on MRI at 3 months, suggesting increased metabolic activity and remodeling, and potentially accelerated ligamentization. Additionally, patients in the BMAC group had greater patient-reported outcomes (IKDC) at 9 months postoperatively when compared with those who underwent a standard surgical procedure. There was no significant difference in the proportion of patients who met the minimal clinically important difference for IKDC between the BMAC and control groups at 9 months, suggesting limited clinical significance at this time point. LEVEL OF EVIDENCE: I, randomized control trial.",2022,pubmed,bptb
7,8,7,34952186,2022 Jun,2021 Dec 22,Arthroscopy,"['Chahal J', 'Whelan DB', 'Hoit G', 'Theodoropoulos J', 'Ajrawat P', 'Betsch M', 'Docter S', 'Dwyer T']",Dwyer T,Anterior Cruciate Ligament Patellar Tendon Autograft Fixation at 0° Versus 30° Results in Improved Activity Scores and a Greater Proportion of Patients Achieving the Minimal Clinical Important Difference For Knee Injury and Osteoarthritis Outcome Score Pain: A Randomized Controlled Trial.,38,6,1969-1977,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,ppublish+epublish,"['34952186', '10.1016/j.arthro.2021.12.018', 'S0749-8063(21)01109-9']",10.1016/j.arthro.2021.12.018,"['2021/04/16 00:00', '2021/12/06 00:00', '2021/12/12 00:00', '2021/12/25 06:00', '2022/06/09 06:00', '2021/12/24 20:11']","['Arthroscopy. 2022 Jun;38(6):1978-1979. doi: 10.1016/j.arthro.2022.01.028. PMID: 35660189', 'J Bone Joint Surg Am. 2022 Aug 17;104(16):1505. doi: 10.2106/JBJS.22.00485. PMID: 35700077']",1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2021.12.018,2022 Jun;38(6):1969-1977,"PURPOSE: The aim of the current study was to determine the effect of the knee flexion angle (KFA) during tibial anterior cruciate ligament (ACL) graft fixation on patient-reported outcomes, graft stability, extension loss, and reoperation after anatomic single-bundle ACL reconstruction. METHODS: All 169 included patients (mean age 28.5 years, 65% male) were treated with anatomic single-bundle ACL reconstruction using patellar tendon autograft and were randomized to tibial fixation of the ACL graft at either 0 degrees  (n = 85) or 30 degrees  (n = 84). The primary outcome was the Knee Injury and Osteoarthritis Outcome Score (KOOS) 2 years after surgery. Secondary outcomes were the Marx Activity Scale (MAS), the rate of reoperation, and physical examination findings at 1 year, including KT-1000 and side-to-side differences in knee extension. RESULTS: The follow-up rate was 82% (n = 139) for the primary outcome. Graft failure rate at 2 years was 1% (n = 2, 1 per group). ACL tibial graft fixation at 0 degrees  or 30 degrees  did not have a significant effect on KOOS scores at 2 years after ACLR. Patients whose graft was fixed at a knee flexion angle of 0 degrees  had greater scores on the MAS (mean 9.6 95% confidence interval [CI] 8.5 to 10.6, versus 8.0, 95% CI 6.9 to 9.1; P = .04), and a greater proportion achieved the minimal clinical important difference (MCID) for the KOOS pain subdomain (94% versus 81%; P = .04). There was no significant difference in knee extension loss, KT-1000 measurements, or reoperation between the 2 groups. CONCLUSION: In the setting of anatomic single-bundle ACLR using patellar tendon autograft and anteromedial portal femoral drilling, there was no difference in KOOS scores between patients fixed at 0 degrees  and 30 degrees . Patient fixed in full extension did demonstrate higher activity scores at 2 years after surgery and a greater likelihood of achieving the MCID for KOOS pain. LEVEL OF EVIDENCE: II, prospective randomized trial.",2022,pubmed,bptb
8,9,8,34601649,2022 Aug,2021 Oct 3,Arch Orthop Trauma Surg,"['Komzák M', 'Hart R', 'Náhlík D', 'Vysoký R']",Vysoký R,In vivo knee rotational stability 2 years after the ACL reconstruction using a quadriceps tendon graft with bone block and bone-patellar tendon-bone graft.,142,8,1995-1999,['English'],9011043,0936-8051,1434-3916,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['34601649', '10.1007/s00402-021-04195-2', '10.1007/s00402-021-04195-2']",10.1007/s00402-021-04195-2,"['2020/01/20 00:00', '2021/09/24 00:00', '2021/10/04 06:00', '2022/07/22 06:00', '2021/10/03 21:07']",[],1,0,Archives of orthopaedic and trauma surgery,doi: 10.1007/s00402-021-04195-2,2022 Aug;142(8):1995-1999,"INTRODUCTION: The aim of this prospective randomised study was to evaluate clinical results and rotational stability at least 2 years after single-bundle anatomic anterior cruciate ligament reconstruction using a quadriceps tendon graft with bone block (BT) and bone-patellar tendon-bone graft (BTB). MATERIALS AND METHODS: In both groups (BT and BTB), 40 patients selected prospectively at random were evaluated. The mean follow-up after the surgery was 28 months (range 24-33 months). A navigation system was used to measure rotational stability of the knee joint. Cincinnati, Lysholm, and IKDC scores and visual analog score (VAS) were used to evaluate clinical results and the non-parametric Wilcoxon test was used for the statistical analysis. RESULTS: After the BT reconstruction, the mean internal rotation of the tibia (IR) was 9.5 degrees . In the contralateral healthy knee joint, IR was 8.6 degrees  at average. After the BTB reconstruction, the mean IR was 9.9 degrees . In the contralateral healthy knee joint, IR was 8.7 degrees  at average. We did not find any statistically significant difference in IR stability between BT and BTB reconstruction. In terms of clinical results, regarding the VAS, patients perceive significantly more pain after the BTB reconstruction (p < 0.05). Kneeling was reported more difficult and painful after BTB reconstruction. CONCLUSIONS: The BT reconstruction of the ACL provides similar clinical results, less pain, better flexion and the same rotational stability of the knee in comparison with the BTB reconstruction.",2022,pubmed,bptb
9,10,9,33945339,2021 Jun,2021 May 4,Am J Sports Med,"['Marmura H', 'Getgood AMJ', 'Spindler KP', 'Kattan MW', 'Briskin I', 'Bryant DM']",Bryant DM,Validation of a Risk Calculator to Personalize Graft Choice and Reduce Rupture Rates for Anterior Cruciate Ligament Reconstruction.,49,7,1777-1785,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Multicenter Study', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['33945339', '10.1177/03635465211010798']",10.1177/03635465211010798,"['2021/05/05 06:00', '2021/06/29 06:00', '2021/05/04 17:15']",[],1,0,The American journal of sports medicine,doi: 10.1177/03635465211010798,2021 Jun;49(7):1777-1785,"BACKGROUND: Anterior cruciate ligament reconstructions (ACLRs) fail at an alarmingly high rate in young active individuals. The Multicenter Orthopaedic Outcomes Network (MOON) knee group has developed an autograft risk calculator that uses patient characteristics and lifestyle to predict the probability of graft rupture if the surgeon uses a hamstring tendon (HT) or a bone-patellar tendon-bone (BPTB) graft to reconstruct the ligament. If validated, this risk calculator can be used during the shared decision-making process to make optimal ACLR autograft choices and reduce rupture rates. The STABILITY 1 randomized clinical trial offers a large, rigorously collected data set of similar young active patients who received HT autograft with or without lateral extra-articular tenodesis (LET) for ACLR. PURPOSE/HYPOTHESIS: The purpose was to validate the ACLR graft rupture risk calculator in a large external data set and to investigate the utility of BPTB and LET for ACLR. We hypothesized that the risk calculator would maintain adequate discriminative ability and calibration in the external STABILITY 1 data set when compared with the initial MOON development data set. STUDY DESIGN: Cohort study (diagnosis); Level of evidence, 1. METHODS: The model predictors for the risk calculator include age, sex, body mass index, sport played at the time of injury, Marx Activity Score, preoperative knee laxity, and graft type. The STABILITY 1 trial data set was used for external validation. Discriminative ability, calibration, and diagnostic test validity of the model were assessed. Finally, predictor strength in the initial and validation samples was compared. RESULTS: The model showed acceptable discriminative ability (area under the curve = 0.73), calibration (Brier score = 0.07), and specificity (85.3%) to detect patients who will experience a graft rupture. Age, high-grade preoperative knee laxity, and graft type were significant predictors of graft rupture in young active patients. BPTB and the addition of LET to HT were protective against graft rupture versus HT autograft alone. CONCLUSION: The MOON risk calculator is a valid predictor of ACLR graft rupture and is appropriate for clinical practice. This study provides evidence supporting the idea that isolated HT autografts should be avoided for young active patients undergoing ACLR. REGISTRATION: NCT00463099 (MOON); NCT02018354 (STABILITY 1) (ClinicalTrials.gov identifiers).",2021,pubmed,bptb
