,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO
0,40476596,2025 Jul,2025 Jun 6,Am J Sports Med,"['Mo IF', 'Harlem T', 'Faleide AGH', 'Strand T', 'Vindfeld S', 'Solheim E', 'Randsborg PH', 'Inderhaug E']",Inderhaug E,"Comparable Mid- to Long-term Outcomes of Semitendinosus and Semitendinosus/Gracilis Grafts in ACL Reconstruction: Median 8-Year (Range, 5-10 Years) Results From a Randomized Controlled Study.",53,9,2145-2153,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Randomized Controlled Trial', 'Comparative Study']",PubMed - indexed for MEDLINE,ppublish+epublish,"['40476596', '10.1177/03635465251344106']",10.1177/03635465251344106,"['2025/07/16 06:25', '2025/06/06 12:34', '2025/06/06 07:52']",[],1,0,The American journal of sports medicine,doi: 10.1177/03635465251344106,2025 Jul;53(9):2145-2153
1,40351242,2026 Feb,2025 May 12,Knee Surg Sports Traumatol Arthrosc,"['Lawless AM', 'Ebert JR', 'Edwards PK', 'Malik SS', 'Davies PSE', ""D'Alessandro PA""]",D'Alessandro PA,A semitendinosus with adjustable button graft construct in patients undergoing hamstring ACL reconstruction results in improved knee flexor strength symmetry and less donor site pain and morbidity: Outcomes from the DOSTAR randomized controlled trial.,34,2,484-493,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['40351242', 'PMC12850584', 'pmc-id: PMC12850584;', '10.1002/ksa.12698']",10.1002/ksa.12698,"['2025/04/03 00:00', '2025/02/04 00:00', '2025/04/05 00:00', '2026/01/28 19:21', '2025/05/12 06:32', '2025/05/12 05:14', '2026/01/28 00:00']",[],1,25,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1002/ksa.12698,2026 Feb;34(2):484-493
2,40086524,2025 Oct,2025 Mar 12,Arthroscopy,"['Ma HH', 'Chen KH', 'Chiang ER', 'Ma HL']",Ma HL,Intraoperative Periarticular Injection May Improve Postoperative Pain Scores and Reduce Opioid Consumption in Arthroscopic Anterior Cruciate Ligament Reconstruction Surgery.,41,10,4095-4102,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['40086524', '10.1016/j.arthro.2025.03.014', 'S0749-8063(25)00170-7']",10.1016/j.arthro.2025.03.014,"['2024/10/14 00:00', '2025/02/28 00:00', '2025/03/02 00:00', '2025/10/25 00:30', '2025/03/15 00:38', '2025/03/14 20:14']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2025.03.014,2025 Oct;41(10):4095-4102
3,39810716,2025 Jul,2025 Jan 15,Knee Surg Sports Traumatol Arthrosc,"['Calvert ND', 'Ebert JR', 'Radic R']",Radic R,Kneeling tolerance when using quadriceps tendon autograft for anterior cruciate ligament reconstruction is superior to hamstring tendon autograft.,33,7,2390-2396,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['39810716', '10.1002/ksa.12583']",10.1002/ksa.12583,"['2025/01/02 00:00', '2024/11/04 00:00', '2025/01/02 00:00', '2025/07/01 07:06', '2025/01/15 06:21', '2025/01/15 04:23']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1002/ksa.12583,2025 Jul;33(7):2390-2396
4,39714511,2024 Dec 23,2024 Dec 23,Arch Orthop Trauma Surg,"['Butt U', 'Vuletic F', 'Shaikh MAA', 'Amanullah', 'Rehman GU', 'Shah IA', 'Stålman A', 'Khan ZA']",Khan ZA,5-years outcomes following arthroscopic anterior cruciate ligament reconstruction comparing quadruple hamstring and peroneus longus tendon autografts: a randomized control trial.,145,1,85,['English'],9011043,0936-8051,1434-3916,"['Journal Article', 'Randomized Controlled Trial', 'Comparative Study']",PubMed - indexed for MEDLINE,epublish,"['39714511', 'PMC11666688', 'pmc-id: PMC11666688;', '10.1007/s00402-024-05639-1', '10.1007/s00402-024-05639-1']",10.1007/s00402-024-05639-1,"['2024/08/03 00:00', '2024/10/29 00:00', '2024/12/23 12:22', '2024/12/23 12:21', '2024/12/23 11:05', '2024/12/23 00:00']",[],1,34,Archives of orthopaedic and trauma surgery,doi: 10.1007/s00402-024-05639-1,2024 Dec 23;145(1):85
5,38845474,2024 Jul,2024 Jun 7,Am J Sports Med,"['Mo IF', 'Harlem T', 'Faleide AGH', 'Strand T', 'Vindfeld S', 'Solheim E', 'Inderhaug E']",Inderhaug E,ACL Reconstruction Using Quadrupled Semitendinosus Versus Double-Stranded Semitendinosus and Gracilis Autograft: 2-Year Results From a Prospective Randomized Controlled Study.,52,8,1927-1936,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['38845474', '10.1177/03635465241254048']",10.1177/03635465241254048,"['2024/07/01 06:41', '2024/06/07 06:43', '2024/06/07 03:43']",[],1,0,The American journal of sports medicine,doi: 10.1177/03635465241254048,2024 Jul;52(8):1927-1936
6,38811116,2024 Jul,2023 Dec 13,Clin Sports Med,['Getgood AMJ'],Getgood AMJ,Avoiding Graft Failure: Lessons Learned from the Stability Trial.,43,3,367-381,['English'],8112473,0278-5919,1556-228X,"['Journal Article', 'Multicenter Study', 'Randomized Controlled Trial', 'Pragmatic Clinical Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['38811116', '10.1016/j.csm.2023.08.005', 'S0278-5919(23)00109-6']",10.1016/j.csm.2023.08.005,"['2024/05/30 05:45', '2024/05/30 05:44', '2024/05/29 20:58']",[],1,0,Clinics in sports medicine,doi: 10.1016/j.csm.2023.08.005,2024 Jul;43(3):367-381
7,38794906,2024 Jun,2024 May 25,Am J Sports Med,"['Nakanishi Y', 'Hegarty P', 'Vivacqua T', 'Firth A', 'Milner JS', 'Pritchett S', 'Willits K', 'Litchfield R', 'Bryant D', 'Getgood AMJ']",Getgood AMJ,Quantitative MRI Analysis of Patellofemoral Joint Cartilage Health 2 Years After Anterior Cruciate Ligament Reconstruction and Lateral Extra-Articular Tenodesis.,52,7,1773-1783,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['38794906', '10.1177/03635465241248642']",10.1177/03635465241248642,"['2024/06/01 20:44', '2024/05/25 10:51', '2024/05/25 03:53']",[],1,0,The American journal of sports medicine,doi: 10.1177/03635465241248642,2024 Jun;52(7):1773-1783
8,38677365,2024 Aug,2024 Apr 25,J ISAKOS,"['Low CA', 'Teo SH']",Teo SH,"Higher rates of anatomical insertion of medial hamstring tendon regeneration post-anterior cruciate ligament reconstruction with stump preservation graft harvesting technique: A prospective, randomised, double-blinded clinical trial with magnetic resonance imaging evaluation.",9,4,575-580,['English'],101680867,2059-7754,2059-7762,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['38677365', '10.1016/j.jisako.2024.04.013', 'S2059-7754(24)00083-X']",10.1016/j.jisako.2024.04.013,"['2024/01/19 00:00', '2024/04/19 00:00', '2024/04/20 00:00', '2024/08/11 04:43', '2024/04/28 07:24', '2024/04/27 19:25']",[],1,0,Journal of ISAKOS : joint disorders & orthopaedic sports medicine,doi: 10.1016/j.jisako.2024.04.013,2024 Aug;9(4):575-580
9,38284303,2024 Mar,2024 Jan 29,Am J Sports Med,"['Ebert JR', 'Calvert ND', 'Radic R']",Radic R,A Prospective Randomized Controlled Trial Investigating Quadriceps Versus Hamstring Tendon Autograft in Anterior Cruciate Ligament Reconstruction.,52,3,660-669,['English'],7609541,0363-5465,1552-3365,"['Randomized Controlled Trial', 'Journal Article']",PubMed - indexed for MEDLINE,ppublish+epublish,"['38284303', 'PMC10905979', 'pmc-id: PMC10905979;', '10.1177/03635465231222279']",10.1177/03635465231222279,"['2024/03/04 06:44', '2024/01/29 06:43', '2024/01/29 05:31', '2024/03/01 00:00']",[],1,59,The American journal of sports medicine,doi: 10.1177/03635465231222279,2024 Mar;52(3):660-669
