,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,AB
0,41761462,2026 Mar,,J Orthop Res,"['Dennis JD', 'Edison AE', 'Birchmeier TB', 'Pietrosimone BG', 'Blackburn JT']",Blackburn JT,Whole Body Vibration Acutely Decreases Medial Tibiofemoral Contact Force During Walking Following Anterior Cruciate Ligament Reconstruction.,44,3,e70166,['English'],8404726,0736-0266,1554-527X,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,"['41761462', '10.1002/jor.70166']",10.1002/jor.70166,"['2026/01/29 00:00', '2025/10/22 00:00', '2026/02/17 00:00', '2026/03/06 09:11', '2026/02/28 06:34', '2026/02/28 00:42']",[],1,0,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,doi: 10.1002/jor.70166,2026 Mar;44(3):e70166,"Investigating the loading environment of the tibiofemoral joint is critical following anterior cruciate ligament reconstruction (ACLR), given these individuals incur a high risk of post-traumatic osteoarthritis (PTOA). Whole-body vibration (WBV) and local muscle (LMV) vibration acutely improve isometric quadriceps function and gait biomechanics linked to PTOA development, but it is unclear how vibration affects tibiofemoral contact and quadriceps forces during walking. Participants with unilateral, primary ACLR were randomized to control (n = 21, time since ACLR = 23 +/- 15), WBV (n = 25, time since ACLR = 27 +/- 15), or LMV (n = 23, time since ACLR = 31 +/- 16) groups, and walking biomechanics were assessed before and immediately following the respective interventions. Peak medial, lateral, and total tibiofemoral contact forces, as well as rectus femoris, vastus medialis, vastus intermedius, and vastus lateralis forces, were compared between groups and across time with 2 x 3 repeated measure ANCOVAs while controlling for gait speed and time since ACLR. Medial contact force decreased following WBV (mean difference = -0.219, p = 0.001, d = -0.643) but was unaltered by LMV. Peak lateral contact, total contact, and quadriceps forces were unaltered by WBV or LMV (p > 0.05). Greater medial contact forces during gait have been implicated in the development of idiopathic osteoarthritis, and individuals with ACLR often exhibit signs of limb overloading in the later stages of recovery (e.g., > 2 years post-ACLR). WBV may offer a targeted strategy to reduce PTOA risk in those who overload the ACLR limb by decreasing medial knee compartment loading."
1,41507831,2026 Jan 9,2026 Jan 9,BMC Musculoskelet Disord,"['Zhang S', 'Zhao Y', 'Li W', 'Bai R', 'Shi C', 'Han J', 'Zhang Y', 'Mi J']",Mi J,Effect of repetitive transcranial magnetic stimulation on quadriceps function in participants in the early postoperative period after anterior cruciate ligament reconstruction: a randomized controlled trial.,27,1,113,['English'],100968565,,1471-2474,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,epublish,"['41507831', 'PMC12882163', 'pmc-id: PMC12882163;', '10.1186/s12891-025-09478-y', '10.1186/s12891-025-09478-y']",10.1186/s12891-025-09478-y,"['2025/05/26 00:00', '2025/12/31 00:00', '2026/02/07 06:33', '2026/01/09 00:26', '2026/01/08 23:45', '2026/01/09 00:00']",[],1,43,BMC musculoskeletal disorders,doi: 10.1186/s12891-025-09478-y,2026 Jan 9;27(1):113,"BACKGROUND: Insufficient quadriceps activation is likely to occur in the early postoperative period after anterior cruciate ligament reconstruction (ACLR). Transcranial magnetic stimulation (TMS) has a positive effect on the activation and contractility of the quadriceps femoris. To investigate the effect of repetitive transcranial magnetic stimulation (rTMS) on quadriceps femoris function in participants during the early postoperative period following anterior cruciate ligament reconstruction (ACLR). METHODS: Fifty six participants received rehabilitation education and a recommended routine training and knee flexion and extension exercise plan. In addition to this, the REAL group received 2 weeks of transcranial magnetic stimulation treatment. The resting motor threshold (RMT), root mean square (RMS) value, difference in knee extension angle between the healthy and affected sides, visual analog scale (VAS) score, and difference in the circumference of the vastus medialis oblique between the healthy and affected sides were assessed at baseline and 2 weeks after treatment. RESULTS: Compared with those in the SHAM group, the improvements in the RMT and RMS value of the vastus medialis oblique, the difference in the knee extension angle between the healthy and affected sides, and the VAS score in the REAL group were more significant (p < 0.001). There was no significant between-group difference in the difference in the circumference of the vastus medialis oblique between the healthy and affected sides (p > 0.05). CONCLUSION: The use of rTMS, the goal of which is to increase the excitability of the corticospinal pathway, can promote the activation of the quadriceps femoris, prevent muscle atrophy, and accelerate the recovery of muscle strength in participants in the early postoperative period after ACLR. TRIAL REGISTRATION: The Registration number of the Chinese Clinical Trial Registry is ChiCTR2300076522, 11/10/2023."
2,40944765,2025 Sep 13,2025 Sep 13,Eur J Orthop Surg Traumatol,"['Yadav AK', 'Sharma A', 'Paul N', 'Bhakhar A', 'Sarkar B', 'Azam MQ']",Azam MQ,Quadriceps versus hamstrings autograft in anterior cruciate ligament reconstruction: a randomized control trial.,35,1,395,['English'],9518037,1633-8065,1432-1068,"['Journal Article', 'Randomized Controlled Trial', 'Comparative Study']",PubMed - indexed for MEDLINE,epublish,"['40944765', '10.1007/s00590-025-04510-2', '10.1007/s00590-025-04510-2']",10.1007/s00590-025-04510-2,"['2025/05/01 00:00', '2025/09/01 00:00', '2025/09/16 13:03', '2025/09/13 12:30', '2025/09/13 11:05']",[],1,0,European journal of orthopaedic surgery & traumatology : orthopedie traumatologie,doi: 10.1007/s00590-025-04510-2,2025 Sep 13;35(1):395,"PURPOSE: The use of quadriceps tendon (QT) autograft is on the rise owing to its specific attributes, such as predictable size, lower graft failure rate, and less donor site morbidity. The hypothesis for the current study is that ACL reconstruction using QT autograft results in better clinical outcomes than hamstrings tendon (HT). METHODS: Patients underwent a single-bundle, all-inside ACL reconstruction after being randomized into QT and HT groups. At 12 months, objective outcomes (Lachman test, anterior drawer test, pivot shift test, and side-to-side anterior translation measurement with KT-1000) and subjective outcomes (Lysholm and KOOS scores) were evaluated, along with donor site morbidity and graft failure. RESULTS: Sixty-nine patients (QT: 33, HT: 36) were included in the final analysis. At 12 month follow-up, a negative Lachman test was found in 72.7% of cases in the QT group and 41.6% in the HT group (p = 0.04). Positive pivot shift was more frequent in the HT group (13.9% vs. 0%, p = 0.27), while KT-1000 showed greater anterior translation in the HT group than QT (3.77 +/- 2.01 vs. 2.73 +/- 1.64 mm, p = 0.23). Lysholm (92.4 vs. 88.2, p = 0.008) and KOOS (94.1 vs. 89.6, p = 0.01) scores were higher in the QT group. The only case of graft failure occurred in the HT group, which also had more sensory hypoesthesia (30.5%), while one patient in the QT group developed stiffness requiring arthrolysis. CONCLUSION: Quadriceps tendon autograft in ACL reconstruction offers superior translational stability and reduced donor site morbidity, with comparable PROMs and a trend toward improved rotational stability. CTRI REGISTRATION NUMBER: CTRI/2023/07/055894. EVIDENCE LEVEL: Level 1, Randomized Controlled Study."
3,40351242,2026 Feb,2025 May 12,Knee Surg Sports Traumatol Arthrosc,"['Lawless AM', 'Ebert JR', 'Edwards PK', 'Malik SS', 'Davies PSE', ""D'Alessandro PA""]",D'Alessandro PA,A semitendinosus with adjustable button graft construct in patients undergoing hamstring ACL reconstruction results in improved knee flexor strength symmetry and less donor site pain and morbidity: Outcomes from the DOSTAR randomized controlled trial.,34,2,484-493,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['40351242', 'PMC12850584', 'pmc-id: PMC12850584;', '10.1002/ksa.12698']",10.1002/ksa.12698,"['2025/04/03 00:00', '2025/02/04 00:00', '2025/04/05 00:00', '2026/01/28 19:21', '2025/05/12 06:32', '2025/05/12 05:14', '2026/01/28 00:00']",[],1,25,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1002/ksa.12698,2026 Feb;34(2):484-493,"PURPOSE: To compare donor site morbidity and patient-reported outcome measures (PROMs), knee laxity and early strength and functional outcomes, following anterior cruciate ligament reconstruction (ACLR) using a semitendinosus (ST) tendon autograft with suspensory adjustable button tibial fixation or semitendinosus-gracilis (STG) autograft with tibial screw fixation. METHODS: While 153 patients were prospectively recruited and randomized to an ST or STG autograft, 131 (62 ST and 69 STG) were retained following ACLR and followed post-surgery. Standardized surgical techniques were employed, varying only in graft selection and fixation. The primary study outcomes were early hamstring pain, donor site morbidity and strength recovery. However, several outcomes were assessed pre-surgery and at 3 and 6 months, encompassing the Donor-site-related Functional Problems following Anterior Cruciate Ligament Reconstruction (DFPACLR) score, Visual Analogue Scale (VAS) for hamstring pain and other commonly employed PROMs, anteroposterior laxity (KT-1000), isokinetic hamstring and quadriceps strength, hop testing, complications and re-operations. Intention-to-treat analysis was performed using linear mixed models for continuous data and Mann-Whitney U tests where appropriate. RESULTS: At 6 months, ST patients reported significantly lower hamstring pain (p < 0.001) and DFPACLR (p < 0.001) scores. A significantly higher (p < 0.001) peak knee flexor strength limb symmetry index (LSI) was observed for the ST group, though no other group differences in side-to-side laxity, hop tests or other normalized strength measures or LSIs were observed. CONCLUSIONS: ACLR using an ST autograft resulted in less donor site pain and morbidity, and improved knee flexor strength symmetry at 6 months, while demonstrating comparable functional outcomes to the STG autograft. LEVEL OF EVIDENCE: Level 1 prospective, double-blinded, randomized controlled trial."
4,40269014,2025 Apr 23,2025 Apr 23,Sci Rep,"['Khanmohammadi R', 'Zare S', 'Musavi A', 'Ahmadi M']",Ahmadi M,The effect of incorporating whole body vibration into exercise therapy on the corticomotor excitability of the quadriceps in athletes following anterior cruciate ligament reconstruction.,15,1,14063,['English'],101563288,,2045-2322,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,epublish,"['40269014', 'PMC12019341', 'pmc-id: PMC12019341;', '10.1038/s41598-025-98134-5', '10.1038/s41598-025-98134-5']",10.1038/s41598-025-98134-5,"['2024/09/28 00:00', '2025/04/09 00:00', '2025/04/24 12:30', '2025/04/24 00:27', '2025/04/24 00:00', '2025/04/23 00:00']",[],1,33,Scientific reports,doi: 10.1038/s41598-025-98134-5,2025 Apr 23;15(1):14063,"Previous studies have shown that athletes recovering from anterior cruciate ligament (ACL) reconstruction experience a decline in motor cortex excitability and injury-related cortical reorganization, potentially leading to ongoing complications and a higher risk of subsequent injuries. Therefore, incorporating an intervention that consistently delivers sensory inputs to the central nervous system and enhances excitability at both spinal and supra-spinal levels, in addition to exercise therapy, may offer greater benefits. The purpose of this study was to explore whether combining whole body vibration (WBV) with exercise therapy enhances motor cortical excitability in athletes undergoing ACL reconstruction more effectively than exercise therapy alone. Additionally, it aimed to assess whether this combination improves quadriceps strength and reduces functional limitations in daily activities. This study is a randomized, single-blinded, controlled trial. Twenty-six participants were assigned to either the WBV plus exercise therapy group (intervention group) or the exercise therapy-only group (control group). Outcome measures, assessed before and after treatment, included motor cortex excitability [active motor threshold (AMT) and motor-evoked potential amplitude of the quadriceps], isometric peak torque of the quadriceps, and daily functional disabilities using the knee outcome survey activities of daily living scale (KOS-ADL scale). The treatment period consisted of 12 sessions (4 weeks, with 3 sessions per week). A two-way mixed ANOVA was conducted to examine the main effects of group, time and their interactions. The results showed that in the intervention group (WBV plus exercise therapy), AMT significantly decreased (F(1, 12) = 11.35, P = 0.006, eta(2) = 0.486), while the control group (exercise therapy only) showed no significant change (F(1, 12) = 0.252, P = 0.625, eta(2) = 0.021). In the intervention group, AMT decreased by 19.47% post-treatment. Both groups showed significant improvements in isometric peak torque and KOS-ADL scores (P < 0.001), with large effect sizes for these parameters. The study concluded that adding WBV to exercise therapy is more effective in increasing motor cortex excitability compared to exercise therapy alone. However, since both groups showed significant improvements in quadriceps peak torque and KOS-ADL scores, it suggests that the addition of WBV did not provide substantial added benefits in enhancing quadriceps strength and improving daily functional abilities. The observed improvements may primarily be attributed to exercise therapy. Nonetheless, it is important to consider the small sample size and low statistical power when interpreting these results.RCT registration: On the Iranian Registry of Clinical Trials (IRCT20220220054078N1)."
5,40133434,2025 Mar 25,2025 Mar 25,Sci Rep,"['Zhang D', 'Wang X', 'Huang G', 'Wu L', 'He Y', 'Huang Y', 'Zhang G']",Zhang G,Ultrasound guided proximal adductor canal and pes anserinus blocks improve early recovery after arthroscopic ACL reconstruction.,15,1,10236,['English'],101563288,,2045-2322,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,epublish,"['40133434', 'PMC11937564', 'pmc-id: PMC11937564;', '10.1038/s41598-025-94343-0', '10.1038/s41598-025-94343-0']",10.1038/s41598-025-94343-0,"['2024/12/23 00:00', '2025/03/13 00:00', '2025/03/26 13:07', '2025/03/26 13:06', '2025/03/26 00:24', '2025/03/25 00:00']",[],1,42,Scientific reports,doi: 10.1038/s41598-025-94343-0,2025 Mar 25;15(1):10236,"To explore the impact of ultrasound-guided proximal adductor canal and pes anserinus tendon block on early recovery after anterior cruciate ligament reconstruction surgery via daytime knee arthroscopy. A total of 127 patients, aged 18-60 years, with ASA class I-II, undergoing anterior cruciate ligament reconstruction via knee arthroscopy under general anesthesia with laryngeal mask airway intubation, were selected. These patients were randomly divided into three groups: Group C (43 cases), Group N(1) (41 cases), and Group N(2) (43 cases). Control group C: received proximal block of the adductor canal with 0.5% ropivacaine (15 ml); Experimental group N(1): received proximal block of the adductor canal combined with tendon block of the pes anserinus with 0.5% ropivacaine (15 ml per site); Experimental group N(2): received proximal block of the adductor canal combined with tendon block of the pes anserinus with 0.5% ropivacaine plus 5 mg dexamethasone (15 ml per site). Record the VAS scores at each time point after awakening, 3 h after surgery, 6 h after surgery, 12 h after surgery, 24 h after surgery, 48 h after surgery, and 72 h after surgery during rest and knee flexion activities of the knee joint. Record the quadriceps muscle strength after awakening, Ramsay sedation score after awakening, time of first ambulation after surgery, and the amount of sufentanil, propofol, and remifentanil used during the operation. Record the amount of tramadol and flurbiprofen axetil added postoperatively. Record the anxiety scores and rapid eye movement sleep behavior disorder scores before and 3 days after surgery. Record the occurrence of breakthrough pain and adverse reactions 3 days after surgery. Compared with Group C, both Group N(1) and Group N(2) showed significantly lower rest and activity VAS scores at all time points on postoperative day 3 (P < 0.05), earlier time to first ambulation after surgery (P < 0.05), significantly lower HADS-A scores and sleep scores on postoperative day 3 (P < 0.05), significantly higher Ramsay sedation scores after awakening (P < 0.05), and significantly reduced use of additional tramadol and flurbiprofen axetil after surgery (P < 0.05). The intraoperative sufentanil dosage was also significantly reduced (P < 0.05). There were no statistically significant differences in quadriceps muscle strength and adverse reactions during the awakening period among the three groups (P > 0.05). Ultrasound-guided proximal adductor canal and pes anserinus tendon block (15 ml of 0.5% ropivacaine each) can effectively alleviate pain 3 days after anterior cruciate ligament reconstruction surgery under knee arthroscopy, with good analgesic effects, and has minimal impact on quadriceps muscle strength after awakening, promoting early postoperative ambulation; at the same time, this blocking method can reduce the occurrence of postoperative anxiety and sleep disorders."
6,39970465,2025 Jan,2025 Jan 9,J Back Musculoskelet Rehabil,"['Li S', 'Lu B', 'Zhang Y', 'Liu J', 'Xu W', 'Li Q']",Li Q,The effect of neuromuscular electrical stimulation superimposed on quadriceps training on gait dynamics after anterior cruciate ligament reconstruction.,38,1,139-147,['English'],9201340,1053-8127,1878-6324,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['39970465', '10.1177/10538127241296376']",10.1177/10538127241296376,"['2025/02/19 18:21', '2025/02/19 18:20', '2025/02/19 17:23']",[],1,0,Journal of back and musculoskeletal rehabilitation,doi: 10.1177/10538127241296376,2025 Jan;38(1):139-147,"BACKGROUND: Abnormal gait dynamics are an important risk factor responsible for the high incidence of traumatic knee osteoarthritis in patients undergoing anterior cruciate ligament (ACL) reconstruction. OBJECTIVE: To evaluate the effect of neuromuscular electrical stimulation (NMES) superimposed quadriceps training on gait dynamics. METHODS: A total of 32 postoperative patients were randomly allocated to the NMES and conventional training (CT) groups, with 16 patients per group. Patients in the CT group received the standardized conventional training for 60 min per day, 3 days per week for 6 weeks, while those in the NMES group received the same conventional training, but with NMES superimposed on the conventional open chain training of the quadriceps. The amount of time for training was equal between the two groups. Patients were evaluated at 8 and 14 weeks after surgery. The outcome measurements were maximum voluntary isometric contraction (MVIC) of the quadriceps used to assess the quadriceps strength, Lysholm score used to assess knee function and peak vertical ground reaction force (PvGRF), heel medial (HM) peak pressure and heel lateral (HL) peak pressure used to assess gait dynamics. RESULTS: Compared to the CT group, the NMES group had greater improvements in quadriceps strength (p<0.001, effect size = 2.93), knee function (p = 0.049, effect size = 2.06), and gait loading (including HL peak pressure (P = 0.007, effect size = 0.89) and PvGRF (P = 0.019, effect size = 0.62)). After the intervention, participants in both groups had a significantly lower rearfoot impulse and significantly higher forefoot impulse. CONCLUSIONS: The NMES superimposed on conventional quadriceps open chain training has shown additional improvements in gait loading in patients after ACL reconstruction, which suggests it may contribute to delaying the onset of early postoperative traumatic knee osteoarthritis. In addition, changes in foot impulse may suggest a progressive trend in quadriceps avoidance gait in the early postoperative period."
7,39947195,2025 Sep 1,2025 Feb 13,J Sport Rehabil,"['Cao X', 'Liu J', 'Zhao J', 'Feng S', 'Zhao Z']",Zhao Z,Evaluation of the Application of BOth Sides Up Ball Training Combined With Resistance Training in Joint Stability Improvement Following Anterior Cruciate Ligament Reconstruction Surgery in Teenage Athletes.,34,7,733-739,['English'],9206500,1056-6716,1543-3072,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,epublish+ppublish,"['39947195', '10.1123/jsr.2024-0160']",10.1123/jsr.2024-0160,"['2024/04/23 00:00', '2025/01/02 00:00', '2025/01/02 00:00', '2025/08/31 19:48', '2025/02/14 00:23', '2025/02/13 18:43']",[],1,0,Journal of sport rehabilitation,doi: 10.1123/jsr.2024-0160,2025 Sep 1;34(7):733-739,"Adolescent athletes participating in sports involving sudden directional changes, pivoting, and jumping frequently sustain anterior cruciate ligament (ACL) ruptures. ACL reconstruction (ACLR) surgery is often required, followed by a lengthy rehabilitation period. This study aims to evaluate the effectiveness of combining BOth Sides Up (BOSU) ball exercises with conventional resistance training in the recovery of joint stability and function after ACLR in adolescent athletes. Thirty adolescent athletes (ages 14-18) who underwent ACLR were randomly allocated to either the control group receiving traditional postoperative rehabilitation (n = 15) or the intervention group combining BOSU ball training with resistance exercises (n = 15). Joint stability, proprioception, strength, and functional outcomes were assessed before the procedure, as well as 3, 6, and 12 months after the operation using the KT-1000 arthrometer, Y-balance test, isokinetic dynamometry, and the ACL-Return to Sport after Injury ACL-Return to Sport after Injury (ACL-RSI) scale. The intervention group demonstrated notably better anterior-posterior knee joint stability (P < .05) than the control group at the 6-month and 12-month follow-ups after the surgery, greater reach distances in the Star Excursion Balance Test (P < .05), higher quadriceps and hamstring strength ratios (P < .05), and superior ACL-RSI scores (P < .01). Incorporating BOSU ball training with resistance exercises appears to be more effective than traditional rehabilitation alone in enhancing joint stability and neuromuscular control after ACLR in adolescent athletes. These results provide evidence supporting the incorporation of unstable surfaces into a comprehensive rehabilitation program to optimize recovery and safe return to sports."
8,39810716,2025 Jul,2025 Jan 15,Knee Surg Sports Traumatol Arthrosc,"['Calvert ND', 'Ebert JR', 'Radic R']",Radic R,Kneeling tolerance when using quadriceps tendon autograft for anterior cruciate ligament reconstruction is superior to hamstring tendon autograft.,33,7,2390-2396,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['39810716', '10.1002/ksa.12583']",10.1002/ksa.12583,"['2025/01/02 00:00', '2024/11/04 00:00', '2025/01/02 00:00', '2025/07/01 07:06', '2025/01/15 06:21', '2025/01/15 04:23']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1002/ksa.12583,2025 Jul;33(7):2390-2396,"PURPOSE: To investigate kneeling tolerance in patients undergoing hamstring (HT) versus quadriceps (QT) anterior cruciate ligament reconstruction (ACLR) and investigate correlation with patient-reported outcome measures (PROMs). METHODS: After recruitment and randomisation, 112 patients (HT = 55; QT = 57) underwent ACLR. Patients were assessed at 6, 12 and 24 months using the Kneeling Tolerance Test, which evaluates patient-reported pain in a position of both 90 (KT90) and 110 (KT110) degrees of knee flexion. PROMs collected included the International Knee Documentation Committee (IKDC) questionnaire and the ACL Return to Sport after Injury (ACL-RSI) questionnaire. RESULTS: Kneeling tolerance at KT90 and KT110 improved (p < 0.05) for both graft types across all time points. There was no difference in KT90 scores between groups at 6 or 12 months. At 24 months, kneeling tolerance was superior in the QT group (mean HT 93 +/- 9 vs. QT 98 +/- 5; p = 0.003). For KT110 scores, a statistically significant difference was noted at 6 (mean HT 80 +/- 25 vs. QT 89 +/- 12; p = 0.027), 12 (mean HT 90 +/- 13 vs. QT 95 +/- 10; p = 0.040) and 24 months (mean HT 92 +/- 10 vs. QT 97 +/- 5; p = 0.003). The ACL-RSI was significantly correlated with KT90 and KT110 at 24 months (r = 0.40, p < 0.001; r = 0.40, p < 0.001). Other PROMs demonstrated significant weak-to-moderate correlations with kneeling tolerance. CONCLUSION: Patients undergoing ACLR with a QT versus HT autograft report superior kneeling tolerance up to 2 years postsurgery, more prominent in deeper (110 degrees ) knee flexion. A strong correlation with ACL-RSI was demonstrated at 2 years. REGISTRATION: ACTRN12618001520224p (Australian New Zealand Clinical Trials Registry). LEVEL OF EVIDENCE: Level 1."
9,39686717,2025 Sep,2024 Dec 17,Knee Surg Sports Traumatol Arthrosc,"['Sevinc C', 'Gürler V', 'Harput G', 'Ocguder A', 'Ergen FB', 'Tunay VB']",Tunay VB,"Blood flow restriction training with cross education for quadriceps muscle recovery after anterior cruciate ligament reconstruction: A prospective, randomized, controlled, single-blind clinical trial.",33,9,3088-3097,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['39686717', '10.1002/ksa.12553']",10.1002/ksa.12553,"['2024/11/17 00:00', '2024/07/01 00:00', '2024/11/17 00:00', '2025/08/31 19:43', '2024/12/17 11:49', '2024/12/17 03:13']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1002/ksa.12553,2025 Sep;33(9):3088-3097,"PURPOSE: Recently, blood flow restriction (BFR) and cross education (CE) trainings are the options for quadriceps strength recovery after anterior cruciate ligament reconstruction (ACLR). The aim of this study was to investigate the effects of CE combined with BFR on quadriceps strength and thickness after ACLR. METHODS: Twenty-four male patients [(Age: 24.9 +/- 6.3 years, body mass index: 24 +/- 2.3 kg/m(2)) who had undergone ACLR with hamstring autograft were included. At 4 weeks after surgery, the patients were randomly divided into two groups (Group-1: CE + BFR, n = 13, Group-2: CE, n = 11). All patients had standardized rehabilitation for their reconstructed limb until 12 weeks postsurgery, and they all received CE training for uninjured limb at isokinetic system (quadriceps eccentric contraction, 60 degrees /s 3-set 12-rep, 2-days in a week) during 8 weeks. Group 2 performed the same CE procedure with BFR. Quadriceps isometric strength was measured using an isokinetic dynamometer, while the thickness of quadriceps (rectus femoris, vastus lateralis, vastus medialis obliquus) and cross-sectional area of rectus femoris were evaluated using ultrasound pretraining (4th-week postsurgery) and posttraining (12th-week postsurgery). Analysis of variance was used for statistical analysis. RESULTS: Group-by-time interaction and the group main effect were not significant for any measured variables in both limbs (p > 0.05). There was a significant main effect of time observed for quadriceps strength and thickness in involved and uninvolved limbs (p < 0.001, p < 0.05, respectively). In Group 1, the limb symmetry index for quadriceps strength increased from 49.3% to 71.7%, while in Group 2, it increased from 50.9% to 75.2%. CONCLUSION: BFR training, adapted to CE eccentric strengthening, may not be effective for quadriceps muscle strength recovery after ACLR. Further investigations with varied training protocols are needed to research the impact of BFR on CE. LEVEL OF EVIDENCE: Level II randomized controlled trial."
