,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,abstract
0,40297074,2025 Apr,2024 Nov 5,Arthrosc Sports Med Rehabil,"['Dave U', 'Villarreal-Espinosa JB', 'Shah H', 'Cotter EJ', 'Gómez-Verdejo F', 'Carpenter M', 'Gerhold C', 'Mamonov A', 'Chahla J', 'Verma NN']",Verma NN,"Patients Have Similar Clinical Outcomes and Failure Rates After Anterior Cruciate Ligament Reconstruction With Tibialis Anterior Tendon, Bone-Patellar Tendon-Bone, Hamstring Tendon, or Achilles Tendon Allografts: A Systematic Review.",7,2,101035,['English'],101765256,,2666-061X,"['Journal Article', 'Review']",PubMed,,"['40297074', 'PMC12034080', 'pmc-id: PMC12034080;', '10.1016/j.asmr.2024.101035', 'S2666-061X(24)00178-0']",10.1016/j.asmr.2024.101035,"['2024/07/09 00:00', '2024/10/17 00:00', '2025/04/29 11:13', '2025/04/29 11:12', '2025/04/29 04:56', '2024/11/05 00:00']",[],1,38,"Arthroscopy, sports medicine, and rehabilitation",doi: 10.1016/j.asmr.2024.101035,2025 Apr;7(2):101035,"PURPOSE: To compare postoperative outcomes and functionality in patients who undergo primary allograft anterior cruciate ligament reconstruction (ACLR) with tibialis anterior (TA) tendon, bone-patellar tendon-bone (BPTB), hamstring tendon (HT), and Achilles tendon allografts. METHODS: In April 2024, a comprehensive search of the PubMed, Embase, and Cochrane Library databases was performed in accordance with Preferred Reporting Items for Systematic Reviews and Meta-analyses guidelines. Studies were included if they evaluated primary ACLR using allograft, were prospective randomized controlled trials or retrospective studies, compared outcomes in patients undergoing primary ACLR with different allograft types, and were published between 2000 and 2024. Data collection included patient demographic characteristics, graft type, activity level, drilling technique, concomitant and augmentation procedures, patient-reported outcome measures, complications, and graft rerupture rates. Pooling of data was avoided, and qualitative data comparison was conducted. RESULTS: The initial search identified 957 studies, 7 of which were included in this systematic review. Of these, 5 were randomized controlled trials and 2 were retrospective studies. A total of 735 patients were included, with 167 HT patients, 252 BPTB patients, 162 TA patients, and 153 Achilles patients. The mean ages within the cohorts ranged from 23.9 to 37.2 years. The mean follow-up times across studies ranged from 25.6 to 90.0 months. Demographic characteristics were similar among the graft cohorts, and each study had a low risk of bias. Failure rates ranged from 2% to 65% across studies. Similar International Knee Documentation Committee, Lysholm, and Tegner scores were reported among the graft types. Additionally, similar functional outcomes as measured by side-by-side differences in arthrometer readings and similar complication rates after primary ACLR with HT, BPTB, TA, and Achilles allografts were found. CONCLUSIONS: Primary ACLR with allografts in patients older than 23 years is safe and effective with few differences in patient-reported outcomes, postoperative function, and graft failure rates among graft options. LEVEL OF EVIDENCE: Level IV, systematic review of Level I to IV studies."
1,39736700,2024 Dec 30,2024 Dec 30,BMC Musculoskelet Disord,"['Liu G', 'Lv G', 'Liu F']",Liu F,"Suture techniques in the surgical management of flexor tendon, Achilles tendon and cruciate ligament injuries: a systematic review.",25,1,1087,['English'],100968565,,1471-2474,"['Journal Article', 'Systematic Review']",PubMed - indexed for MEDLINE,epublish,"['39736700', 'PMC11684085', 'pmc-id: PMC11684085;', '10.1186/s12891-024-08200-8', '10.1186/s12891-024-08200-8']",10.1186/s12891-024-08200-8,"['2024/09/01 00:00', '2024/12/16 00:00', '2024/12/31 11:04', '2024/12/31 00:19', '2024/12/30 23:56', '2024/12/30 00:00']",[],1,84,BMC musculoskeletal disorders,doi: 10.1186/s12891-024-08200-8,2024 Dec 30;25(1):1087,"OBJECTIVE: To provide clinicians with reliable recommendations for the selection of appropriate suturing techniques for surgical management of common musculoskeletal soft tissue injuries. METHODS: A systematic search of PubMed, Springer, Web Science, Vip Database, China National Knowledge, and Wanfang Data for in vitro biomechanical studies on suture techniques in the surgical treatment of musculoskeletal soft tissue injuries covering relevant studies from April 2009 to April 2024 was performed. A generalized classification was made based on the characteristics of the techniques, and recommendations for the selection of suture techniques were made according to the GRADE concept. RESULTS: The search strategy returned 1015 articles, of which 66 were included. These studies presented moderate and high levels of evidence-based evidence and provided varying recommendations for the choice of suturing techniques in the treatment of three common musculoskeletal soft tissue injuries. Categorizing suturing techniques according to their structural principles further increases the reliability of opinions. CONCLUSION: The ideal suture technique must be a compromise between the complexity and strength of the repair, which is a great challenge for clinicians. This review can provide an objective and reliable clinical guide for making suture technique choices for common musculoskeletal soft tissue repair."
2,39674612,2025 Jan,,Arthroscopy,"['Neufeld EV', 'Sgaglione J', 'Sgaglione NA']",Sgaglione NA,Anterior Cruciate Ligament Reconstruction Graft Options.,41,1,16-18,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Review']",PubMed - indexed for MEDLINE,ppublish,"['39674612', '10.1016/j.arthro.2024.10.004', 'S0749-8063(24)00783-7']",10.1016/j.arthro.2024.10.004,"['2024/09/16 00:00', '2024/10/07 00:00', '2024/12/15 00:42', '2024/12/15 00:41', '2024/12/14 21:11']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2024.10.004,2025 Jan;41(1):16-18,"Anterior cruciate ligament reconstruction is one of the most common orthopaedic sports medicine surgeries. Its prevalence in the sports medicine sphere is matched by the numerous options of different techniques. Chief among these is graft selection, which most commonly falls into 1 of 4 options: bone-patellar tendon-bone (BPTB) autograft, hamstring tendon autograft (HT), quadriceps tendon autograft, and allografts. The most frequently used allografts include BPTB, HT, tibialis anterior or posterior tendon, and Achilles tendon. Each graft option possesses unique advantages and disadvantages. BPTB autograft demonstrates the fastest incorporation via bone-to-bone healing. It also yields a lower revision rate and greater return-to-sport rate compared with HT. However, because of donor-site morbidity, anterior knee pain and kneeling pain can occur. There is also a small risk of patellar fracture as well as patellar tendon rupture. HT autograft requires a smaller incision than BPTB and preserves the extensor mechanism. Patients are at risk for knee flexion weakness, saphenous nerve injury, and potential graft loosening over time secondary to bone tunnel widening. Quadriceps tendon autograft may be harvested with minimally invasive techniques. As with HT, the all soft-tissue composition allows use in skeletally immature patients. Although early studies show promise, knee extension weakness has been documented, and long-term outcomes are less clear. Allograft possesses no donor-site morbidity and reduced surgical time; however, allografts are associated with the greatest failure rate in young athletes and a lower return-to-sport rate compared with autografts. They also incur a greater financial cost than autografts. To be proficient at performing anterior cruciate ligament reconstruction, it is important that the sports medicine surgeon be well versed in the various graft options and the ideal patient populations for whom they are best used."
3,37573480,2023 Oct,2023 Aug 28,J Orthop Res,"['Little D', 'Amadio PC', 'Awad HA', 'Cone SG', 'Dyment NA', 'Fisher MB', 'Huang AH', 'Koch DW', 'Kuntz AF', 'Madi R', 'McGilvray K', 'Schnabel LV', 'Shetye SS', 'Thomopoulos S', 'Zhao C', 'Soslowsky LJ']",Soslowsky LJ,"Preclinical tendon and ligament models: Beyond the 3Rs (replacement, reduction, and refinement) to 5W1H (why, who, what, where, when, how).",41,10,2133-2162,['English'],8404726,0736-0266,1554-527X,"['Journal Article', 'Review', 'Research Support, N.I.H., Extramural', ""Research Support, U.S. Gov't, Non-P.H.S.""]",PubMed - indexed for MEDLINE,ppublish+epublish,"['37573480', 'NIHMS1925387', 'PMC10561191', 'pmc-id: PMC10561191;manuscript-id: NIHMS1925387;', '10.1002/jor.25678']",10.1002/jor.25678,"['2023/07/21 00:00', '2023/05/08 00:00', '2023/08/02 00:00', '2023/09/20 06:42', '2023/08/13 11:41', '2023/08/13 02:53', '2024/10/01 00:00']",[],1,193,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,doi: 10.1002/jor.25678,2023 Oct;41(10):2133-2162,"Several tendon and ligament animal models were presented at the 2022 Orthopaedic Research Society Tendon Section Conference held at the University of Pennsylvania, May 5 to 7, 2022. A key objective of the breakout sessions at this meeting was to develop guidelines for the field, including for preclinical tendon and ligament animal models. This review summarizes the perspectives of experts for eight surgical small and large animal models of rotator cuff tear, flexor tendon transection, anterior cruciate ligament tear, and Achilles tendon injury using the framework: ""Why, Who, What, Where, When, and How"" (5W1H). A notable conclusion is that the perfect tendon model does not exist; there is no single gold standard animal model that represents the totality of tendon and ligament disease. Each model has advantages and disadvantages and should be carefully considered in light of the specific research question. There are also circumstances when an animal model is not the best approach. The wide variety of tendon and ligament pathologies necessitates choices between small and large animal models, different anatomic sites, and a range of factors associated with each model during the planning phase. Attendees agreed on some guiding principles including: providing clear justification for the model selected, providing animal model details at publication, encouraging sharing of protocols and expertise, improving training of research personnel, and considering greater collaboration with veterinarians. A clear path for translating from animal models to clinical practice was also considered as a critical next step for accelerating progress in the tendon and ligament field."
4,33025317,2021 Jan,2020 Oct 6,Ann Biomed Eng,"['Zhang Q', 'Adam NC', 'Hosseini Nasab SH', 'Taylor WR', 'Smith CR']",Smith CR,Techniques for In Vivo Measurement of Ligament and Tendon Strain: A Review.,49,1,7-28,['English'],0361512,0090-6964,1573-9686,"['Journal Article', 'Review']",PubMed - indexed for MEDLINE,ppublish+epublish,"['33025317', 'PMC7773624', 'pmc-id: PMC7773624;', '10.1007/s10439-020-02635-5', '10.1007/s10439-020-02635-5']",10.1007/s10439-020-02635-5,"['2020/05/11 00:00', '2020/09/22 00:00', '2020/10/08 06:00', '2021/09/22 06:00', '2020/10/07 05:54', '2020/10/06 00:00']",[],1,193,Annals of biomedical engineering,doi: 10.1007/s10439-020-02635-5,2021 Jan;49(1):7-28,"The critical clinical and scientific insights achieved through knowledge of in vivo musculoskeletal soft tissue strains has motivated the development of relevant measurement techniques. This review provides a comprehensive summary of the key findings, limitations, and clinical impacts of these techniques to quantify musculoskeletal soft tissue strains during dynamic movements. Current technologies generally leverage three techniques to quantify in vivo strain patterns, including implantable strain sensors, virtual fibre elongation, and ultrasound. (1) Implantable strain sensors enable direct measurements of tissue strains with high accuracy and minimal artefact, but are highly invasive and current designs are not clinically viable. (2) The virtual fibre elongation method tracks the relative displacement of tissue attachments to measure strains in both deep and superficial tissues. However, the associated imaging techniques often require exposure to radiation, limit the activities that can be performed, and only quantify bone-to-bone tissue strains. (3) Ultrasound methods enable safe and non-invasive imaging of soft tissue deformation. However, ultrasound can only image superficial tissues, and measurements are confounded by out-of-plane tissue motion. Finally, all in vivo strain measurement methods are limited in their ability to establish the slack length of musculoskeletal soft tissue structures. Despite the many challenges and limitations of these measurement techniques, knowledge of in vivo soft tissue strain has led to improved clinical treatments for many musculoskeletal pathologies including anterior cruciate ligament reconstruction, Achilles tendon repair, and total knee replacement. This review provides a comprehensive understanding of these measurement techniques and identifies the key features of in vivo strain measurement that can facilitate innovative personalized sports medicine treatment."
5,32504159,2020 Aug,2020 Jun 5,Knee Surg Sports Traumatol Arthrosc,"['Gupta A', 'Tejpal T', 'Shanmugaraj A', 'Horner NS', 'Gohal C', 'Khan M']",Khan M,All-epiphyseal anterior cruciate ligament reconstruction produces good functional outcomes and low complication rates in pediatric patients: a systematic review.,28,8,2444-2452,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Systematic Review']",PubMed - indexed for MEDLINE,ppublish+epublish,"['32504159', '10.1007/s00167-020-06085-3', '10.1007/s00167-020-06085-3']",10.1007/s00167-020-06085-3,"['2020/04/17 00:00', '2020/05/28 00:00', '2020/06/07 06:00', '2020/12/15 06:00', '2020/06/07 06:00']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1007/s00167-020-06085-3,2020 Aug;28(8):2444-2452,"PURPOSE: To assess the literature on indications, outcomes, and complications in pediatric patients undergoing all-epiphyseal (AE) anterior cruciate ligament reconstruction (ACLR). METHODS: PubMed, Medline, and Embase were searched for literature evaluating AE ACLR in pediatric patients. All included studies were assessed for quality using the Methodological Index for Non-Randomized Studies (MINORS). Descriptive statistics are presented where applicable. RESULTS: Overall, 17 studies comprising 545 patients, with a mean age of 12.0 +/- 1.2 (range 8-19) met the inclusion criteria. The graft choices in this systematic review included hamstring tendon autografts (75.4%, n = 403), quadriceps tendon autograft (6.2%, n = 33), Achilles tendon allograft (3.6%, n = 19) and posterior tibialis tendon allograft in one patient (0.2%, n = 1). Time of return-to-sport ranged from 8 to 22 months. Postoperative subjective IKDC scores were above 90 points. The rate of return-to-sport after AE ACLR was 93.2% (n = 219/235) and 77.9% (n = 142/183) of patients returned to sport at pre-injury level. The overall complication rate was 9.8% (n = 53/545) with the most common complication being ACL re-rupture (5.0%; n = 27/545). Only 1.5% (n = 8/545) of patients demonstrated growth disturbances. CONCLUSION: Overall, the AE ACLR technique can achieve good postoperative functional outcomes while notably minimizing the incidence of primary issue of physeal disruption and potential associated leg-length discrepancies. AE ACLR should be considered in pediatric patients with at least 2 years of skeletal growth remaining based on radiographic bone age to minimize the impact of growth-related complications. LEVEL OF EVIDENCE: IV (Systematic Review of Level III and IV evidence)."
6,29991077,2019 Jul,2018 Jul 10,J Knee Surg,"['Shanmugaraj A', 'de Sa D', 'Skelly MM', 'Duong A', 'Simunovic N', 'Musahl V', 'Peterson DC', 'Ayeni OR']",Ayeni OR,"Primary Allograft ACL Reconstruction in Skeletally Immature Patients-A Systematic Review of Surgical Techniques, Outcomes, and Complications.",32,7,673-685,['English'],101137599,1538-8506,1938-2480,"['Journal Article', 'Systematic Review']",PubMed - indexed for MEDLINE,ppublish+epublish,"['29991077', '10.1055/s-0038-1666833']",10.1055/s-0038-1666833,"['2018/07/11 06:00', '2019/10/29 06:00', '2018/07/11 06:00']",[],1,0,The journal of knee surgery,doi: 10.1055/s-0038-1666833,2019 Jul;32(7):673-685,"The purpose of this systematic review is to ascertain the risk profile of allografts in primary anterior cruciate ligament reconstruction (ACLR) of skeletally immature patients. Three databases (PubMed, EMBASE, and MEDLINE) were searched for articles addressing primary ACLR in skeletally immature patients (i.e., open femoral and tibial physes). Inclusion criteria encompassed the use of allograft tissue with available postoperative outcomes data. The methodological index for non-randomized studies (MINORS) was used to assess all studies. Descriptive statistics such as means, 95% confidence intervals and standard deviations are presented where applicable. A total of 3,852 studies were screened, with 9 studies of a total of 406 skeletally immature patients (mean age 14.9 +/- 1.2 years) satisfying inclusion criteria. The majority (98%) of included patients underwent complete transphyseal ACLR. Where specified, allograft options included Achilles tendon (AT) (66.5%), tibialis anterior tendon (7.6%), bone-patellar tendon (2.5%), and fascia lata (1.0%). The use of a bone block for the AT was reported in one patient (0.2%). Postoperatively, and where specified, patients achieved full range of motion (12.1%), had good Lysholm scores of 94 to 100 (8.1%), and a return to preinjury level athletic participation of 82.9% (8.4%). Complications (13.3%) included graft failures (7.9%), nonrevision reoperation (4.7%), and a combined leg length discrepancy and angular (valgus and extension) deformity (0.2%). There were no reported incidences of disease transmission. Although failure rates of primary allograft ACL reconstruction are acceptable compared with other studies of mainly autograft use in this young, high-risk population, there was a very low rate of clinically significant physeal damage. However, the relatively low quality of the included studies limits the ability to recommend routine use of allograft for ACLR in the skeletally immature patient. More robust studies with long-term follow-up data are necessary to better ascertain the influence of allograft choice on postoperative outcomes for these young patients. This is a Level IV study, systematic review of Levels III and IV studies."
7,29157992,2018 Jan-Feb,2017 Nov 20,Rev Esp Cir Ortop Traumatol (Engl Ed),"['Tovar-Cuellar W', 'Galván-Villamarín F', 'Ortiz-Morales J']",Ortiz-Morales J,Complications associated with the techniques for anterior cruciate ligament reconstruction in patients under 18 years old: a systematic review.,62,1,55-64,"['English', 'Spanish']",101778596,,2173-576X,"['Journal Article', 'Systematic Review']",PubMed - indexed for MEDLINE,ppublish+epublish,"['29157992', '10.1016/j.recot.2017.09.001', 'S1888-4415(17)30131-5']",10.1016/j.recot.2017.09.001,"['2017/04/01 00:00', '2017/08/17 00:00', '2017/09/05 00:00', '2017/11/22 06:00', '2018/09/01 06:00', '2017/11/22 06:00']",[],1,0,Revista espanola de cirugia ortopedica y traumatologia (English ed.),doi: 10.1016/j.recot.2017.09.001,2018 Jan-Feb;62(1):55-64,"OBJECTIVE: Determine the complications related to the different techniques for anterior cruciate ligament reconstruction in patients under 18 years old. METHODOLOGY: Systematic review using the databases Medline, Cochrane Database of Systematic Reviews and Embase (until July 2016), additional studies were included conducting a search of the references of previous studies. The terms included in the search were: <<cruciate>>, <<ligament>>, <<anterior>>, <<immature>>, <<complications>>, <<outcome>>, <<acl reconstruction>>,<< cruciate ligament anterior reconstruction>>, <<children>>, <<child>>, <<infants>>, <<adolescent>>, <<open physis>>, <<growth plate>> and <<skeletally immature>>. RESULTS: A number of 73 studies were included; 1300 patients in total, average age 13 years, 70% were male, medial and lateral meniscal lesions in 26% and 30% respectively. Eleven cases of length discrepancy (0,8%): 4 cases were presented with physeal-sparing techniques (1,4%), 3 cases with partial physeal-sparing techniques (2.2%) and 4 cases were presented with transphyseal techniques (0.4%). There were 22 cases of axis deviation: 6 cases with physeal-sparing techniques (2%), 3 cases with partial physeal-sparing techniques and 13 cases with transphyseal techniques (1.4%). The use of allograft achilles tendon allograft and fascia lata was associated with increased length discrepancy and axis deviation (25%). There was no difference according to Tanner. CONCLUSIONS: The different anterior cruciate ligament reconstruction techniques in patients under 18 years old had low complications related to lower limb growth, arthrofibrosis and review. There was a higher percentage of cases of length discrepancy and axis deviation with physeal-sparing techniques than with the other surgical techniques. The evidence level studies cannot determine causality."
8,28636429,2018 Jun,2017 Jun 21,Am J Sports Med,"['Belk JW', 'Kraeutler MJ', 'Purcell JM', 'McCarty EC']",McCarty EC,Autograft Versus Allograft for Posterior Cruciate Ligament Reconstruction: An Updated Systematic Review and Meta-analysis.,46,7,1752-1757,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Meta-Analysis', 'Systematic Review']",PubMed - indexed for MEDLINE,ppublish+epublish,"['28636429', '10.1177/0363546517713164']",10.1177/0363546517713164,"['2017/06/22 06:00', '2019/09/24 06:00', '2017/06/22 06:00']",[],1,0,The American journal of sports medicine,doi: 10.1177/0363546517713164,2018 Jun;46(7):1752-1757,"BACKGROUND: Multiple studies have demonstrated a higher risk of graft failure after anterior cruciate ligament reconstruction with allograft, but limited data are available comparing outcomes of posterior cruciate ligament reconstruction (PCLR) with autograft versus allograft. PURPOSE: To compare the clinical outcomes of autograft versus allograft for primary PCLR. STUDY DESIGN: Systematic review. METHODS: A systematic review was performed by searching PubMed, the Cochrane Library, and EMBASE to locate studies (level of evidence I-III) comparing clinical outcomes of autograft versus allograft in patients undergoing primary PCLR with the conventional transtibial technique. Search terms used were ""posterior cruciate ligament,"" ""autograft,"" and ""allograft."" Patients were evaluated based on graft failure rate, examination of knee laxity, and patient-reported outcome scores (Lysholm, Tegner, subjective International Knee Documentation Committee [IKDC], and objective IKDC scores). RESULTS: Five studies (2 level II, 3 level III) were identified that met inclusion criteria, including a total of 132 patients undergoing PCLR with autograft (semitendinosus-gracilis or bone-patellar tendon-bone) and 110 patients with allograft (tibialis anterior, Achilles tendon, or bone-patellar tendon-bone). No patients experienced graft failure. Average anteroposterior (AP) knee laxity was significantly higher in allograft patients (3.8 mm) compared with autograft patients (3.1 mm) ( P < .01). Subjective IKDC, Lysholm, and Tegner scores improved for both groups across studies, without a significant difference in improvement between groups except in one study, in which Lysholm scores improved to a significantly greater extent in the autograft group ( P < .01). CONCLUSION: Patients undergoing primary PCLR with either autograft or allograft can be expected to experience improvement in clinical outcomes. Autograft patients experienced less AP knee laxity postoperatively, although the clinical significance of this is unclear and subjective outcomes improved substantially and to a similar degree in both groups."
9,28358823,2017,2017 Mar 30,PLoS One,"['Kim SK', 'Roos TR', 'Roos AK', 'Kleimeyer JP', 'Ahmed MA', 'Goodlin GT', 'Fredericson M', 'Ioannidis JP', 'Avins AL', 'Dragoo JL']",Dragoo JL,Genome-wide association screens for Achilles tendon and ACL tears and tendinopathy.,12,3,e0170422,['English'],101285081,,1932-6203,"['Journal Article', 'Meta-Analysis']",PubMed - indexed for MEDLINE,,"['28358823', 'PMC5373512', 'pmc-id: PMC5373512;', '10.1371/journal.pone.0170422', 'PONE-D-16-35366']",10.1371/journal.pone.0170422,"['2016/09/02 00:00', '2017/01/04 00:00', '2017/03/31 06:00', '2017/03/31 06:00', '2017/08/24 06:00', '2017/03/30 00:00']",[],1,44,PloS one,doi: 10.1371/journal.pone.0170422,2017;12(3):e0170422,"Achilles tendinopathy or rupture and anterior cruciate ligament (ACL) rupture are substantial injuries affecting athletes, associated with delayed recovery or inability to return to competition. To identify genetic markers that might be used to predict risk for these injuries, we performed genome-wide association screens for these injuries using data from the Genetic Epidemiology Research on Adult Health and Aging (GERA) cohort consisting of 102,979 individuals. We did not find any single nucleotide polymorphisms (SNPs) associated with either of these injuries with a p-value that was genome-wide significant (p<5x10-8). We found, however, four and three polymorphisms with p-values that were borderline significant (p<10-6) for Achilles tendon injury and ACL rupture, respectively. We then tested SNPs previously reported to be associated with either Achilles tendon injury or ACL rupture. None showed an association in our cohort with a false discovery rate of less than 5%. We obtained, however, moderate to weak evidence for replication in one case; specifically, rs4919510 in MIR608 had a p-value of 5.1x10-3 for association with Achilles tendon injury, corresponding to a 7% chance of false replication. Finally, we tested 2855 SNPs in 90 candidate genes for musculoskeletal injury, but did not find any that showed a significant association below a false discovery rate of 5%. We provide data containing summary statistics for the entire genome, which will be useful for future genetic studies on these injuries."
