,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,abstract,year
0,40476596,2025 Jul,2025 Jun 6,Am J Sports Med,"['Mo IF', 'Harlem T', 'Faleide AGH', 'Strand T', 'Vindfeld S', 'Solheim E', 'Randsborg PH', 'Inderhaug E']",Inderhaug E,"Comparable Mid- to Long-term Outcomes of Semitendinosus and Semitendinosus/Gracilis Grafts in ACL Reconstruction: Median 8-Year (Range, 5-10 Years) Results From a Randomized Controlled Study.",53,9,2145-2153,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Randomized Controlled Trial', 'Comparative Study']",PubMed - indexed for MEDLINE,ppublish+epublish,"['40476596', '10.1177/03635465251344106']",10.1177/03635465251344106,"['2025/07/16 06:25', '2025/06/06 12:34', '2025/06/06 07:52']",[],1,0,The American journal of sports medicine,doi: 10.1177/03635465251344106,2025 Jul;53(9):2145-2153,"BACKGROUND: The hamstring tendon autograft used for anterior cruciate ligament reconstruction commonly entails both the semitendinosus and gracilis (ST/G) tendons for sufficient graft thickness, but they may impair function. To mitigate this, a tendon-sparing ST-only graft has been explored. However, less is known of the mid- to long-term outcomes comparing these configurations. PURPOSE/HYPOTHESIS: The purpose was to investigate differences between the quadrupled ST tendon graft and the doubled ST/G graft configuration. The primary hypothesis was that there would be no difference in the International Knee Documentation Committee 2000 Subjective Knee Form (IKDC-SF) outcomes between groups. The secondary hypothesis was that there would be no differences in knee flexion strength, KT-1000 arthrometer side-to-side measurements, or need for secondary surgery (including revision) between the 2 techniques. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: At baseline, 98 patients were randomized to receive either the quadrupled ST tendon graft or the doubled ST/G graft configuration. Preoperatively and after 2 and median 8 years (range, 5-10 years) postoperatively, the investigators collected results for the IKDC-SF, Knee injury and Osteoarthritis Outcome Score, Tegner Activity Scale, a sports and activity participation questionnaire, knee laxity (KT-1000 arthrometer) side-to-side measurements, Lachman test, and flexion rotation drawer test. Need for secondary knee surgery was evaluated 5 to 10 years postoperatively. RESULTS: Seventy-seven patients completed median 8-year follow-up (range, 5-10 years): 38 patients in the ST group and 39 patients in the ST/G group. No statistically significant differences were observed between the ST and ST/G groups in IKDC-SF scores (81.7 vs 82.1; P = .93), knee stability, or revision rates. Both groups demonstrated statistically significant improvements in self-reported function (P < .001) until final follow-up. The overall anterior cruciate ligament revision rate was 10.4%, and no increased risk of graft failure or excessive residual laxity was associated with the ST-only graft. CONCLUSION: No statistically significant differences were found between the ST group and the ST/G group in terms self-reported function, knee laxity, or need for secondary surgery at median 8 years (range, 5-10 years) after surgery. The ST-only graft configuration did not increase the risk of graft failure or excessive residual laxity compared with the ST/G graft configuration.",2025
1,40351242,2026 Feb,2025 May 12,Knee Surg Sports Traumatol Arthrosc,"['Lawless AM', 'Ebert JR', 'Edwards PK', 'Malik SS', 'Davies PSE', ""D'Alessandro PA""]",D'Alessandro PA,A semitendinosus with adjustable button graft construct in patients undergoing hamstring ACL reconstruction results in improved knee flexor strength symmetry and less donor site pain and morbidity: Outcomes from the DOSTAR randomized controlled trial.,34,2,484-493,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['40351242', 'PMC12850584', 'pmc-id: PMC12850584;', '10.1002/ksa.12698']",10.1002/ksa.12698,"['2025/04/03 00:00', '2025/02/04 00:00', '2025/04/05 00:00', '2026/01/28 19:21', '2025/05/12 06:32', '2025/05/12 05:14', '2026/01/28 00:00']",[],1,25,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1002/ksa.12698,2026 Feb;34(2):484-493,"PURPOSE: To compare donor site morbidity and patient-reported outcome measures (PROMs), knee laxity and early strength and functional outcomes, following anterior cruciate ligament reconstruction (ACLR) using a semitendinosus (ST) tendon autograft with suspensory adjustable button tibial fixation or semitendinosus-gracilis (STG) autograft with tibial screw fixation. METHODS: While 153 patients were prospectively recruited and randomized to an ST or STG autograft, 131 (62 ST and 69 STG) were retained following ACLR and followed post-surgery. Standardized surgical techniques were employed, varying only in graft selection and fixation. The primary study outcomes were early hamstring pain, donor site morbidity and strength recovery. However, several outcomes were assessed pre-surgery and at 3 and 6 months, encompassing the Donor-site-related Functional Problems following Anterior Cruciate Ligament Reconstruction (DFPACLR) score, Visual Analogue Scale (VAS) for hamstring pain and other commonly employed PROMs, anteroposterior laxity (KT-1000), isokinetic hamstring and quadriceps strength, hop testing, complications and re-operations. Intention-to-treat analysis was performed using linear mixed models for continuous data and Mann-Whitney U tests where appropriate. RESULTS: At 6 months, ST patients reported significantly lower hamstring pain (p < 0.001) and DFPACLR (p < 0.001) scores. A significantly higher (p < 0.001) peak knee flexor strength limb symmetry index (LSI) was observed for the ST group, though no other group differences in side-to-side laxity, hop tests or other normalized strength measures or LSIs were observed. CONCLUSIONS: ACLR using an ST autograft resulted in less donor site pain and morbidity, and improved knee flexor strength symmetry at 6 months, while demonstrating comparable functional outcomes to the STG autograft. LEVEL OF EVIDENCE: Level 1 prospective, double-blinded, randomized controlled trial.",2026
2,40086524,2025 Oct,2025 Mar 12,Arthroscopy,"['Ma HH', 'Chen KH', 'Chiang ER', 'Ma HL']",Ma HL,Intraoperative Periarticular Injection May Improve Postoperative Pain Scores and Reduce Opioid Consumption in Arthroscopic Anterior Cruciate Ligament Reconstruction Surgery.,41,10,4095-4102,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['40086524', '10.1016/j.arthro.2025.03.014', 'S0749-8063(25)00170-7']",10.1016/j.arthro.2025.03.014,"['2024/10/14 00:00', '2025/02/28 00:00', '2025/03/02 00:00', '2025/10/25 00:30', '2025/03/15 00:38', '2025/03/14 20:14']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2025.03.014,2025 Oct;41(10):4095-4102,"PURPOSE: To evaluate efficacy of an intraoperative periarticular injection (PAI) in improving postoperative outcomes, including pain relief and reducing opioid consumption in patients undergoing arthroscopic anterior cruciate ligament reconstruction (aACLR) with hamstring tendon autograft. METHODS: This prospective, assessor-blinded, two-surgeon clinical trial was conducted from March 20, 2022, to June 20, 2022. A total of 320 patients were initially included, and after screening and exclusions, 300 patients undergoing aACLR were randomized to receive either PAI or were assigned to the nPAI group. Inclusion criteria consisted of patients aged 18 years or older undergoing primary aACLR, with or without a concomitant meniscus procedure for knee instability, who agreed to participate and provided informed consent for randomization into the PAI or nPAI group. The minimum follow-up period was 2 weeks postoperatively. The primary outcome was decreased visual analog scale (VAS) scores and cumulative morphine milligram equivalents (MME). The secondary outcome parameters included decrease in narcotic-related adverse effects. RESULTS: A total of 142 patients in the PAI group and 146 patients in the nPAI group were analyzed. In the PAI group, a lower VAS score at immediate postoperative period and postoperative 4-hour and 24-hour period was observed compared with the nPAI group. Proportions of patients achieving MCID were higher in the PAI group at all time points compared to nPAI. Cumulative morphine consumption was significantly reduced in the PAI group (P < .001). CONCLUSIONS: PAI during aACLR with hamstring autograft significantly improved pain scores and reduced opioid consumption compared to nPAI. Although statistical differences were found, cohort-specific MCID analysis showed a clinically relevant benefit at 24 hours, with 54.2% of the PAI group achieving meaningful pain relief versus 23.3% in the nPAI group. These results suggest that PAI offers time-dependent, patient-specific benefits and supports its role in multimodal analgesia. LEVEL OF EVIDENCE: Level II, randomized controlled trials.",2025
3,39810716,2025 Jul,2025 Jan 15,Knee Surg Sports Traumatol Arthrosc,"['Calvert ND', 'Ebert JR', 'Radic R']",Radic R,Kneeling tolerance when using quadriceps tendon autograft for anterior cruciate ligament reconstruction is superior to hamstring tendon autograft.,33,7,2390-2396,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['39810716', '10.1002/ksa.12583']",10.1002/ksa.12583,"['2025/01/02 00:00', '2024/11/04 00:00', '2025/01/02 00:00', '2025/07/01 07:06', '2025/01/15 06:21', '2025/01/15 04:23']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1002/ksa.12583,2025 Jul;33(7):2390-2396,"PURPOSE: To investigate kneeling tolerance in patients undergoing hamstring (HT) versus quadriceps (QT) anterior cruciate ligament reconstruction (ACLR) and investigate correlation with patient-reported outcome measures (PROMs). METHODS: After recruitment and randomisation, 112 patients (HT = 55; QT = 57) underwent ACLR. Patients were assessed at 6, 12 and 24 months using the Kneeling Tolerance Test, which evaluates patient-reported pain in a position of both 90 (KT90) and 110 (KT110) degrees of knee flexion. PROMs collected included the International Knee Documentation Committee (IKDC) questionnaire and the ACL Return to Sport after Injury (ACL-RSI) questionnaire. RESULTS: Kneeling tolerance at KT90 and KT110 improved (p < 0.05) for both graft types across all time points. There was no difference in KT90 scores between groups at 6 or 12 months. At 24 months, kneeling tolerance was superior in the QT group (mean HT 93 +/- 9 vs. QT 98 +/- 5; p = 0.003). For KT110 scores, a statistically significant difference was noted at 6 (mean HT 80 +/- 25 vs. QT 89 +/- 12; p = 0.027), 12 (mean HT 90 +/- 13 vs. QT 95 +/- 10; p = 0.040) and 24 months (mean HT 92 +/- 10 vs. QT 97 +/- 5; p = 0.003). The ACL-RSI was significantly correlated with KT90 and KT110 at 24 months (r = 0.40, p < 0.001; r = 0.40, p < 0.001). Other PROMs demonstrated significant weak-to-moderate correlations with kneeling tolerance. CONCLUSION: Patients undergoing ACLR with a QT versus HT autograft report superior kneeling tolerance up to 2 years postsurgery, more prominent in deeper (110 degrees ) knee flexion. A strong correlation with ACL-RSI was demonstrated at 2 years. REGISTRATION: ACTRN12618001520224p (Australian New Zealand Clinical Trials Registry). LEVEL OF EVIDENCE: Level 1.",2025
4,39714511,2024 Dec 23,2024 Dec 23,Arch Orthop Trauma Surg,"['Butt U', 'Vuletic F', 'Shaikh MAA', 'Amanullah', 'Rehman GU', 'Shah IA', 'Stålman A', 'Khan ZA']",Khan ZA,5-years outcomes following arthroscopic anterior cruciate ligament reconstruction comparing quadruple hamstring and peroneus longus tendon autografts: a randomized control trial.,145,1,85,['English'],9011043,0936-8051,1434-3916,"['Journal Article', 'Randomized Controlled Trial', 'Comparative Study']",PubMed - indexed for MEDLINE,epublish,"['39714511', 'PMC11666688', 'pmc-id: PMC11666688;', '10.1007/s00402-024-05639-1', '10.1007/s00402-024-05639-1']",10.1007/s00402-024-05639-1,"['2024/08/03 00:00', '2024/10/29 00:00', '2024/12/23 12:22', '2024/12/23 12:21', '2024/12/23 11:05', '2024/12/23 00:00']",[],1,34,Archives of orthopaedic and trauma surgery,doi: 10.1007/s00402-024-05639-1,2024 Dec 23;145(1):85,"AIMS: This study presents clinical outcomes, functional results, and return to sports after anterior cruciate ligament (ACL) reconstruction using quadruple hamstring tendon autograft or peroneus longus tendon autograft in a randomized controlled trial. PATIENTS AND METHODS: Between February 2018 and July 2019, patients who underwent ACL reconstruction were randomly assigned to two groups: hamstring and peroneus longus. Patient related outcome measurements and pain intensity were evaluated using IKDC, Lysholm, and visual analog scores at 3 and 6 months, 1, 2, and 5 years after the surgery. At the 5 year follow-up, anterior stability was tested using the 3D printable Knee Arthrometer. In addition, in the peroneus longus group, ankle functional assessment was performed using the American foot and ankle score. Additionally, data on the return to sports/activities was collected for both groups at the last follow-up. RESULTS: Sixty patients, with 30 in the hamstring group and 30 in the peroneus group, were included in the study. Patients were predominately male and with low activity demands. After five years of follow-up, there was no significant difference in functional assessment scores (IKDC and Lysholm) between the two groups (P n.s). The median graft diameter was 7.9 +/- 0.4 mm in the hamstring tendon group and 8.9 +/- 0.2 mm in the PL group (P < 0.001). The improvement in Arthrometer testing measurements (AMT) for the operated knees in the hamstring and peroneus longus groups were similar. In the peroneus longus group, the mean postoperative foot and ankle score was 98.6 +/- 3.9 (range = 85-100). CONCLUSION: Using Peroneus longus tendon autograft for arthroscopic ACL reconstruction is a feasible alternative as studied in this cohort of predominately male patients with low activity demands. The graft diameter in this study was sufficient, and the results regarding laxity and patient related outcome measurements were similar to those achieved with hamstring tendon autografts. LEVEL OF EVIDENCE: Level I TRIAL REGISTRATION: ChiCTR2000036989.",2024
5,38845474,2024 Jul,2024 Jun 7,Am J Sports Med,"['Mo IF', 'Harlem T', 'Faleide AGH', 'Strand T', 'Vindfeld S', 'Solheim E', 'Inderhaug E']",Inderhaug E,ACL Reconstruction Using Quadrupled Semitendinosus Versus Double-Stranded Semitendinosus and Gracilis Autograft: 2-Year Results From a Prospective Randomized Controlled Study.,52,8,1927-1936,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['38845474', '10.1177/03635465241254048']",10.1177/03635465241254048,"['2024/07/01 06:41', '2024/06/07 06:43', '2024/06/07 03:43']",[],1,0,The American journal of sports medicine,doi: 10.1177/03635465241254048,2024 Jul;52(8):1927-1936,"BACKGROUND: A disadvantage of using hamstring tendon autograft consisting of the semitendinosus and gracilis tendons for anterior cruciate ligament reconstruction is pain from tendon harvesting and persistent hamstring weakness. In the tendon-sparing all-inside technique, a quadrupled semitendinosus graft and adjustable-loop cortical fixation are suggested to give less postoperative flexion deficits while displaying overall similar clinical results to the traditional hamstring technique. However, there are a limited number of high-quality studies comparing these techniques with inconsistent results. PURPOSE: To investigate differences between the all-inside (quadrupled semitendinosus) and traditional hamstring (double-stranded semitendinosus and gracilis) technique regarding (1) self-reported function, (2) hamstring strength, and (3) knee laxity. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: A total of 98 patients were randomized to either the all-inside or the traditional hamstring technique. Perioperatively, duration of surgery and graft size were obtained. The International Knee Documentation Committee 2000 Subjective Knee Form score, Knee injury and Osteoarthritis Outcome Score, Tegner Activity Scale score, knee laxity (KT-1000 arthrometer side-to-side difference and pivot shift), range of motion, isokinetic knee strength, and hop test score were collected preoperatively and 2 years postoperatively. Return-to-sport readiness was evaluated 9 months postoperatively. RESULTS: A total of 89 patients completed 2-year follow-up, 45 patients with the all-inside technique and 44 patients with the traditional hamstring technique. There were no significant differences between groups in any of the outcome measures 2 years after surgery, but there was a tendency in the all-inside group toward having increased anterior translation (mean, 3.6 mm vs 2.7 mm), a higher number of revision surgeries (5 patients vs 2 patients), and more patients having +1 and +2 pivot-shift values (29 vs 18 patients) when compared with the traditional group. CONCLUSION: The all-inside technique yields equivalent results to the traditional hamstring technique 2 years after surgery and should be considered a reliable technique to use for ACL reconstruction. Sparing the gracilis tendon does not lead to less persistent hamstring weakness. Long-term follow-up is needed to further determine whether the tendency of increased anterior translation seen at 2 years postoperatively will lead to a higher risk of graft failure.",2024
6,38811116,2024 Jul,2023 Dec 13,Clin Sports Med,['Getgood AMJ'],Getgood AMJ,Avoiding Graft Failure: Lessons Learned from the Stability Trial.,43,3,367-381,['English'],8112473,0278-5919,1556-228X,"['Journal Article', 'Multicenter Study', 'Randomized Controlled Trial', 'Pragmatic Clinical Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['38811116', '10.1016/j.csm.2023.08.005', 'S0278-5919(23)00109-6']",10.1016/j.csm.2023.08.005,"['2024/05/30 05:45', '2024/05/30 05:44', '2024/05/29 20:58']",[],1,0,Clinics in sports medicine,doi: 10.1016/j.csm.2023.08.005,2024 Jul;43(3):367-381,"The Stability Study was a multicenter, pragmatic, parallel groups, randomized clinical trial comparing hamstring tendon autograft anterior cruciate ligament reconstruction with or without the addition of lateral extra-articular tenodesis in young patients at high risk of graft failure. Having recruited 618 patients with a 5% loss to follow up, we were able to demonstrate a clinically and statistically significant reduction in clinical failure and graft rupture at 2 years postoperative. No differences in patient-reported outcomes (PROs) were demonstrated between groups; however, patients who experienced an adverse event had significantly worse PROs than those who did not.",2024
7,38794906,2024 Jun,2024 May 25,Am J Sports Med,"['Nakanishi Y', 'Hegarty P', 'Vivacqua T', 'Firth A', 'Milner JS', 'Pritchett S', 'Willits K', 'Litchfield R', 'Bryant D', 'Getgood AMJ']",Getgood AMJ,Quantitative MRI Analysis of Patellofemoral Joint Cartilage Health 2 Years After Anterior Cruciate Ligament Reconstruction and Lateral Extra-Articular Tenodesis.,52,7,1773-1783,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['38794906', '10.1177/03635465241248642']",10.1177/03635465241248642,"['2024/06/01 20:44', '2024/05/25 10:51', '2024/05/25 03:53']",[],1,0,The American journal of sports medicine,doi: 10.1177/03635465241248642,2024 Jun;52(7):1773-1783,"BACKGROUND: The addition of an iliotibial band-based lateral extra-articular tenodesis (LET) to anterior cruciate ligament (ACL) reconstruction (ACLR) has been shown to reduce failure rates. However, there are concerns as to the potential overconstraint of tibiofemoral kinematics that may increase the risk of cartilage degradation. To date, no clinical study has investigated the effect of LET on patellofemoral joint articular cartilage health. HYPOTHESIS: It was hypothesized that at 2 years postoperatively, (1) the addition of LET at the time of ACLR would have no effect on cartilage health on magnetic resonance imaging (MRI), and (2) higher cartilage relaxation values would be associated with worse patient-reported and functional outcomes. STUDY DESIGN: Cohort study; Level of evidence, 3. METHODS: A subset of patients from the STABILITY 1 randomized controlled trial were included. All patients underwent primary ACLR with a hamstring autograft. Patients were randomized to either LET augmentation or not. Cartilage status in the patellofemoral joint between the ACLR group and ACLR+LET group was compared using 2-year postoperative quantitative MRI and the ACL osteoarthritis scores of both the surgical and the contralateral nonsurgical knees. Objective functional outcomes and patient-reported outcome measures (PROMs) were attained. RESULTS: A total of 92 patients (43 patients in the ACLR group; mean age, 18.9 +/- 3.2 years; 60.5% female; and 49 patients in the ACLR+LET group; mean age, 18.7 +/- 3.2 years, 63.3% female) were included. No significant differences were seen in the mean values (ms) for adjusted T1rho/T2 relaxation times in the medial patella (47.8/42.2 vs 47.3/43.2), central patella (45.5/42.5 vs 44.1/42.7), lateral patella (48.2/43.5 vs 47.3/43.0), medial trochlea (54.7/50.9 vs 56.4/50.9), central trochlea (53.3/51.1 vs 53.1/52.0), and lateral trochlea (54.9/52.1 vs 53.9/52.6) between the ACLR and ACLR+LET groups. No difference in overall ACL osteoarthritis scores was observed (P = .99). An increase in medial patellar T2 relaxation times was associated with a decreasing International Knee Documentation Committee score (P = .046), Knee injury and Osteoarthritis Outcome Score (KOOS) Symptoms subscale score (P = .01), and total KOOS (P = .01). CONCLUSION: There was no statistical difference in patellofemoral cartilage health between knees 2 years after primary ACLR with hamstring tendon autograft with or without LET. Statistically significant correlations were found between quantitative MRI relaxation times, functional outcome scores, and PROMs; however, the correlations were weak and the clinical significance is unknown. REGISTRATION: NCT02018354 (ClinicalTrials.gov identifier).",2024
8,38677365,2024 Aug,2024 Apr 25,J ISAKOS,"['Low CA', 'Teo SH']",Teo SH,"Higher rates of anatomical insertion of medial hamstring tendon regeneration post-anterior cruciate ligament reconstruction with stump preservation graft harvesting technique: A prospective, randomised, double-blinded clinical trial with magnetic resonance imaging evaluation.",9,4,575-580,['English'],101680867,2059-7754,2059-7762,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['38677365', '10.1016/j.jisako.2024.04.013', 'S2059-7754(24)00083-X']",10.1016/j.jisako.2024.04.013,"['2024/01/19 00:00', '2024/04/19 00:00', '2024/04/20 00:00', '2024/08/11 04:43', '2024/04/28 07:24', '2024/04/27 19:25']",[],1,0,Journal of ISAKOS : joint disorders & orthopaedic sports medicine,doi: 10.1016/j.jisako.2024.04.013,2024 Aug;9(4):575-580,"OBJECTIVE(S): The purpose of this study was to compare the regeneration of semitendinosus and gracilis tendons from two different graft harvesting techniques, which are the stump preservation and conventional graft harvesting techniques. We hypothesised that the stump preservation graft harvesting technique, which preserved the distal attachment of tendons at their insertion, would facilitate anatomical regeneration to the pes anserinus. METHODS: This is a prospective, randomised, double-blinded study whereby thirty consecutive patients who underwent single bundle anterior cruciate ligament reconstruction with ipsilateral semitendinosus and gracilis autografts were recruited. The patients were randomly assigned to the stump preservation group (14 patients) or conventional group (16 patients). Magnetic resonance imaging (MRI) evaluation was performed preoperatively and at six months post-operatively. RESULTS: At 6-month follow-up, MRI evaluations showed a higher percentage of insertion of regenerated semitendinosus and gracilis at the pes anserinus in the stump preservation group (75.0%) than that in the conventional group (68.8%). There was a significantly higher proximal shift of the musculotendinous junction of semitendinosus (5.70 ​cm versus 3.36 ​cm, p ​= ​0.029) and gracilis (5.28 ​cm versus 3.16 ​cm, p ​= ​0.045) in the conventional group post-operatively. CONCLUSION: The stump preservation technique yields a higher percentage of anatomical insertion of regenerated tendons and a lesser amount of proximal shift of the musculotendinous junction. LEVEL OF EVIDENCE: III - Prospective study with up to two negative criteria.",2024
9,38284303,2024 Mar,2024 Jan 29,Am J Sports Med,"['Ebert JR', 'Calvert ND', 'Radic R']",Radic R,A Prospective Randomized Controlled Trial Investigating Quadriceps Versus Hamstring Tendon Autograft in Anterior Cruciate Ligament Reconstruction.,52,3,660-669,['English'],7609541,0363-5465,1552-3365,"['Randomized Controlled Trial', 'Journal Article']",PubMed - indexed for MEDLINE,ppublish+epublish,"['38284303', 'PMC10905979', 'pmc-id: PMC10905979;', '10.1177/03635465231222279']",10.1177/03635465231222279,"['2024/03/04 06:44', '2024/01/29 06:43', '2024/01/29 05:31', '2024/03/01 00:00']",[],1,59,The American journal of sports medicine,doi: 10.1177/03635465231222279,2024 Mar;52(3):660-669,"BACKGROUND: Numerous graft options are available when undertaking anterior cruciate ligament (ACL) reconstruction (ACLR), although a lack of high-quality evidence exists comparing quadriceps (QT) and hamstring (HT) autografts. PURPOSE: To investigate patient outcomes in patients undergoing HT versus QT ACLR. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: After recruitment and randomization, 112 patients (HT = 55; QT = 57) underwent ACLR. Patients were assessed pre- and postoperatively (6 weeks and 3, 6, 12, and 24 months), with a range of patient-reported outcome measures (PROMs), graft laxity (KT-1000 arthrometer; primary outcome variable), active knee flexion and extension range of motion (ROM), peak isokinetic knee extensor and flexor strength, and a 6-hop performance battery. Limb symmetry indices (LSIs) were calculated for strength and hop measures. Secondary procedures, ACL retears, and contralateral ACL tears were reported. RESULTS: All PROMs and knee ROM measures significantly improved (P < .0001), and no other group differences (P > .05) were observed-apart from the Anterior Cruciate Ligament Return to Sport after Injury (ACL-RSI) score, which was significantly better in the HT group at 3 (P = .008), 6 (P = .010), and 12 (P = .014) months. No significant changes were observed in side-to-side laxity from 6 to 24 months (P = .105), and no group differences were observed (P = .487) at 6 (HT mean, 1.2; QT mean, 1.3), 12 (HT mean, 1.1; QT mean, 1.3), and 24 (HT mean, 1.1; QT mean, 1.2) months. While the HT group demonstrated significantly greater (P < .05) quadriceps strength LSIs at 6 and 12 months, the QT group showed significantly greater (P < .05) hamstring strength LSIs at 6, 12, and 24 months. The HT group showed significantly greater (P < .05) LSIs for the single horizontal (6 months), lateral (6 and 12 months), and medial (6 months) hop tests for distance. Up until 24 months, 1 patient (QT at 22 months) had a retear, with 2 contralateral ACL tears (QT at 19 months; HT at 23 months). Secondary procedures included 5 in the HT group (manipulation under anesthesia, notch debridement, meniscal repair, and knee arthroscopy for scar tissue) and 6 in the QT group (notch debridement, meniscal repair, knee arthroscopy for scar tissue, tibial tubercle transfer, and osteochondral autologous transplantation). CONCLUSION: Apart from the ACL-RSI, the 2 autograft groups compared well for PROMs, knee ROM, and laxity. However, greater hamstring strength LSIs were observed for the QT cohort, with greater quadriceps strength (and hop test) LSIs in the HT cohort. The longer-term review will continue to evaluate return to sports and later-stage reinjury between the 2 graft constructs. REGISTRATION: ACTRN12618001520224p (Australian New Zealand Clinical Trials Registry).",2024
