,Unnamed: 0,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,source,subgroup
0,0,40308075,2025 May,2025 May 1,Am J Sports Med,"['Rao N', 'Triana J', 'Avila A', 'Campbell KA', 'Alaia MJ', 'Jazrawi LM', 'Furiguele D', 'Popovic J', 'Strauss EJ']",Strauss EJ,Postoperative Pain and Opioid Usage With Combined Adductor Canal and IPACK Block Versus Isolated Adductor Canal Block After Anterior Cruciate Ligament Reconstruction With a Bone-Patellar Tendon-Bone Autograft: A Single-Center Randomized Controlled Trial.,53,6,1359-1367,['English'],7609541,0363-5465,1552-3365,"['Clinical Trial, Phase IV', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['40308075', '10.1177/03635465251328609']",10.1177/03635465251328609,"['2025/05/01 06:28', '2025/05/01 06:27', '2025/05/01 03:03']",[],1,0,The American journal of sports medicine,doi: 10.1177/03635465251328609,2025 May;53(6):1359-1367,pubmed,bptb
1,1,39194385,2025 Apr,2024 Aug 28,Knee Surg Sports Traumatol Arthrosc,"['Martorell-de Fortuny L', 'Torres-Claramunt R', 'Sánchez-Soler JF', 'Perelli S', 'Hinarejos P', 'Monllau JC']",Monllau JC,Patellar bone defect grafting does not reduce anterior knee pain after bone-patellar tendon-bone anterior cruciate ligament reconstruction.,33,4,1299-1307,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['39194385', '10.1002/ksa.12449']",10.1002/ksa.12449,"['2024/08/04 00:00', '2024/05/15 00:00', '2024/08/04 00:00', '2025/03/27 06:28', '2024/08/28 12:42', '2024/08/28 09:54']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1002/ksa.12449,2025 Apr;33(4):1299-1307,pubmed,bptb
2,2,38226736,2024 Feb,2024 Jan 7,Knee Surg Sports Traumatol Arthrosc,"['Martin RK', 'Marmura H', 'Wastvedt S', 'Pareek A', 'Persson A', 'Moatshe G', 'Bryant D', 'Wolfson J', 'Engebretsen L', 'Getgood A']",Getgood A,External validation of the Norwegian anterior cruciate ligament reconstruction revision prediction model using patients from the STABILITY 1 Trial.,32,2,206-213,['English'],9314730,0942-2056,1433-7347,"['Randomized Controlled Trial', 'Journal Article']",PubMed - indexed for MEDLINE,ppublish+epublish,"['38226736', '10.1002/ksa.12031']",10.1002/ksa.12031,"['2023/11/10 00:00', '2023/09/14 00:00', '2023/12/05 00:00', '2024/02/11 16:43', '2024/01/16 13:42', '2024/01/16 08:34']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1002/ksa.12031,2024 Feb;32(2):206-213,pubmed,bptb
3,3,37893482,2023 Oct 3,2023 Oct 3,Medicina (Kaunas),"['Obradović M', 'Ninković S', 'Gvozdenović N', 'Tošić M', 'Milinkov M', 'Dulić O']",Dulić O,Tubularization of Bone-Tendon-Bone Grafts: Effects on Mechanical Strength and Postoperative Knee Stability in Anterior Cruciate Ligament Reconstruction.,59,10,,['English'],9425208,1010-660X,1648-9144,"['Randomized Controlled Trial', 'Journal Article']",PubMed - indexed for MEDLINE,epublish,"['37893482', 'PMC10608507', 'pmc-id: PMC10608507;', '10.3390/medicina59101764', 'medicina59101764']",10.3390/medicina59101764,"['2023/08/31 00:00', '2023/09/24 00:00', '2023/09/28 00:00', '2023/10/30 06:46', '2023/10/28 11:47', '2023/10/28 01:10', '2023/10/03 00:00']",[],1,48,"Medicina (Kaunas, Lithuania)",doi: 10.3390/medicina59101764,2023 Oct 3;59(10),pubmed,bptb
4,4,35762124,2023 May,2022 Jun 27,Sports Health,"['Jack RA 2nd', 'Lambert BS', 'Hedt CA', 'Delgado D', 'Goble H', 'McCulloch PC']",McCulloch PC,Blood Flow Restriction Therapy Preserves Lower Extremity Bone and Muscle Mass After ACL Reconstruction.,15,3,361-371,['English'],101518422,1941-7381,1941-0921,"['Randomized Controlled Trial', 'Journal Article']",PubMed - indexed for MEDLINE,ppublish+epublish,"['35762124', 'PMC10170230', 'pmc-id: PMC10170230;', '10.1177/19417381221101006']",10.1177/19417381221101006,"['2023/04/26 06:41', '2022/06/29 06:00', '2022/06/28 03:02', '2023/06/27 00:00']",[],1,58,Sports health,doi: 10.1177/19417381221101006,2023 May;15(3):361-371,pubmed,bptb
5,5,35468330,2022 Jun,2022 Apr 22,Knee,"['de Souza Borges JH', 'Oliveira M', 'Junior PL', 'de Souza Machado R', 'Lima R', 'Ramos LA', 'Cohen M']",Cohen M,Is contralateral autogenous patellar tendon graft a better choice than ipsilateral for anterior cruciate ligament reconstruction in young sportsmen? A randomized controlled trial.,36,,33-43,['English'],9430798,0968-0160,1873-5800,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['35468330', '10.1016/j.knee.2022.03.015', 'S0968-0160(22)00044-8']",10.1016/j.knee.2022.03.015,"['2021/02/08 00:00', '2022/02/09 00:00', '2022/03/29 00:00', '2022/04/26 06:00', '2022/06/22 06:00', '2022/04/25 20:14']",[],1,0,The Knee,doi: 10.1016/j.knee.2022.03.015,2022 Jun;36:33-43,pubmed,bptb
6,6,35042007,2022 Jul,2022 Jan 15,Arthroscopy,"['Forsythe B', 'Chahla J', 'Korrapati A', 'Lavoie-Gagne O', 'Forlenza E', 'Diaz CC', 'Chung CB', 'Bae WC', 'Bach BR', 'Cole B', 'Yanke AB', 'Verma NN']",Verma NN,Bone Marrow Aspirate Concentrate Augmentation May Accelerate Allograft Ligamentization in Anterior Cruciate Ligament Reconstruction: A Double-Blinded Randomized Controlled Trial.,38,7,2255-2264,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['35042007', '10.1016/j.arthro.2022.01.010', 'S0749-8063(22)00013-5']",10.1016/j.arthro.2022.01.010,"['2021/07/06 00:00', '2022/01/03 00:00', '2022/01/06 00:00', '2022/01/19 06:00', '2022/07/14 06:00', '2022/01/18 20:16']","['Arthroscopy. 2022 Jul;38(7):2265-2267. doi: 10.1016/j.arthro.2022.03.016. PMID: 35809981', 'Arthroscopy. 2023 Jun;39(6):1595. doi: 10.1016/j.arthro.2023.01.092. PMID: 37147082']",1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2022.01.010,2022 Jul;38(7):2255-2264,pubmed,bptb
7,7,34952186,2022 Jun,2021 Dec 22,Arthroscopy,"['Chahal J', 'Whelan DB', 'Hoit G', 'Theodoropoulos J', 'Ajrawat P', 'Betsch M', 'Docter S', 'Dwyer T']",Dwyer T,Anterior Cruciate Ligament Patellar Tendon Autograft Fixation at 0° Versus 30° Results in Improved Activity Scores and a Greater Proportion of Patients Achieving the Minimal Clinical Important Difference For Knee Injury and Osteoarthritis Outcome Score Pain: A Randomized Controlled Trial.,38,6,1969-1977,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,ppublish+epublish,"['34952186', '10.1016/j.arthro.2021.12.018', 'S0749-8063(21)01109-9']",10.1016/j.arthro.2021.12.018,"['2021/04/16 00:00', '2021/12/06 00:00', '2021/12/12 00:00', '2021/12/25 06:00', '2022/06/09 06:00', '2021/12/24 20:11']","['Arthroscopy. 2022 Jun;38(6):1978-1979. doi: 10.1016/j.arthro.2022.01.028. PMID: 35660189', 'J Bone Joint Surg Am. 2022 Aug 17;104(16):1505. doi: 10.2106/JBJS.22.00485. PMID: 35700077']",1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2021.12.018,2022 Jun;38(6):1969-1977,pubmed,bptb
8,8,34601649,2022 Aug,2021 Oct 3,Arch Orthop Trauma Surg,"['Komzák M', 'Hart R', 'Náhlík D', 'Vysoký R']",Vysoký R,In vivo knee rotational stability 2 years after the ACL reconstruction using a quadriceps tendon graft with bone block and bone-patellar tendon-bone graft.,142,8,1995-1999,['English'],9011043,0936-8051,1434-3916,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['34601649', '10.1007/s00402-021-04195-2', '10.1007/s00402-021-04195-2']",10.1007/s00402-021-04195-2,"['2020/01/20 00:00', '2021/09/24 00:00', '2021/10/04 06:00', '2022/07/22 06:00', '2021/10/03 21:07']",[],1,0,Archives of orthopaedic and trauma surgery,doi: 10.1007/s00402-021-04195-2,2022 Aug;142(8):1995-1999,pubmed,bptb
9,9,33945339,2021 Jun,2021 May 4,Am J Sports Med,"['Marmura H', 'Getgood AMJ', 'Spindler KP', 'Kattan MW', 'Briskin I', 'Bryant DM']",Bryant DM,Validation of a Risk Calculator to Personalize Graft Choice and Reduce Rupture Rates for Anterior Cruciate Ligament Reconstruction.,49,7,1777-1785,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Multicenter Study', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['33945339', '10.1177/03635465211010798']",10.1177/03635465211010798,"['2021/05/05 06:00', '2021/06/29 06:00', '2021/05/04 17:15']",[],1,0,The American journal of sports medicine,doi: 10.1177/03635465211010798,2021 Jun;49(7):1777-1785,pubmed,bptb
10,10,33529783,2021 Jun,2021 Jan 30,Arthroscopy,"['Fried JW', 'Bloom DA', 'Hurley ET', 'Baron SL', 'Popovic J', 'Campbell KA', 'Strauss EJ', 'Jazrawi LM', 'Alaia MJ']",Alaia MJ,"Tranexamic Acid Has No Effect on Postoperative Hemarthrosis or Pain Control After Anterior Cruciate Ligament Reconstruction Using Bone-Patellar Tendon-Bone Autograft: A Double-Blind, Randomized, Controlled Trial.",37,6,1883-1889,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['33529783', '10.1016/j.arthro.2021.01.037', 'S0749-8063(21)00054-2']",10.1016/j.arthro.2021.01.037,"['2020/08/13 00:00', '2021/01/07 00:00', '2021/01/12 00:00', '2021/02/03 06:00', '2021/08/20 06:00', '2021/02/02 20:10']","['Arthroscopy. 2021 Jun;37(6):1890-1891. doi: 10.1016/j.arthro.2021.03.016. PMID: 34090572', 'Arthroscopy. 2021 Jul;37(7):2019-2020. doi: 10.1016/j.arthro.2021.02.039. PMID: 34225991', 'Arthroscopy. 2021 Jul;37(7):2020-2022. doi: 10.1016/j.arthro.2021.02.040. PMID: 34225992']",1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2021.01.037,2021 Jun;37(6):1883-1889,pubmed,bptb
11,11,33128587,2021 Sep,2020 Oct 31,Knee Surg Sports Traumatol Arthrosc,"['Cristiani R', 'Mikkelsen C', 'Wange P', 'Olsson D', 'Stålman A', 'Engström B']",Engström B,Autograft type affects muscle strength and hop performance after ACL reconstruction. A randomised controlled trial comparing patellar tendon and hamstring tendon autografts with standard or accelerated rehabilitation.,29,9,3025-3036,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['33128587', 'PMC8384829', 'pmc-id: PMC8384829;', '10.1007/s00167-020-06334-5', '10.1007/s00167-020-06334-5']",10.1007/s00167-020-06334-5,"['2020/06/24 00:00', '2020/10/13 00:00', '2020/11/01 06:00', '2021/08/27 06:00', '2020/10/31 17:07', '2020/10/31 00:00']",[],1,33,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1007/s00167-020-06334-5,2021 Sep;29(9):3025-3036,pubmed,bptb
12,12,32368935,2020 Jun,2020 May 5,Am J Sports Med,"['Castoldi M', 'Magnussen RA', 'Gunst S', 'Batailler C', 'Neyret P', 'Lustig S', 'Servien E']",Servien E,A Randomized Controlled Trial of Bone-Patellar Tendon-Bone Anterior Cruciate Ligament Reconstruction With and Without Lateral Extra-articular Tenodesis: 19-Year Clinical and Radiological Follow-up.,48,7,1665-1672,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['32368935', '10.1177/0363546520914936']",10.1177/0363546520914936,"['2020/05/06 06:00', '2020/09/10 06:00', '2020/05/06 06:00']",[],1,0,The American journal of sports medicine,doi: 10.1177/0363546520914936,2020 Jun;48(7):1665-1672,pubmed,bptb
13,13,32298131,2020 May,2020 Apr 16,Am J Sports Med,"['Murray MM', 'Fleming BC', 'Badger GJ', 'BEAR Trial Team', 'Freiberger C', 'Henderson R', 'Barnett S', 'Kiapour A', 'Ecklund K', 'Proffen B', 'Sant N', 'Kramer DE', 'Micheli LJ', 'Yen YM']",Yen YM,Bridge-Enhanced Anterior Cruciate Ligament Repair Is Not Inferior to Autograft Anterior Cruciate Ligament Reconstruction at 2 Years: Results of a Prospective Randomized Clinical Trial.,48,6,1305-1315,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Randomized Controlled Trial', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,ppublish+epublish,"['32298131', 'PMC7227128', 'pmc-id: PMC7227128;', '10.1177/0363546520913532']",10.1177/0363546520913532,"['2020/04/17 06:00', '2020/11/11 06:00', '2020/04/17 06:00', '2020/05/15 00:00']",['J Bone Joint Surg Am. 2021 Feb 17;103(4):358. doi: 10.2106/JBJS.20.02088. PMID: 33369980'],1,57,The American journal of sports medicine,doi: 10.1177/0363546520913532,2020 May;48(6):1305-1315,pubmed,bptb
14,14,32059954,2020 Jun,2020 Feb 12,Arthroscopy,"['Smith PA', 'Cook CS', 'Bley JA']",Bley JA,All-Inside Quadrupled Semitendinosus Autograft Shows Stability Equivalent to Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial in Athletes 24 Years or Younger.,36,6,1629-1646,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['32059954', '10.1016/j.arthro.2020.01.048', 'S0749-8063(20)30130-4']",10.1016/j.arthro.2020.01.048,"['2019/04/05 00:00', '2019/12/20 00:00', '2020/01/18 00:00', '2020/02/16 06:00', '2020/11/11 06:00', '2020/02/16 06:00']",['Arthroscopy. 2020 Jun;36(6):1647-1648. doi: 10.1016/j.arthro.2020.03.005. PMID: 32503775'],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2020.01.048,2020 Jun;36(6):1629-1646,pubmed,bptb
15,15,30733025,2019 Mar,2019 Feb 4,Arthroscopy,"['Bailey L', 'Griffin J', 'Elliott M', 'Wu J', 'Papavasiliou T', 'Harner C', 'Lowe W']",Lowe W,Adductor Canal Nerve Versus Femoral Nerve Blockade for Pain Control and Quadriceps Function Following Anterior Cruciate Ligament Reconstruction With Patellar Tendon Autograft: A Prospective Randomized Trial.,35,3,921-929,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,ppublish+epublish,"['30733025', '10.1016/j.arthro.2018.10.149', 'S0749-8063(18)31040-5']",10.1016/j.arthro.2018.10.149,"['2018/06/12 00:00', '2018/10/11 00:00', '2018/10/21 00:00', '2019/02/09 06:00', '2020/02/26 06:00', '2019/02/09 06:00']","['J Bone Joint Surg Am. 2019 Nov 20;101(22):2061. doi: 10.2106/JBJS.19.00985. PMID: 31764369', 'Arthroscopy. 2020 Mar;36(3):621-622. doi: 10.1016/j.arthro.2020.01.002. PMID: 32139040', 'Arthroscopy. 2020 Mar;36(3):621. doi: 10.1016/j.arthro.2020.01.001. PMID: 32139041']",1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2018.10.149,2019 Mar;35(3):921-929,pubmed,bptb
16,16,30557034,2019 Feb,2018 Dec 17,Am J Sports Med,"['Lynch JR', 'Okoroha KR', 'Lizzio V', 'Yu CC', 'Jildeh TR', 'Moutzouros V']",Moutzouros V,Adductor Canal Block Versus Femoral Nerve Block for Pain Control After Anterior Cruciate Ligament Reconstruction: A Prospective Randomized Trial.,47,2,355-363,['English'],7609541,0363-5465,1552-3365,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['30557034', '10.1177/0363546518815874']",10.1177/0363546518815874,"['2018/12/18 06:00', '2020/01/28 06:00', '2018/12/18 06:00']","['Am J Sports Med. 2019 Aug;47(10):NP49. doi: 10.1177/0363546519859546. PMID: 31365844', 'Am J Sports Med. 2019 Aug;47(10):NP49-NP50. doi: 10.1177/0363546519859547. PMID: 31365845']",1,0,The American journal of sports medicine,doi: 10.1177/0363546518815874,2019 Feb;47(2):355-363,pubmed,bptb
17,17,30414786,2018 Dec,2018 Nov 7,Knee,"['DeFroda SF', 'Karamchedu NP', 'Owens BD', 'Bokshan SL', 'Sullivan K', 'Fadale PD', 'Hulstyn MJ', 'Shalvoy RM', 'Badger GJ', 'Fleming BC']",Fleming BC,Tibial tunnel widening following anterior cruciate ligament reconstruction: A retrospective seven-year study evaluating the effects of initial graft tensioning and graft selection.,25,6,1107-1114,['English'],9430798,0968-0160,1873-5800,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['30414786', 'NIHMS985155', 'PMC6286238', 'pmc-id: PMC6286238;manuscript-id: NIHMS985155;', '10.1016/j.knee.2018.08.003', 'S0968-0160(18)30388-0']",10.1016/j.knee.2018.08.003,"['2018/06/06 00:00', '2018/07/09 00:00', '2018/08/11 00:00', '2018/11/12 06:00', '2019/03/15 06:00', '2018/11/12 06:00', '2019/12/01 00:00']",[],1,35,The Knee,doi: 10.1016/j.knee.2018.08.003,2018 Dec;25(6):1107-1114,pubmed,bptb
18,18,29741923,2018 Jul,2018 May 9,Am J Sports Med,"['Walters BL', 'Porter DA', 'Hobart SJ', 'Bedford BB', 'Hogan DE', 'McHugh MM', 'Klein DA', 'Harousseau K', 'Nicholas SJ']",Nicholas SJ,Effect of Intraoperative Platelet-Rich Plasma Treatment on Postoperative Donor Site Knee Pain in Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: A Double-Blind Randomized Controlled Trial.,46,8,1827-1835,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['29741923', '10.1177/0363546518769295']",10.1177/0363546518769295,"['2018/05/10 06:00', '2019/09/19 06:00', '2018/05/10 06:00']",[],1,0,The American journal of sports medicine,doi: 10.1177/0363546518769295,2018 Jul;46(8):1827-1835,pubmed,bptb
