,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,abstract
0,41976826,2026 Mar 26,2026 Mar 26,J Clin Med,"['Abdallah A', 'Assaf G', 'Chahine C', 'Orm GA', 'Jaber S', 'Chalfoun A', 'Chaaya JB', 'Soukarieh H', 'Chaiban C', 'Ghandour M', 'Ghosn A']",Ghosn A,Platelet-Rich Plasma in Anterior Cruciate Ligament Reconstruction: An Updated Systematic Review and Meta-Analysis of Clinical and Radiological Outcomes.,15,7,,['English'],101606588,2077-0383,2077-0383,"['Journal Article', 'Review']",PubMed,epublish,"['41976826', '10.3390/jcm15072526', 'jcm15072526', 'PMC13073889', 'pmc-id: PMC13073889;']",10.3390/jcm15072526,"['2026/02/05 00:00', '2026/03/04 00:00', '2026/03/13 00:00', '2026/04/14 06:33', '2026/04/14 06:32', '2026/04/14 01:06', '2026/03/26 00:00']",[],1,59,Journal of clinical medicine,doi: 10.3390/jcm15072526,2026 Mar 26;15(7),"Background/Objectives: To evaluate the efficacy of platelet-rich plasma (PRP) as an adjunctive treatment in anterior cruciate ligament reconstruction (ACLR) and its impact on key clinical outcomes. Methods: A systematic search was conducted across five databases until 11 November 2024, including 33 randomized controlled trials (RCTs) that investigated PRP in ACLR. Outcomes analyzed included ligamentization (MRI hypointensity grades), pain VAS scores, functional scores (IKDC, Lysholm, Tegner), knee stability (KT-1000 arthrometer), and tunnel characteristics. Subgroup analyses were performed based on PRP application site, graft type, risk of bias, and follow-up duration. Results: PRP significantly enhanced ligamentization, particularly at 12 months, with marked reductions in MRI hypointensity grades. Patellar tendon grafts demonstrated the most substantial benefits. PRP also significantly reduced postoperative pain, with effects most pronounced in the early recovery period (1-9 months). However, the analgesic benefits diminished over time. Improvements in IKDC scores were observed only in studies with a high risk of bias, while Lysholm and Tegner scores showed no consistent differences between PRP and controls. Knee stability improved significantly with PRP, but this effect was limited to early follow-up periods (3 months). The heterogeneity in PRP preparation methods, application protocols, and patient populations limited the generalizability of the findings. Conclusions: PRP enhances ligamentization and provides short-term pain relief and stability benefits in ACLR. However, its impact on long-term functional recovery and other clinical outcomes remains limited and inconsistent. Standardization of PRP protocols and further high-quality research are necessary to refine its application and therapeutic potential."
1,41974310,2026 Apr 11,2026 Apr 11,J ISAKOS,"[""D'Ambrosi R"", 'Ackermann J', 'Deichsel A', 'Eckl L', 'Eggeling L', 'Kittl C', 'Laky B', 'Mathis D', 'Merkely GB', 'Muench LN', 'Muenchgesang M', 'Schmidt AF', 'Schuettler KF', 'Wafaisade A', 'Guenther D', 'Research Committe of Society for Arthroscopy and Joint-Surgery (AGA)']",Guenther D,Graft Choice Does Not Influence Outcomes After Anterior Cruciate Ligament Reconstruction in Patients Aged 50 Years and Older: A Systematic Review and Meta-analysis.,,,101111,['English'],101680867,2059-7754,2059-7762,"['Journal Article', 'Review']",PubMed - as supplied by publisher,aheadofprint,"['41974310', '10.1016/j.jisako.2026.101111', 'S2059-7754(26)00047-7']",10.1016/j.jisako.2026.101111,"['2026/03/08 00:00', '2026/03/31 00:00', '2026/04/02 00:00', '2026/04/14 00:32', '2026/04/14 00:32', '2026/04/13 19:37']",[],1,0,Journal of ISAKOS : joint disorders & orthopaedic sports medicine,doi: 10.1016/j.jisako.2026.101111,2026 Apr 11;:101111,"AIM: Anterior cruciate ligament reconstruction (ACLR) in patients over 50 years has traditionally been considered controversial due to concerns about graft failure, limited healing potential, and risk of degenerative progression. However, with increasing life expectancy and higher physical activity in older adults, the demand for ACLR in this population has grown, and the role of graft selection remains unclear. The aim of this study was to evaluate the influence of graft choice on clinical outcomes, graft survival, and re-rupture rates after ACLR in patients aged 50 years and older. It was hypothesized that (1) ACLR in this population would result in low re-rupture rates and satisfactory functional outcomes, and (2) no significant differences would be observed among different graft types. EVIDENCE REVIEW: A systematic literature search of PubMed, Embase, and the Cochrane Library was performed from database inception to July 20, 2025, according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines. Eligible studies included skeletally mature patients >/=50 years undergoing primary ACLR with different grafts (hamstring tendon [HT], bone-patellar tendon-bone [BPTB], quadriceps tendon [QT], allograft, or synthetic). Outcomes of interest included graft re-rupture, Lysholm score, and International Knee Documentation Committee (IKDC) subjective score. Random-effects meta-analyses were conducted to pool results, and subgroup analyses were performed by graft type. FINDINGS: Twenty-one studies including a total of 1,093 patients were analyzed. The overall weighted mean age at surgery was 55.88 years (95% Confidence Interval [CI], 54.6-57.2). The majority of patients underwent HT reconstruction (n=744 - 68.1%), followed by QT (n=142 - 12.9%), BPTB (n=81 - 7.4%), allograft (n=110 - 10.1%), and synthetic grafts (LARS; n=16 - 1.5%). The overall re-rupture rate was 0.3% (95% CI, 0.0-1.4), with no statistically significant differences among graft types (p > 0.05), ranging from 0.0% for BPTB/QT to 1.8% for allograft/ligament augmentation and reconstruction system (LARS). The pooled mean Lysholm score was 91.2 (95% CI, 89.5-92.9), and the pooled mean IKDC score was 81.4 (95% CI, 77.9-84.9), showing no statistically significant graft-related differences. Odds ratio analysis confirmed no increased risk of re-rupture across graft types. CONCLUSIONS: ACL reconstruction in patients aged 50 years and older is associated with excellent functional outcomes and very low re-rupture rates. No statistically significant differences were observed among graft types. These findings should be interpreted with caution due to limited data for some graft categories and heterogeneity of the available evidence. Graft selection should be individualized based on patient characteristics and surgeon expertise rather than chronological age. STUDY REGISTRATION: PROSPERO Registry (CRD420251118537) STUDY DESIGN: Systematic review and meta-analysis; Level of evidence, III."
2,41853453,2026 Feb,2026 Feb 13,Cureus,"['Ciari PM', 'Day J', 'Chen S', 'Bontekoe K', 'Merino E', 'Karron J']",Karron J,Graft-Site Morbidity in Anterior Cruciate Ligament (ACL) Reconstruction: A Scoping Review of Assessment Techniques and Outcomes.,18,2,e103565,['English'],101596737,2168-8184,2168-8184,"['Journal Article', 'Review']",PubMed,,"['41853453', 'PMC12991907', 'pmc-id: PMC12991907;', '10.7759/cureus.103565']",10.7759/cureus.103565,"['2026/02/07 00:00', '2026/03/19 07:11', '2026/03/19 07:10', '2026/03/19 05:03', '2026/02/13 00:00']",[],1,52,Cureus,doi: 10.7759/cureus.103565,2026 Feb;18(2):e103565,"Graft-site morbidity is a critical yet often overlooked aspect of anterior cruciate ligament reconstruction (ACLR). While autografts such as bone-patellar tendon-bone (BPTB) and quadriceps tendon (QT) have been shown to provide effective mechanical stability, the functional and quality-of-life outcomes associated with graft harvesting location warrant greater attention. This scoping review evaluates the existing methodologies for assessing graft-site morbidity, focusing on anterior knee pain, paresthesia, and muscle deficits. Articles were screened from January 1, 2000, to June 12, 2024, returning 609 unique references to graft-site morbidity. A systematic search identified 43 studies meeting inclusion criteria, revealing significant variability in assessment methods and reporting standards. This review underscores the need for a uniformly administered series of techniques to measure graft-site morbidity, enabling meaningful comparisons and improving patient-centric surgical decision-making. Future investigations should prioritize standardizing assessment tools to assess graft selection and optimize holistic patient outcomes."
3,41812771,2026 Mar 9,2026 Mar 9,J ISAKOS,"['Khan ZA', 'Stålman A', 'Impieri L', 'Butt U', 'Vuletic F']",Vuletic F,Ten-year risk of graft re-rupture and contralateral anterior cruciate ligament injury after primary anterior cruciate ligament reconstruction: A systematic review and meta-analysis.,18,,101094,['English'],101680867,2059-7754,2059-7762,"['Journal Article', 'Review']",PubMed - as supplied by publisher,aheadofprint,"['41812771', '10.1016/j.jisako.2026.101094', 'S2059-7754(26)00030-1']",10.1016/j.jisako.2026.101094,"['2025/12/02 00:00', '2026/02/24 00:00', '2026/02/27 00:00', '2026/03/12 01:09', '2026/03/12 01:09', '2026/03/11 20:16']",[],1,0,Journal of ISAKOS : joint disorders & orthopaedic sports medicine,doi: 10.1016/j.jisako.2026.101094,2026 Mar 9;18:101094,"IMPORTANCE: The second anterior cruciate ligament (ACL) injury after ACL reconstruction is a well-known complication. Several studies have suggested that the risk of contralateral ACL injury is comparable to that of graft re-rupture. However, this comparison is not well established in previous reviews for studies with minimum five-year follow-up and mean ten-year outcomes. OBJECTIVE: This systematic review and meta-analysis aimed to evaluate the ten-year risk of graft re-rupture and contralateral ACL injury after primary ACL reconstruction and to assess the influence of graft type, return-to-sport, and other factors on second ACL injuries. EVIDENCE REVIEW: A systematic search was conducted across the Cochrane Database of Systematic Reviews, the Cochrane Central Register of Controlled Trials, PubMed, EMBASE, and Cochrane from 2000 to 2025. The literature search strategy included the following keywords: ""anterior cruciate ligament reconstruction,"" ""ACL reconstruction,"" ""graft rupture,"" ""graft failure,"" ""contralateral anterior cruciate ligament injury,"" and ""contralateral ACL injury."" All studies that compare the risk of re-rupture and contralateral ACL injuries after ACL reconstruction and with a follow-up of at least five years after ACL reconstruction were included. Exclusion criteria included case reports, reviews, studies using allografts or artificial ligaments, and multi-ligament injuries. FINDINGS: A total of 18 studies were included in this meta-analysis with 5,735 participants. The pooled rates of graft rupture and contralateral injuries were 11 % and 12 %, respectively, with no statistically significant difference (p = 0.421). The ipsilateral graft-rupture rate was higher in patients with hamstring tendon (HT) autografts compared with bone-patellar tendon-bone (BPTB) autografts, at 13.0 % and 7.74 %, respectively (odds ratio [OR] = 1.75, 95 % confidence interval [CI]: 1.33-2.31; p = 0.004). Younger age (<18 years) was identified as the most substantial risk factor, with patients under 18 years showing nearly a threefold increased risk of graft rupture (OR 2.22, 95 % CI: 1.16-4.23, p = 0.016). Age <18 years also conferred increased risk for contralateral injury (OR 1.87, 95 % CI: 1.32-2.65, p = 0.001). Return to sport (RTS) was achieved by 51 %-73 % of patients in the included studies. However, delaying RTSs did not result in a statistically significant reduction in the risk of reinjury. CONCLUSION AND RELEVANCE: Contralateral anterior cruciate ligament injuries and graft re-ruptures occurred at similar rates (12 % and 11 %, respectively, p = 0.421), which suggests that risk of second injury is similar between ipsilateral graft failure and contralateral anterior cruciate ligament injury. Therefore, second ACL injuries remain a crucial concern over extended follow-up periods (mean: 10.3 years), driven primarily by younger age, hamstring graft use, and participation in high-demand sports. LEVEL OF EVIDENCE: Level III."
4,41717284,2026 Jan,2026 Feb 18,J Exp Orthop,"['Heinz M', 'Lettner J', 'Topkarci YB', 'Królikowska A', 'Ramadanov N', 'Ostojic M', 'Becker R', 'Prill R']",Prill R,Hamstring autografts favour knee extension strength recovery while quadriceps autografts optimise flexion strength recovery: A systematic review of randomised controlled trials.,13,1,e70665,['English'],101653750,2197-1153,2197-1153,"['Journal Article', 'Review']",PubMed,,"['41717284', 'PMC12914483', 'pmc-id: PMC12914483;', '10.1002/jeo2.70665', 'JEO270665']",10.1002/jeo2.70665,"['2025/12/19 00:00', '2026/01/13 00:00', '2026/01/15 00:00', '2026/02/20 07:06', '2026/02/20 07:05', '2026/02/20 04:56', '2026/02/18 00:00']",[],1,43,Journal of experimental orthopaedics,doi: 10.1002/jeo2.70665,2026 Jan;13(1):e70665,"PURPOSE: Quadriceps tendon (QT), hamstring tendon (HT) and patellar tendon (PT) autografts are the most common grafts for anterior cruciate ligament reconstruction (ACLR). However, the specific impact of graft selection on postoperative knee extension and flexion strength remains controversial. This systematic review analysed randomised controlled trials (RCTs) comparing isokinetic muscle strength outcomes following primary ACLR using QT, HT or PT autografts. METHODS: A systematic review was conducted by searching Medline (PubMed), Epistemonikos and ScienceDirect (January 2014-10 May 2025) to identify RCTs that included patients aged >/=16 years undergoing primary, unilateral ACLR using an ipsilateral QT, HT or PT autograft. Studies had to report isokinetic strength outcomes at predefined postoperative intervals (approximately 3, 6, 12 and/or >/= 24 months) and at one or more angular velocities. The PRISMA guidelines were followed for literature analysis. Two reviewers independently screened, extracted and appraised data using the JBI Checklist for RCTs. A narrative synthesis was performed due to significant clinical and methodological heterogeneity among the included studies. RESULTS: Of 1509 records screened, 13 RCTs met the criteria, encompassing 5 studies using QT, 13 HT and 4 PT. The synthesis revealed distinct recovery patterns: HT autografts showed more favourable recovery of knee extension strength, particularly between 6 and 12 months postoperatively. Conversely, QT autografts consistently resulted in superior recovery of knee flexor strength across all follow-up periods. The results for PT autografts were heterogeneous, showing some short-term advantages but no consistent superiority. Patient-reported outcomes (PROMs) generally improved in all groups, though patterns varied by instrument and time point. CONCLUSION: Current evidence indicates graft-specific profiles of strength recovery after ACLR, with HT autografts favouring knee extension and QT autografts favouring knee flexion recovery. However, heterogeneity in testing protocols, angular velocities and the reporting of limb symmetry indices limits the strength of these conclusions. LEVEL OF EVIDENCE: Level I."
5,41658706,2026 Jan,2026 Jan 6,Cureus,"['Muscat K', 'Calleja J']",Calleja J,Hamstring Tendon vs. Bone-Patellar Tendon-Bone Grafts for Primary Anterior Cruciate Ligament Reconstruction in Football (Soccer) Players: A Systematic Review and Meta-Analysis.,18,1,e100912,['English'],101596737,2168-8184,2168-8184,"['Journal Article', 'Review']",PubMed,,"['41658706', 'PMC12874929', 'pmc-id: PMC12874929;', '10.7759/cureus.100912']",10.7759/cureus.100912,"['2026/01/04 00:00', '2026/02/09 12:54', '2026/02/09 12:53', '2026/02/09 06:46', '2026/01/06 00:00']",[],1,24,Cureus,doi: 10.7759/cureus.100912,2026 Jan;18(1):e100912,"Anterior cruciate ligament (ACL) rupture is a common and career-impacting injury among football players, often requiring surgical reconstruction. The two most commonly used grafts, hamstring tendon (HT) and bone-patellar tendon-bone (BPTB), have both shown favorable outcomes, but the optimal choice remains debated. This systematic review aimed to evaluate and compare outcomes of ACL reconstruction using HT vs. BPTB autografts specifically in football players. A systematic literature search was conducted across PubMed, Cochrane Library, and MEDLINE databases from inception to January 2025. Eligible studies included randomized controlled trials and observational cohort or case-control studies comparing HT and BPTB autografts in football players undergoing primary ACL reconstruction. The primary outcome was graft failure rate. Secondary outcomes included return to sport, isokinetic muscle strength, patient-reported outcome measures (PROMs), donor-site morbidity, and knee stability. Meta-analyses were performed for outcomes reported in >/=2 studies with statistical heterogeneity (I(2)) </= 60%. Outcomes with high heterogeneity or limited reporting were summarized narratively using the Synthesis Without Meta-analysis (SWiM) guidelines. Risk of bias was assessed using the Risk of Bias 2 (RoB2) and Risk of Bias in Non-Randomized Studies of Interventions Version 2 (ROBINS-I V2) tools. Nine studies with 1,173 participants met the inclusion criteria. Meta-analysis of five studies (n = 1,013) showed no statistically significant difference in graft failure rates between the graft types (HT: 7.88%, BPTB: 6.34%, OR = 1.46, 95% CI: 0.80-2.67, p = 0.22). Return-to-sport rates were also comparable between graft types. Evidence for secondary outcomes was limited. Meta-analysis of extensor strength, based on two studies and heavily weighted toward a single trial, suggested greater strength following HT reconstruction, while flexor strength and donor-site morbidity findings were derived from single studies. PROMs and knee stability outcomes showed no consistent differences. Risk of bias was moderate to serious in most observational studies. This systematic review and meta-analysis found no clear superiority between HT and BPTB grafts in terms of failure rates, return to sport, or stability outcomes in football players. In contrast, evidence regarding muscle strength recovery and donor-site morbidity remains limited and preliminary. These secondary findings should be interpreted cautiously, highlighting the need for further high-quality, football-specific trials."
6,41657669,2026,2026 Jan 22,Ann Jt,"['Vieider RP', 'Hartline J', 'Lau J', 'Dias K', 'Wackerle AM', 'Musahl V']",Musahl V,Precision anterior cruciate ligament (ACL) reconstruction in high-level athletes.,11,,10,['English'],101711195,,2415-6809,"['Journal Article', 'Review']",PubMed,,"['41657669', 'PMC12875792', 'pmc-id: PMC12875792;', '10.21037/aoj-25-58', 'aoj-11-10']",10.21037/aoj-25-58,"['2025/08/16 00:00', '2025/10/20 00:00', '2026/02/09 12:54', '2026/02/09 12:53', '2026/02/09 06:37', '2026/01/22 00:00']",[],1,116,Annals of joint,doi: 10.21037/aoj-25-58,2026;11:10,"Anterior cruciate ligament (ACL) tear is a common injury in high-level athletes and has a significant impact on a professional career. Precision management is necessary for successful return to sports (RTS) and return to a competitive level, referred to as return to play (RTP). ACL reconstruction (ACLR) is considered the gold standard and restores anteroposterior and rotatory knee stability to facilitate a successful comeback in the elite athlete's sport. Despite an overall high RTS and RTP rate in elite athletes, performance and career longevity can be significantly impacted. Management of ACL injury in an elite athlete should be individualized to address the demands of the sport and the athlete's expectations. Optimal treatment includes the proper graft choice, detailed sport-specific rehabilitation, and metrics for psychological readiness to RTS and RTP. Hamstring tendon (HT), quadriceps tendon (QT), and bone-patellar tendon-bone (BPTB) autograft for ACLR are the most widely used grafts in athletes. Each graft has a specific profile of characteristics, with BPTB and QT autografts showing the lowest failure rates compared to HT autografts. Graft-specific complications represent anterior knee pain in BPTB, functional weakness of the extensor mechanism of the knee when using QT autografts, and a higher failure rate in HT autografts. Concomitant injuries are common, with meniscus, chondral, and medial collateral ligament lesions being most frequent. Meniscus injuries should be repaired, and early timing plays a crucial role, considering good outcomes after meniscus repair in combined ACLR. Rehabilitation in high-level athletes is recommended to be based on functional criteria rather than purely on a timeline. Successful rehabilitation with the goal of RTP should include prevention of re-injury, progressive muscle strengthening, neuromuscular training, and sport-specific functional exercises."
7,41553011,2026 Apr,2026 Jan 19,Knee Surg Sports Traumatol Arthrosc,"['Jolly A', 'Baumert P', 'Franco P', 'Arora G', 'Fink C']",Fink C,Fat pad debridement prolongs return-to-sport: A meta-analysis and meta-regression of surgical interventions for chronic patellar tendinopathy.,34,4,1473-1483,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Meta-Analysis', 'Systematic Review', 'Review']",PubMed - indexed for MEDLINE,ppublish+epublish,"['41553011', '10.1002/ksa.70284']",10.1002/ksa.70284,"['2025/12/20 00:00', '2025/08/25 00:00', '2025/12/29 00:00', '2026/03/31 12:32', '2026/01/19 12:51', '2026/01/19 07:43']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1002/ksa.70284,2026 Apr;34(4):1473-1483,"PURPOSE: Chronic patellar tendinopathy, or jumper's knee, frequently affects athletes involved in jumping sports. Most patients can be treated with conservative management, while approximately 10% require surgery. The purpose of this systematic review and meta-regression was to evaluate surgical outcomes and determine whether surgical and patient-related factors influence post-operative return-to-sport (RTS). METHODS: The review was conducted according to PRISMA guidelines. PubMed, Embase and Cochrane Library were searched for studies published between January 2008 and December 2025. Risk of bias assessment was undertaken using the Downs and Black checklist. Data on surgical technique, specific surgical procedures, patient demographics, rehabilitation and outcomes, including Victorian Institute of Sport Assessment-Patellar tendinopathy (VISA-P) and Lysholm knee scores, were extracted. Random-effects meta-analyses and meta-regression were conducted to identify factors influencing time to RTS. RESULTS: A total of 2074 records were screened, and 13 studies met the inclusion criteria. Surgical intervention significantly improved VISA-P scores (weighted mean difference [WMD] of 40.3 [95% confidence interval [CI]: 36.8-43.8]) and Lysholm scores (WMD of 41.3 [95% CI: 38.7-44.0]). A meta-analysis comparing surgical techniques found significantly longer RTS times following arthroscopic procedures compared to open surgery (WMD, 5.4 weeks; p = 0.049). Meta-regression indicated that inclusion of fat pad debridement was associated with a 7.0-week delay in RTS (p = 0.007), while no significant effect was seen for patellar tendon debridement (p = 0.6). No significant effect of sex, age or post-operative immobilisation on RTS time was observed (p > 0.05). CONCLUSIONS: Surgical treatment for chronic patellar tendinopathy leads to substantial improvements in functional outcomes. However, arthroscopic techniques and the inclusion of fat pad debridement may prolong RTS time. Greater standardisation of surgical procedures and further high-quality studies are needed to optimise treatment strategies. LEVEL OF EVIDENCE: Level IV."
8,41549320,2026 Jan 18,2026 Jan 18,J Orthop Surg Res,"['Pang Y', 'Xu S', 'Xiang G', 'Zhang K', 'Sun T']",Sun T,Comparative assessment of graft maturity after anterior cruciate ligament reconstruction using different graft types: a systematic review.,21,1,122,['English'],101265112,,1749-799X,"['Journal Article', 'Systematic Review', 'Comparative Study']",PubMed - indexed for MEDLINE,epublish,"['41549320', 'PMC12896331', 'pmc-id: PMC12896331;', '10.1186/s13018-026-06665-y', '10.1186/s13018-026-06665-y']",10.1186/s13018-026-06665-y,"['2025/10/15 00:00', '2026/01/04 00:00', '2026/02/12 06:54', '2026/01/19 01:03', '2026/01/18 23:15', '2026/01/18 00:00']",[],1,69,Journal of orthopaedic surgery and research,doi: 10.1186/s13018-026-06665-y,2026 Jan 18;21(1):122,"BACKGROUND: The selection of graft remains a subject of ongoing debate in anterior cruciate ligament (ACL) reconstruction, with distinct maturation processes having been observed among different graft types. A thorough understanding of these differences in graft maturation is crucial for optimizing rehabilitation protocols and ensuring a safe return to sports. This study aimed to systematically review the differences in graft maturation among different graft types following ACL reconstruction. METHODS: A comprehensive literature search was conducted in PubMed, Embase, and the Cochrane Library in accordance with the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines. Studies were included only if they compared intra-articular ACL graft maturity across different graft types. RESULTS: Twenty-one studies met the inclusion criteria. Graft maturity was assessed using magnetic resonance imaging (MRI) in 15 studies, second-look arthroscopy in 4 studies, and histological biopsy in 1 study; one additional study utilized both MRI and second-look arthroscopy. Hamstring tendon (HT) and bone-patellar tendon-bone (BPTB) autografts showed similar maturity, as assessed by MRI signal intensity (SI) and histological findings, after ACL reconstruction. However, results from second-look arthroscopy were inconclusive. HT autografts exhibited MRI SI comparable to soft-tissue allografts within the first postoperative year, but demonstrated superior maturity and graft appearances at approximately 2 years postoperatively. Quadriceps tendon (QT) autografts, both with and without a patellar bone block, revealed lower MRI SI compared to HT autografts, suggesting better graft maturity. HT autografts with preserved tibial insertion maintained relatively lower SI during the early maturation phase (6 and 12 months) than free HT autografts, though no significant differences were observed at later stages (24 and 60 months). CONCLUSION: MRI, second-look arthroscopy, and histological biopsy analysis indicated distinct graft maturation levels following ACL reconstruction. No conclusive evidence established whether HT or BPTB autografts are superior in terms of graft maturity. Compared to free HT autografts and soft-tissue allografts, QT autografts and HT autografts with preserved tibial insertion may mature earlier, which may allow for consideration of an earlier return to sports in clinical decision-making. These grafts may therefore represent viable alternatives to HT and BPTB grafts, particularly in young and active patients. LEVEL OF EVIDENCE: III, systematic review of level Ⅰ-Ⅲ investigation."
9,41521732,2026 Mar,2026 Jan 12,Am J Sports Med,"['Zhang L', 'Xu T', 'Xiong Q', 'Hu Y', 'Fan L', 'Fu W']",Fu W,Risk Factors for Knee Osteoarthritis After Anterior Cruciate Ligament Reconstruction: A Systematic Review and Meta-analysis.,54,4,955-968,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Systematic Review', 'Meta-Analysis']",PubMed - indexed for MEDLINE,ppublish+epublish,"['41521732', '10.1177/03635465251380285']",10.1177/03635465251380285,"['2026/03/17 14:25', '2026/01/12 06:28', '2026/01/12 03:03']",[],1,0,The American journal of sports medicine,doi: 10.1177/03635465251380285,2026 Mar;54(4):955-968,"BACKGROUND: The incidence of knee osteoarthritis (KOA) after anterior cruciate ligament (ACL) reconstruction (ACLR) is high, posing significant challenges to long-term joint health and overall quality of life. Identifying and understanding the risk factors associated with postoperative KOA are crucial for improving surgical outcomes and guiding preventive strategies. PURPOSE: To perform a systematic review and meta-analysis to investigate the risk factors for KOA after ACLR. STUDY DESIGN: Systematic review; Level of evidence, 4. METHODS: A systematic review with meta-analysis was performed according to the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines. There were 3 databases (PubMed, Embase, and Web of Science) searched from inception to September 2024. All prospective and retrospective studies investigating the risk factors for KOA after ACLR were considered. The odds ratio (OR) or weighted mean difference (WMD) was calculated for potential risk factors if >/=2 studies assessed the same risk factor. Variables that could not be subjected to a meta-analysis were qualitatively analyzed. RESULTS: A total of 39 studies met the inclusion criteria, with a combined sample size of 46,545, and 35 studies were subjected to a meta-analysis. The incidence of KOA after ACLR ranged from 2.34% to 100.00%, with a mean incidence of 8.29%. Overall, 9 factors were associated with an increase in the risk of KOA after ACLR: older age (WMD, 3.30 [95% CI, 2.33-4.28]), male sex (OR, 1.41 [95% CI, 1.14-1.74]), a higher body mass index (WMD, 1.31 [95% CI, 0.34-2.27]), bone-patellar tendon-bone autografts (OR, 1.66 [95% CI, 1.11-2.50]), a longer interval between ACL injury and surgery (WMD, 1.09 [95% CI, 0.55-1.63]), meniscectomy (OR, 2.42 [95% CI, 2.01-2.91]), meniscal injuries (OR, 3.35 [95% CI, 2.06-5.45]), additional injuries (OR, 3.65 [95% CI, 1.74-7.68]), and chondral lesions at the time of ACLR (OR, 2.15 [95% CI, 1.43-3.24]). CONCLUSION: Older age, male sex, a higher body mass index, bone-patellar tendon-bone autografts, meniscectomy, a longer interval between ACL injury and surgery, and concomitant other injuries (meniscal or chondral) may increase the risk of KOA after ACLR. An increased awareness of relevant risk factors and targeted preventive strategies for modifiable risk factors can effectively reduce the incidence of KOA after ACLR."
