,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,abstract
0,41974310,2026 Apr 11,2026 Apr 11,J ISAKOS,"[""D'Ambrosi R"", 'Ackermann J', 'Deichsel A', 'Eckl L', 'Eggeling L', 'Kittl C', 'Laky B', 'Mathis D', 'Merkely GB', 'Muench LN', 'Muenchgesang M', 'Schmidt AF', 'Schuettler KF', 'Wafaisade A', 'Guenther D', 'Research Committe of Society for Arthroscopy and Joint-Surgery (AGA)']",Guenther D,Graft Choice Does Not Influence Outcomes After Anterior Cruciate Ligament Reconstruction in Patients Aged 50 Years and Older: A Systematic Review and Meta-analysis.,,,101111,['English'],101680867,2059-7754,2059-7762,"['Journal Article', 'Review']",PubMed - as supplied by publisher,aheadofprint,"['41974310', '10.1016/j.jisako.2026.101111', 'S2059-7754(26)00047-7']",10.1016/j.jisako.2026.101111,"['2026/03/08 00:00', '2026/03/31 00:00', '2026/04/02 00:00', '2026/04/14 00:32', '2026/04/14 00:32', '2026/04/13 19:37']",[],1,0,Journal of ISAKOS : joint disorders & orthopaedic sports medicine,doi: 10.1016/j.jisako.2026.101111,2026 Apr 11;:101111,"AIM: Anterior cruciate ligament reconstruction (ACLR) in patients over 50 years has traditionally been considered controversial due to concerns about graft failure, limited healing potential, and risk of degenerative progression. However, with increasing life expectancy and higher physical activity in older adults, the demand for ACLR in this population has grown, and the role of graft selection remains unclear. The aim of this study was to evaluate the influence of graft choice on clinical outcomes, graft survival, and re-rupture rates after ACLR in patients aged 50 years and older. It was hypothesized that (1) ACLR in this population would result in low re-rupture rates and satisfactory functional outcomes, and (2) no significant differences would be observed among different graft types. EVIDENCE REVIEW: A systematic literature search of PubMed, Embase, and the Cochrane Library was performed from database inception to July 20, 2025, according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines. Eligible studies included skeletally mature patients >/=50 years undergoing primary ACLR with different grafts (hamstring tendon [HT], bone-patellar tendon-bone [BPTB], quadriceps tendon [QT], allograft, or synthetic). Outcomes of interest included graft re-rupture, Lysholm score, and International Knee Documentation Committee (IKDC) subjective score. Random-effects meta-analyses were conducted to pool results, and subgroup analyses were performed by graft type. FINDINGS: Twenty-one studies including a total of 1,093 patients were analyzed. The overall weighted mean age at surgery was 55.88 years (95% Confidence Interval [CI], 54.6-57.2). The majority of patients underwent HT reconstruction (n=744 - 68.1%), followed by QT (n=142 - 12.9%), BPTB (n=81 - 7.4%), allograft (n=110 - 10.1%), and synthetic grafts (LARS; n=16 - 1.5%). The overall re-rupture rate was 0.3% (95% CI, 0.0-1.4), with no statistically significant differences among graft types (p > 0.05), ranging from 0.0% for BPTB/QT to 1.8% for allograft/ligament augmentation and reconstruction system (LARS). The pooled mean Lysholm score was 91.2 (95% CI, 89.5-92.9), and the pooled mean IKDC score was 81.4 (95% CI, 77.9-84.9), showing no statistically significant graft-related differences. Odds ratio analysis confirmed no increased risk of re-rupture across graft types. CONCLUSIONS: ACL reconstruction in patients aged 50 years and older is associated with excellent functional outcomes and very low re-rupture rates. No statistically significant differences were observed among graft types. These findings should be interpreted with caution due to limited data for some graft categories and heterogeneity of the available evidence. Graft selection should be individualized based on patient characteristics and surgeon expertise rather than chronological age. STUDY REGISTRATION: PROSPERO Registry (CRD420251118537) STUDY DESIGN: Systematic review and meta-analysis; Level of evidence, III."
1,41946489,2026 Apr 7,2026 Apr 7,Arthroscopy,"['Davey MS', 'Hurley ET', 'Doyle TR', 'Dickens JF']",Dickens JF,"Anterior Cruciate Ligament Reconstruction With Hamstring Tendon Versus Quadriceps Tendon Autograft Results in No Significant Differences in Patient-Reported Outcome Measures, Re-Rupture Rates, and Clinical Stability: A Meta-analysis of Level I Randomized Control Trials.",,,,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Review']",PubMed - as supplied by publisher,aheadofprint,"['41946489', '10.1002/arj.70086']",10.1002/arj.70086,"['2025/04/26 00:00', '2025/08/27 00:00', '2026/04/08 00:30', '2026/04/08 00:30', '2026/04/07 20:03']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1002/arj.70086,2026 Apr 7;,"PURPOSE: To perform a systematic review and meta-analysis of Level I randomized controlled trials (RCTs) examining the clinical outcomes of patients who underwent anterior cruciate ligament reconstruction (ACLR), with hamstring tendon (HT) versus quadriceps tendon (QT) autografts. METHODS: A literature search was performed according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. Only RCTs of Level I evidence comparing clinical outcomes of ACLR with HT versus QT autografts were included. Descriptive statistics were performed with risk ratios utilized for dichotomous variables and the mean difference (MD) for continuous variables. Statistical significance was set at P-value < .05. RESULTS: There were 6 RCTs including 374 patients (60% males) with a mean age of 26.7 +/- 3.8 years who underwent ACLR with HT (n = 186) or QT (n = 188) autografts. Meta-analysis found there were no significant differences between those who underwent ACLR with either HT or QT autografts with respect to positive pivot-shift testing (risk ratio; 0.42, P = .42) and re-rupture rates (risk ratio; 1.03, P = .96). Similarly, there was no significant difference between the groups for all patient-reported outcome measures, namely International Knee Documentation Committee scores (MD; 0.00, P = .98) and Lysholm scores (MD; -0.21, P = .47) (MD; -0.18, P = .65). However, one study found a significant difference between the HT and QT groups with respect to donor site morbidity scores). CONCLUSIONS: Current Level I evidence suggests that there is no significant difference between ACLR with HT or QT autografts in re-rupture rates, clinical evaluation of laxity, or patient-reported outcomes measures in the short-term postoperatively. Although few RCTs reported specifically in relation to donor site morbidity, current literature suggests that QT autograft may potentially result in significantly lower occurrence of donor site morbidity scoring. LEVEL OF EVIDENCE: Level I, meta-analysis of Level I studies."
2,41901584,2026 Mar 9,2026 Mar 9,Medicina (Kaunas),"['Christoffel L', 'Beaupre L', 'Nathanail S', 'Labban W', 'Sommerfeldt M', 'Westover L', 'Thornton GM']",Thornton GM,Clearance Criteria for Determining Eligibility for Force Plate Testing After Anterior Cruciate Ligament Reconstruction: A Scoping Review.,62,3,,['English'],9425208,1010-660X,1648-9144,"['Journal Article', 'Scoping Review', 'Review']",PubMed - indexed for MEDLINE,epublish,"['41901584', 'PMC13028135', 'pmc-id: PMC13028135;', '10.3390/medicina62030503', 'medicina62030503']",10.3390/medicina62030503,"['2026/01/23 00:00', '2026/02/24 00:00', '2026/03/02 00:00', '2026/03/28 06:40', '2026/03/28 06:39', '2026/03/28 01:33', '2026/03/09 00:00']",[],1,73,"Medicina (Kaunas, Lithuania)",doi: 10.3390/medicina62030503,2026 Mar 9;62(3),"Background and Objectives: Throughout the return-to-play process after anterior cruciate ligament reconstruction (ACLR), clearance criteria and limb symmetry indices (LSI) play an important role in clinical decision-making by helping evaluate patient readiness and informing safe activity progressions, with the goal of reducing re-injury risk. How clearance criteria are implemented in research studies to evaluate patient readiness, specifically in force plate jumping studies, is currently unknown. This scoping review was a focused examination of clearance criteria and limb symmetry indices in studies performing force plate-based jumping assessments with ACLR patients. The research questions guiding this scoping review were as follows: (1) What clearance criteria are reported in studies involving primary ACLR patients who participate in jumping assessments on force plates? (2) What LSI are reported in force plate studies, and what level of symmetry is deemed acceptable to allow for safe participation of ACLR patients who participate in jumping assessments of force plates? Materials and Methods: Nine databases were searched on 7 or 8 September 2024 for three concepts: ACLR, force plates, and movement properties. Inclusion criteria were as follows: (a) primary ACLR patients at least 6 months post-surgery; (b) performing a countermovement or drop jump; (c) collecting at least one kinetic parameter using a force plate. Clearance criteria was operationally defined as a time from surgery boundary, functional or performance-based testing criteria, medical evaluation, or completion/participation in a rehabilitation program. Results: Thirty-five studies were included. Time from surgery was the most frequently reported clearance criteria (26/35; 74.3%), followed by medical evaluation (18/35; 51.4%), and completion of rehabilitation (10/35; 28.6%). Use of LSI as clearance criteria was limited (5/35; 14.3%). Minimum required LSI ranged from 85 to 90% in quadriceps strength and hop testing. Conclusions: Clearance criteria varied by jump type and post-surgical time frame when the participant was tested. Standardized rehabilitation was common prior to 2 years post-surgery, whereas medical clearance was common after 2 years post-surgery. Single leg jumps typically required 2-3 clearance criteria, whereas double leg jumps required 1-2 clearance criteria. Limb symmetry indices were used in combination with two other clearance criteria in studies with single-leg countermovement or drop jumps. Improvements in clearance criteria and adverse event reporting may help improve patient safety and interpretation of findings across studies."
3,41880414,2026,2026 Mar 23,Rev Paul Pediatr,"['Carneiro IMC', 'Castelo Branco PES', 'Franco AHS', 'Oliveira AP', 'Aguiar AMA']",Aguiar AMA,Effect of ondansetron on QTc interval prolongation in healthy pediatric patients: a systematic review and meta-analysis.,44,,e2025134,['English'],9109353,0103-0582,1984-0462,"['Journal Article', 'Systematic Review', 'Meta-Analysis']",PubMed - indexed for MEDLINE,,"['41880414', 'PMC13008241', 'pmc-id: PMC13008241;', '10.1590/1984-0462/2026/44/2025134', 'S0103-05822026000101401']",10.1590/1984-0462/2026/44/2025134,"['2025/05/29 00:00', '2025/12/14 00:00', '2026/03/25 19:37', '2026/03/25 19:36', '2026/03/25 13:53', '2026/03/23 00:00']",[],1,30,Revista paulista de pediatria : orgao oficial da Sociedade de Pediatria de Sao Paulo,doi: 10.1590/1984-0462/2026/44/2025134,2026;44:e2025134,"OBJECTIVE: The aim of this study was to describe electrocardiographic changes in healthy pediatric patients receiving low-dose ondansetron and to determine whether these changes are associated with the occurrence of cardiac dysrhythmias. DATA SOURCE: The search was conducted in PubMed, EMBASE, LILACS, SciELO, and the Cochrane databases, selecting articles published until September 2024. The primary outcome was the mean change in the corrected QT interval (QTc) interval. The mean variation of the Tp-e interval and the incidence of significant QTc prolongation were assessed as secondary outcomes. DATA SYNTHESIS: Four studies were included in this review, including 231 healthy pediatric patients who received ondansetron (IV or oral). Most were male, aged 0.6-18 years. The mean IV ondansetron dose ranged from 0.1 to 0.2 mg/kg, while the mean oral dose was 0.18 mg/kg, with a maximum dose of 8 mg. The mean change in the QTc interval was 4.7 ms (95% confidence interval [CI] 1.48.1), and in the Tp-e interval was 7.7 ms (95%CI 2.0-13.5). The risk of a significant QTc prolongation was 2.5% (95%CI -0.009-0.059). No dysrhythmia was observed in the studies. CONCLUSIONS: There was a statistically significant increase in QTc and Tp-e intervals following ondansetron administration in healthy pediatric patients. However, it is highly unlikely that these changes result in cardiac dysrhythmia, suggesting no relationship between low-dose ondansetron use and an increased risk of dysrhythmia in healthy pediatric patients."
4,41879151,2026 Feb,2026 Mar 25,Arthroscopy,"['Hopper HM', 'Harris M', 'Wyatt P', 'Cyrus J', 'Smith M', ""O'Neill CN"", 'Edge C', 'Goodloe JB', 'Vap AR', 'Amendola A']",Amendola A,"Quadriceps Tendon Autograft Produces Favorable Return to Sport, Strength, Range of Motion, Retear Rate, and Midterm Outcomes After Anterior Cruciate Ligament Reconstruction: A Systematic Review.",42,2,539-558,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Systematic Review', 'Review']",PubMed - indexed for MEDLINE,ppublish+epublish,"['41879151', '10.1002/arj.70092']",10.1002/arj.70092,"['2025/02/02 00:00', '2025/09/21 00:00', '2026/04/13 12:37', '2026/03/25 12:48', '2026/03/25 07:43']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1002/arj.70092,2026 Feb;42(2):539-558,"PURPOSE: To determine the outcomes of anterior cruciate ligament reconstruction (ACLR) with quadriceps tendon (QT) graft with a minimum of 5-year follow-up. METHODS: A systematic review was performed in adherence to Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. Cochrane, Embase, and Medline databases were searched for studies published through May 2025. Inclusion criteria were studies that included ACLR with QT autograft with a minimum of 5-year follow-up. Studies investigating anterior cruciate ligament repairs and studies that did not separate analyses by graft type were excluded. Non-English studies, systematic reviews, technical notes, letters to the editor, and surgical technique papers were also excluded. Risk of bias was assessed using Joanna Briggs Institute's Methodological Quality Assessment Tool. Outcomes of interest included strength, range of motion (ROM), hop tests, joint laxity, patient-reported outcomes, return to sport, and complications. RESULTS: Eight heterogeneous studies including 662 ACLRs utilizing QT graft with follow-ups ranging from 5 to 23 years were included in this review. Favorable outcomes reported in these studies included strength, ROM, hopping, joint laxity, patient-reported outcomes, return to sport, and complications. The complication rates ranged from 0% to 24% for graft failure, 3% to 35.3% for ipsilateral reoperations for reasons other than graft failure, 5.4% to 23.5% for contralateral ACLR, 0% to 11.5% for patients with donor graft site pain, 0% to 5% for anterior knee pain, and 0% to 1.5% for infection. CONCLUSIONS: Overall, this systematic review has shown that the QT graft produces good midterm outcomes and is a viable graft choice for patient strength, joint laxity, return to sport, ROM, and patient-reported outcomes. This study found higher rates of graft failure and ROM deficits but lower rates of anterior knee pain compared with studies examining outcomes of ACLR with QT graft with a minimum 2-year follow-up supporting the need for longer outcome studies to further define the longevity of the QT graft. LEVEL OF EVIDENCE: Level IV, systematic review of Level II to IV studies."
5,41857581,2026 Mar 19,2026 Mar 19,BMC Musculoskelet Disord,"['Xiao Y', 'Yang M', 'Li F', 'Zhao W', 'Fei X', 'Liu Q', 'Du H']",Du H,From general to precision rehabilitation: a systematic review of VMO-Targeted versus general quadriceps strengthening in patellofemoral dysplasia.,,,,['English'],100968565,,1471-2474,"['Journal Article', 'Systematic Review']",PubMed - as supplied by publisher,aheadofprint,"['41857581', '10.1186/s12891-026-09740-x', '10.1186/s12891-026-09740-x']",10.1186/s12891-026-09740-x,"['2026/01/13 00:00', '2026/03/16 00:00', '2026/03/20 07:10', '2026/03/20 07:10', '2026/03/20 00:36']",[],0,0,BMC musculoskeletal disorders,doi: 10.1186/s12891-026-09740-x,2026 Mar 19;,
6,41853453,2026 Feb,2026 Feb 13,Cureus,"['Ciari PM', 'Day J', 'Chen S', 'Bontekoe K', 'Merino E', 'Karron J']",Karron J,Graft-Site Morbidity in Anterior Cruciate Ligament (ACL) Reconstruction: A Scoping Review of Assessment Techniques and Outcomes.,18,2,e103565,['English'],101596737,2168-8184,2168-8184,"['Journal Article', 'Review']",PubMed,,"['41853453', 'PMC12991907', 'pmc-id: PMC12991907;', '10.7759/cureus.103565']",10.7759/cureus.103565,"['2026/02/07 00:00', '2026/03/19 07:11', '2026/03/19 07:10', '2026/03/19 05:03', '2026/02/13 00:00']",[],1,52,Cureus,doi: 10.7759/cureus.103565,2026 Feb;18(2):e103565,"Graft-site morbidity is a critical yet often overlooked aspect of anterior cruciate ligament reconstruction (ACLR). While autografts such as bone-patellar tendon-bone (BPTB) and quadriceps tendon (QT) have been shown to provide effective mechanical stability, the functional and quality-of-life outcomes associated with graft harvesting location warrant greater attention. This scoping review evaluates the existing methodologies for assessing graft-site morbidity, focusing on anterior knee pain, paresthesia, and muscle deficits. Articles were screened from January 1, 2000, to June 12, 2024, returning 609 unique references to graft-site morbidity. A systematic search identified 43 studies meeting inclusion criteria, revealing significant variability in assessment methods and reporting standards. This review underscores the need for a uniformly administered series of techniques to measure graft-site morbidity, enabling meaningful comparisons and improving patient-centric surgical decision-making. Future investigations should prioritize standardizing assessment tools to assess graft selection and optimize holistic patient outcomes."
7,41851593,2026 Mar 18,2026 Mar 18,Sports Med,"['Pecci J', 'van Dyk N', 'Myer GD', 'Sañudo B']",Sañudo B,Return-to-Play Criteria Following Lower Limb Muscle Injuries in Soccer: A Systematic Review with Evidence Synthesis.,,,,['English'],8412297,0112-1642,1179-2035,"['Journal Article', 'Systematic Review']",PubMed - as supplied by publisher,aheadofprint,"['41851593', '10.1007/s40279-026-02404-9', '10.1007/s40279-026-02404-9']",10.1007/s40279-026-02404-9,"['2026/01/29 00:00', '2026/03/19 07:10', '2026/03/19 07:10', '2026/03/19 00:33']",[],1,0,"Sports medicine (Auckland, N.Z.)",doi: 10.1007/s40279-026-02404-9,2026 Mar 18;,"OBJECTIVE: The objective was to systematically identify and categorize return-to-play (RTP) domains and criteria used following muscle injuries in male soccer players, and to describe the certainty of the evidence according to the number, design and methodological quality of the studies implementing RTP criteria within each domain. METHODS: In total, six databases were searched up to 10 March 2024. Studies reporting RTP criteria for hamstring, adductor, quadriceps, and calf injuries, as well as general criteria for all muscle injuries, were included. The certainty of evidence for RTP criteria was assessed on the basis of the studies citing each criterion. RESULTS: Out of 58,057 records, 135 studies met the inclusion criteria. Strength and pain criteria are the most cited tests for determining RTP clearance following hamstring injuries, particularly criteria related to between-limb knee flexors/extensors strength symmetry and no pain during soccer-specific actions. Range of motion criteria (active knee extension, passive and active straight leg raise, and Askling-H tests) and subjective readiness demonstrated the highest certainty of evidence in RTP decision making after hamstring injuries. RTP criteria following adductor injuries showed a moderate-to-very-low certainty of evidence across domains. Criteria for quadriceps and calf injuries ranged from low to very low evidence, while general lower limb muscle injury criteria had only very low evidence. Following adductor injuries, the highest evidence (moderate) was shown by pain assessments and completing at least one full team training session. CONCLUSIONS: Symmetry between limbs in knee flexor and extensor strength combined with no pain during soccer-specific actions were the most frequently implemented RTP criteria for hamstring injuries. In addition, range of motion evaluation (i.e., active knee extension, passive and active straight leg raise, and Askling-H tests) and subjective readiness assessments have been more consistently employed in higher-quality intervention studies than other domains following hamstring injuries in soccer players. Pain assessments, completing at least one full team training session and restoring strength levels are the most cited criteria for RTP following adductor injuries. The evidence base describing RTP criteria for quadriceps and calf injuries is limited and is not implemented in randomized controlled trials with high methodological quality, highlighting the need for further robust research in these domains. TRIAL REGISTRATION NUMBER: PROSPERO CRD42022363836."
8,41848139,2025 Sep 9,2025 Sep 9,Tunis Med,"['Larnaout A', 'Jebberi Z', 'Hamdi MS', 'Lansari R', 'Mourali MS', 'Melki W']",Melki W,Cardiac Phenotypes and Endophenotypes in Schizophrenia : A systematic Review.,103,9,1227-1237,['English'],0413766,0041-4131,2724-7031,"['Journal Article', 'Systematic Review']",PubMed - indexed for MEDLINE,epublish,"['41848139', '10.62438/tunismed.v103i9.6395', '/article/view/6395']",10.62438/tunismed.v103i9.6395,"['2025/08/28 00:00', '2025/10/05 00:00', '2026/03/18 12:54', '2026/03/18 12:53', '2026/03/18 07:49']",[],1,0,La Tunisie medicale,doi: 10.62438/tunismed.v103i9.6395,2025 Sep 9;103(9):1227-1237,"BACKGROUND: Schizophrenia is increasingly recognized as a multisystemic disorder. Cardiac anomalies, including autonomic, electrophysiological, and structural heart abnormalities, are frequently reported in patients with schizophrenia. However, the distinction between phenotypes and endophenotypes remains unclear. METHODS: In this review, we synthesized clinical, neurobiological, and genetic evidence to assess cardiac alterations in schizophrenia and evaluate their potential as endophenotypes. RESULTS: Autonomic dysfunction, especially reduced heart rate variability (HRV) and impaired parasympathetic regulation, emerged as the most consistent cardiac phenotype, and the only one that fulfills the criteria for an endophenotype. In contrast, electrophysiological anomalies such as QT/QTc prolongation, T-wave changes, and some structural heart anomalies show genetic associations with schizophrenia but lack sufficient heritability and longitudinal data to be classified as endophenotypes. CONCLUSION: Among all cardiac anomalies reported in schizophrenia, autonomic dysfunction, particularly HRV impairment, was the only one that fulfilled the endophenotype criteria. However, most of the reviewed studies were observational, which limits the robustness of our conclusions. Future heritability and multi-omic studies are needed to understand the complex pathogenomic interlink between mental and heart diseases."
9,41838428,2026 Jan,2026 Mar 11,Arthroscopy,"['Liu G', 'Kwabena BR', 'Jiang S', 'Liu X', 'Lu W', 'Yuan D', 'Xiao W', 'Li Y']",Li Y,"Medial Patellofemoral Complex Reconstruction, Isolated Medial Quadriceps-Tendon Femoral Ligament Reconstruction, and Isolated Medial Patellofemoral Ligament Reconstruction Have Similar Clinical and Biomechanical Outcomes: A Systematic Review.",42,1,329-345,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Systematic Review', 'Review']",PubMed - indexed for MEDLINE,ppublish+epublish,"['41838428', '10.1002/arj.70026']",10.1002/arj.70026,"['2025/01/04 00:00', '2025/07/24 00:00', '2026/03/17 21:09', '2026/03/16 21:57', '2026/03/16 12:53']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1002/arj.70026,2026 Jan;42(1):329-345,"PURPOSE: To determine the clinical and biomechanical outcomes after either an isolated medial quadriceps-tendon femoral ligament (MQTFL) reconstruction or a medial patellofemoral complex reconstruction, which is a combined MQTFL reconstruction and medial patellofemoral ligament (MPFL) reconstruction, to treat recurrent patellar dislocation and compare these outcomes with those after an isolated MPFL reconstruction. METHODS: We conducted a systematic literature search using PubMed, The Cochrane Library, Embase, and Web of Science to compare the effectiveness of double-bundle MPFL/MQTFL reconstruction or an isolated MQTFL reconstruction with an isolated MPFL reconstruction for patients with a history of patellar dislocation. The risk of bias in nonrandomized studies of interventions and the biomechanics objective basic science quality assessment tool score were used to assess the methodological quality of included clinical studies and cadaveric studies, respectively. RESULTS: A total of 444 articles were screened, yielding 13 studies for inclusion, comprising 7 clinical and 6 cadaveric studies. Given the low evidence levels of the included studies, a meta-analysis was not performed. The clinical studies enrolled 300 patients, demonstrating significant improvements in patient-reported outcomes following double-bundle MPFL/MQTFL reconstruction or MQTFL reconstruction. The rate of return to sports following double-bundle MPFL/MQTFL reconstruction or isolated MQTFL reconstruction ranged from 50% to 96.9%, with a complication rate ranging from 3.3% to 28%. Six cadaveric studies, involving 51 knee specimens, indicated no significant statistical differences in lateral patellar translation, patellar tilt, patellofemoral contact area, and patellofemoral contact pressure among 3 procedures at different knee flexion angles. CONCLUSIONS: This study combined clinical outcomes and biomechanical findings, demonstrating significant functional improvement after both MQTFL reconstruction and double-bundle MPFL/MQTFL reconstruction, with comparable clinical and biomechanical results to MPFL reconstruction. CLINICAL RELEVANCE: MQTFL reconstruction or double-bundle MPFL/MQTFL reconstruction may serve as alternatives to MPFL reconstruction for treating patellar dislocation."
