,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,abstract,year
0,41235442,2026 Feb,2025 Nov 14,Knee Surg Sports Traumatol Arthrosc,"['Hasan M', 'Berkovich Y', 'Khatib M', 'Yonai Y', 'Ben Zvi L', 'Alhija AA', 'Shpigelman A', 'Ginesin E']",Ginesin E,Graft selection in ACL reconstruction: Clinical and functional outcomes based on level I-II evidence.,34,2,543-552,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Systematic Review']",PubMed - indexed for MEDLINE,ppublish+epublish,"['41235442', '10.1002/ksa.70167']",10.1002/ksa.70167,"['2025/10/09 00:00', '2025/07/25 00:00', '2025/10/12 00:00', '2026/01/28 19:20', '2025/11/14 06:28', '2025/11/14 05:13']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1002/ksa.70167,2026 Feb;34(2):543-552,"PURPOSE: This systematic review aimed to evaluate the clinical and functional outcomes of anterior cruciate ligament reconstruction (ACLR) using various graft types, based exclusively on studies with Level I-II evidence published in Q1-Q2 journals. The goal was to synthesise high-confidence data that can guide graft selection in orthopedic practice. METHODS: A comprehensive literature search of PubMed and Embase was conducted in accordance with PRISMA guidelines. Inclusion criteria were: (1) Level I-II study design, (2) publication in Q1-Q2 journals, (3) comparison of graft types (e.g., BPTB, HT, QT and allografts), and (4) reporting of outcomes including graft failure (GF), return to sport (RTS), anterior knee laxity, and patient-reported outcome measures (PROMs). Eighteen studies met all inclusion criteria. RESULTS: BPTB autografts demonstrated the lowest failure rates (2%-6%) and highest RTS (~81%) but were associated with higher anterior knee pain. Hamstring autografts showed higher failure rates (11%-17%) and lower RTS (~52%) but favourable PROMs. QT autografts had low failure rates (2%-3%), good stability, and reduced donor-site morbidity, with RTS ~ 64% based on limited data. Allograft results were variable: BPTB allografts demonstrated good function in selected populations, while hamstring and tibialis posterior allografts showed higher failure rates (6.2%-13.8%), particularly in younger patients. CONCLUSIONS: BPTB and QT autografts appear to offer the best combination of Failure rate and functional outcomes for high-demand patients. Hamstring autografts remain a practical option but may be less suitable for younger athletes. Allografts-particularly tibialis posterior-should be used cautiously due to elevated failure risk. LEVEL OF EVIDENCE: N/A.",2026
1,40808857,2025 Jul-Aug,2025 Aug 12,Video J Sports Med,"['Bohn C', 'Hand C', 'Chang J', 'Khazi-Syed D', 'Gornbein C', 'Moran T', 'Forsythe B']",Forsythe B,Re-Revision ACL Reconstruction: A Double-Bundle Technique Video.,5,4,26350254251335672,['English'],9918367588406676,,2635-0254,['Journal Article'],PubMed,,"['40808857', 'PMC12344238', 'pmc-id: PMC12344238;', '10.1177/26350254251335672', '10.1177_26350254251335672']",10.1177/26350254251335672,"['2024/10/21 00:00', '2025/02/19 00:00', '2025/08/14 06:29', '2025/08/14 06:28', '2025/08/14 05:16', '2025/08/12 00:00']",[],1,11,Video journal of sports medicine,doi: 10.1177/26350254251335672,2025 Jul-Aug;5(4):26350254251335672,"BACKGROUND: Anterior cruciate ligament (ACL) tears are a prevalent knee injury, often requiring surgery. While single-bundle reconstruction is the most employed technique for revision procedures, the native ACL consists of 2 anatomic bundles, and the double-bundle reconstruction technique aims to more accurately replicate this native anatomy. This video demonstrates a reproducible method for performing ACL reconstruction (ACLR) utilizing the double-bundle technique. INDICATIONS: Relative indications for revision double-bundle ACLR include revision or re-revision ACLR, previous lateral extra-articular tenodesis (LET), 2 to 3+ pivot shift, normal posterior tibia slope, and large lateral femoral condyles. TECHNIQUE DESCRIPTION: Arthroscopic delineation of the ACL footprint is performed. With a curved, flexible reamer, the anteromedial socket is drilled. The posterolateral socket is reamed secondarily, providing a 2-mm bone bridge separating the 2 femoral tunnels. Two tibial tunnels are drilled under direct arthroscopic visualization. On the back table, a tibialis anterior allograft and bone-patellar tendon-bone allograft are prepared. The posterior bundle graft is initially passed. A cortical button is passed across the femoral cortex, and its position is confirmed. The anteromedial bundle graft is passed secondarily. Femoral fixation is established with a polyether ether ketone (PEEK) interference screw, and both grafts are fixed on the tibial side with a PEEK anchor. Standard closure follows, and the patient is placed in a hinged knee brace locked in extension. RESULTS: A clinical trial including 81 patients with a mean 10.7-year follow-up indicated an 85% survival rate from needing a second revision ACLR when using an allograft. A meta-analysis by Seppanen et al indicated that the double-bundle technique was superior to the single-bundle technique in International Knee Documentation Committee subjective evaluations (P < .05). Another meta-analysis by Dong et al found no statistical difference in clinical outcomes between the single-bundle versus the double-bundle ACLR techniques. DISCUSSION/CONCLUSION: Double-bundle ACLR offers significant anatomic and biomechanical benefits. In the context of re-revision ACLR, the double-bundle method provides additional collagen graft material and enhanced stability, especially in cases where concurrent LET has been performed and the posterior tibial slope remains normal. PATIENT CONSENT DISCLOSURE STATEMENT: The author(s) attests that consent has been obtained from any patient(s) appearing in this publication. If the individual may be identifiable, the author(s) has included a statement of release or other written form of approval from the patient(s) with this submission for publication.",2025
2,40297074,2025 Apr,2024 Nov 5,Arthrosc Sports Med Rehabil,"['Dave U', 'Villarreal-Espinosa JB', 'Shah H', 'Cotter EJ', 'Gómez-Verdejo F', 'Carpenter M', 'Gerhold C', 'Mamonov A', 'Chahla J', 'Verma NN']",Verma NN,"Patients Have Similar Clinical Outcomes and Failure Rates After Anterior Cruciate Ligament Reconstruction With Tibialis Anterior Tendon, Bone-Patellar Tendon-Bone, Hamstring Tendon, or Achilles Tendon Allografts: A Systematic Review.",7,2,101035,['English'],101765256,,2666-061X,"['Journal Article', 'Review']",PubMed,,"['40297074', 'PMC12034080', 'pmc-id: PMC12034080;', '10.1016/j.asmr.2024.101035', 'S2666-061X(24)00178-0']",10.1016/j.asmr.2024.101035,"['2024/07/09 00:00', '2024/10/17 00:00', '2025/04/29 11:13', '2025/04/29 11:12', '2025/04/29 04:56', '2024/11/05 00:00']",[],1,38,"Arthroscopy, sports medicine, and rehabilitation",doi: 10.1016/j.asmr.2024.101035,2025 Apr;7(2):101035,"PURPOSE: To compare postoperative outcomes and functionality in patients who undergo primary allograft anterior cruciate ligament reconstruction (ACLR) with tibialis anterior (TA) tendon, bone-patellar tendon-bone (BPTB), hamstring tendon (HT), and Achilles tendon allografts. METHODS: In April 2024, a comprehensive search of the PubMed, Embase, and Cochrane Library databases was performed in accordance with Preferred Reporting Items for Systematic Reviews and Meta-analyses guidelines. Studies were included if they evaluated primary ACLR using allograft, were prospective randomized controlled trials or retrospective studies, compared outcomes in patients undergoing primary ACLR with different allograft types, and were published between 2000 and 2024. Data collection included patient demographic characteristics, graft type, activity level, drilling technique, concomitant and augmentation procedures, patient-reported outcome measures, complications, and graft rerupture rates. Pooling of data was avoided, and qualitative data comparison was conducted. RESULTS: The initial search identified 957 studies, 7 of which were included in this systematic review. Of these, 5 were randomized controlled trials and 2 were retrospective studies. A total of 735 patients were included, with 167 HT patients, 252 BPTB patients, 162 TA patients, and 153 Achilles patients. The mean ages within the cohorts ranged from 23.9 to 37.2 years. The mean follow-up times across studies ranged from 25.6 to 90.0 months. Demographic characteristics were similar among the graft cohorts, and each study had a low risk of bias. Failure rates ranged from 2% to 65% across studies. Similar International Knee Documentation Committee, Lysholm, and Tegner scores were reported among the graft types. Additionally, similar functional outcomes as measured by side-by-side differences in arthrometer readings and similar complication rates after primary ACLR with HT, BPTB, TA, and Achilles allografts were found. CONCLUSIONS: Primary ACLR with allografts in patients older than 23 years is safe and effective with few differences in patient-reported outcomes, postoperative function, and graft failure rates among graft options. LEVEL OF EVIDENCE: Level IV, systematic review of Level I to IV studies.",2025
3,39725046,2025 Aug,2024 Dec 24,Arthroscopy,"['Yang HY', 'Jeong WJ', 'Cheon JH', 'Seon JK']",Seon JK,"Combined Anterior Cruciate Ligament and Anterolateral Ligament Reconstruction Shows Superior Graft Remodeling, Maturation, and Stability Compared With Isolated Anterior Cruciate Ligament Reconstruction.",41,8,2958-2970,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Comparative Study']",PubMed - indexed for MEDLINE,ppublish+epublish,"['39725046', '10.1016/j.arthro.2024.12.022', 'S0749-8063(24)01086-7']",10.1016/j.arthro.2024.12.022,"['2024/07/31 00:00', '2024/12/09 00:00', '2024/12/10 00:00', '2025/08/03 03:46', '2024/12/27 00:20', '2024/12/26 19:15']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2024.12.022,2025 Aug;41(8):2958-2970,"PURPOSE: To compare graft remodeling, as measured by magnetic resonance imaging (MRI), and clinical outcomes between patients who underwent isolated anterior cruciate ligament reconstruction (ACLR) versus combined anterior cruciate ligament and anterolateral ligament reconstruction (ACLR + ALLR). METHODS: A retrospective review was conducted on patients who underwent primary ACLR with quadruple hamstring grafts between January 2019 and March 2022, with a minimum follow-up period of 2 years. Patients were categorized into 2 groups on the basis of the addition of ALLR with tibialis anterior allografts: an isolated ACLR group and an ACLR + ALLR group. Graft ligamentization was assessed using signal-to-noise quotient (SNQ) values obtained from postoperative magnetic resonance imaging scans, with lower SNQ values indicating superior graft remodeling. Clinical outcomes were evaluated through knee stability tests (pivot-shift test, side-to-side laxity), functional outcomes, and graft retear rates. The minimal clinically important difference for the clinical scores was calculated using the distribution-based method of a half standard deviation of the delta (difference between postoperative and baseline values). Regression analyses identified potential predictive factors for inferior ACL graft remodeling. RESULTS: A total of 122 patients in the isolated ACLR group and 54 in the ACLR + ALLR group were evaluated. The mean follow-up periods were similar between the groups (34.1 +/- 7.4 months vs 36.4 +/- 9.0 months; P = .755). The mean SNQ values were significantly lower in the ACLR + ALLR group compared with the isolated ACLR group (2.8 +/- 1.6 vs 4.7 +/- 3.5 mm, respectively; P = .001). Inferior ACL graft maturity was associated with an increased posterior tibial slope (P = .016), narrow notch width (P =.018), and concomitant medial meniscal lesion (P = .017). At the final evaluation, the ACLR + ALLR group demonstrated better rotational stability as indicated by the residual pivot-shift test (P = .005). No statistically significant differences were observed between the 2 groups in side-to-side laxity, functional outcomes, or graft retear rates. There were no differences in the percentage of patients achieving minimal clinically important difference for the International Knee Documentation Committee subjective score between the groups (P = .536). CONCLUSIONS: Combined ACLR and ALLR resulted in superior graft remodeling, demonstrated by a mean SNQ value that was 1.9 lower than in isolated ACLR, along with improved rotational stability. LEVEL OF EVIDENCE: Level III, retrospective, nonrandomized, comparative therapeutic study.",2025
4,38551115,2024 Dec,2024 Mar 29,Am J Sports Med,"['Allende F', 'Allahabadi S', 'Sachdev D', 'Gopinatth V', 'Saad Berreta R', 'LaPrade RF', 'Chahla J']",Chahla J,Comparing Clinical Outcomes and Knee Stability in Remnant-Preserving ACL Reconstruction Versus Standard ACL Reconstruction: A Systematic Review and Meta-analysis.,52,14,3651-3661,['English'],7609541,0363-5465,1552-3365,"['Systematic Review', 'Journal Article', 'Meta-Analysis', 'Comparative Study']",PubMed - indexed for MEDLINE,ppublish+epublish,"['38551115', '10.1177/03635465231225984']",10.1177/03635465231225984,"['2024/12/01 15:24', '2024/03/29 06:46', '2024/03/29 05:52']",[],1,0,The American journal of sports medicine,doi: 10.1177/03635465231225984,2024 Dec;52(14):3651-3661,"BACKGROUND: Anterior cruciate ligament reconstruction (ACLR) is one of the most frequently performed procedures in sports medicine, and undesirable outcomes still may range from 3-18%. One technique that has been explored to improve outcomes is preservation of the ACL remnant tibial stump, as opposed to stump debridement, at the time of reconstruction. PURPOSE: To review current high-level evidence and compare remnant-preserving anterior cruciate ligament reconstruction (ACLR) versus standard ACLR in terms of clinical outcomes and measures of knee stability. HYPOTHESIS: ACLR with remnant preservation would result in improved clinical outcomes and knee stability measures. STUDY DESIGN: Systematic review; Level of evidence, 2. METHODS: A systematic review of randomized controlled trials (RCTs) and cohort studies comparing remnant-preserving ACLR with standard ACLR with a minimum level of evidence of 2 was performed. Extracted data were summarized as general information, surgical characteristics, postoperative clinical outcomes, knee stability, graft evaluation, tunnel assessment, and postoperative complications. When feasible, a meta-analysis was performed. RESULTS: Seven RCTs and 5 cohort studies met the inclusion criteria. In total, 518 patients underwent remnant-preserving ACLR and 604 patients underwent standard ACLR. Ten studies performed the reconstruction with hamstring tendon (HT) autografts, 1 study with HT and bone-patellar tendon-bone autografts, and 1 study with HT and tibialis anterior allografts. On meta-analysis, remnant-preserving ACLR provided comparable outcomes with respect to International Knee Documentation Committee grades or Tegner scores. Even though there was a significant improvement in Lysholm scores (mean difference, -1.9; 95% CI, -2.89 to -0.91; P = .0002) with the remnant-preserving technique, this did not exceed previously reported minimal clinically important difference values. Remnant-preserving ACLR demonstrated superior knee stability in terms of patients achieving negative pivot shift when compared with the control group (88.89% vs 79.92%; P = .006). Although there was a significant improvement in the side-to-side difference in anterior tibial translation favoring remnant preservation (P = .004), the mean difference was 0.51 mm. CONCLUSION: Remnant-preserving ACLR, primarily with HT autografts, results in comparable clinical outcome scores and significantly improved knee stability relative to standard ACLR without remnant preservation without increasing the complication rate. Further studies will help clarify if remnant-preserving ACLR also has benefits in terms of enhancing graft integration and maturation, improving proprioception, limiting tunnel enlargement, and reducing complications.",2024
5,35428007,2022 May,2022 Apr 1,Clin Biomech (Bristol),"['Malige A', 'Baghdadi S', 'Hast MW', 'Schmidt EC', 'Shea KG', 'Ganley TJ']",Ganley TJ,Biomechanical properties of common graft choices for anterior cruciate ligament reconstruction: A systematic review.,95,,105636,['English'],8611877,0268-0033,1879-1271,"['Journal Article', 'Systematic Review']",PubMed - indexed for MEDLINE,ppublish+epublish,"['35428007', '10.1016/j.clinbiomech.2022.105636', 'S0268-0033(22)00066-3']",10.1016/j.clinbiomech.2022.105636,"['2021/10/02 00:00', '2022/03/21 00:00', '2022/03/25 00:00', '2022/04/16 06:00', '2022/05/27 06:00', '2022/04/15 20:17']",[],1,0,"Clinical biomechanics (Bristol, Avon)",doi: 10.1016/j.clinbiomech.2022.105636,2022 May;95:105636,"BACKGROUND: This systematic review explores the differences in the intrinsic biomechanical properties of different graft sources used in anterior cruciate ligament (ACL) reconstruction as tested in a laboratory setting. METHODS: Following Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, two authors conducted a systematic review exploring the biomechanical properties of ACL graft sources (querying PubMed, Cochrane, and Embase databases). Using the keywords ""anterior cruciate ligament graft,"" ""biomechanics,"" and ""biomechanical testing,"" relevant articles of any level of evidence were identified as eligible and included if they reported on the biomechanical properties of skeletally immature or mature ACL grafts solely and if the grafts were studied in vitro, in isolation, and under similar testing conditions. Studies were excluded if performed on both skeletally immature and mature or non-human grafts, or if the grafts were tested after fixation in a cadaveric knee. For each graft, failure load, stiffness, Young's modulus, maximum stress, and maximum strain were recorded. FINDINGS: Twenty-six articles were included. Most studies reported equal or increased biomechanical failure load and stiffness of their tested bone-patellar tendon-bone, hamstring, quadriceps, peroneus longus, tibialis anterior and posterior, Achilles, tensor fascia lata, and iliotibial band grafts compared to the native ACL. All recorded biomechanical properties had similar values between graft types. INTERPRETATION: Most grafts used for ACL reconstruction are biomechanically superior to the native ACL. Utilizing a proper graft, combined with a standard surgical technique and a rigorous rehabilitation before and after surgery, will improve outcomes of ACL reconstruction.",2022
6,33135006,2020 Oct,2020 Sep 25,Arthrosc Sports Med Rehabil,"['Mo Z', 'Li D', 'Yang B', 'Tang S']",Tang S,Comparative Efficacy of Graft Options in Anterior Cruciate Ligament Reconstruction: A Systematic Review and Network Meta-Analysis.,2,5,e645-e654,['English'],101765256,,2666-061X,"['Journal Article', 'Review']",PubMed,,"['33135006', 'PMC7588648', 'pmc-id: PMC7588648;', '10.1016/j.asmr.2020.05.007', 'S2666-061X(20)30049-3']",10.1016/j.asmr.2020.05.007,"['2019/08/23 00:00', '2020/05/13 00:00', '2020/11/02 06:23', '2020/11/03 06:00', '2020/11/03 06:01', '2020/09/25 00:00']",[],1,77,"Arthroscopy, sports medicine, and rehabilitation",doi: 10.1016/j.asmr.2020.05.007,2020 Oct;2(5):e645-e654,"PURPOSE: To evaluate the effectiveness of various graft options for anterior cruciate ligament reconstruction using network meta-analysis. METHODS: A medical literature search was conducted of PubMed, the Cochrane Library, Embase, SCOPUS, and Web of Science from their inception through March 1, 2019. The outcomes, including International Knee Documentation Committee (IKDC) form, Lachman test, Lysholm score, Pivot shift test, and Tegner score, were evaluated among graft options. Data extraction was carried out according to inclusion and exclusion criteria, and a network meta-analysis was performed using STATA 14.0. RESULTS: A total of 45 trials with 3992 patients were included. The forest plots revealed no significant differences in IKDC, Lysholm, or Tegner score among the grafts. In Lachman score, a significant difference was found in the comparisons of hamstring tendon allograft (HT-AL) versus patellar tendon autograft (PT-AU) and HT-AL versus hamstring tendon autograft (HT-AU). In pivot shift test, PT-AU was superior to all the other grafts, and quadriceps tendon autograft (QT-AU) was superior to HT-AL and artificial ligament (Art-L) in the number of cases with negative results. According to surface under the cumulative ranking area (SUCRA), PT-AU had the highest probability to be the best intervention in Lachman test and Tegner score; tibialis anterior tendon allograft (TA-AL) in IKDC and Lysholm score; and QT-AU in pivot shift test. Based on the cluster analysis of SUCRA, PT-AU was considered the most appropriate intervention by IKDC and Lachman test. CONCLUSION: This study suggests that PT-AU may be the most appropriate graft for ACL reconstruction according to IKDC and Lachman test results. LEVEL OF EVIDENCE: Level I, network meta-analysis of randomized controlled trials.",2020
7,31853457,2019 Dec,2019 Dec 11,Orthop J Sports Med,"['Tejpal T', 'Gupta A', 'Shanmugaraj A', 'Horner NS', 'Simunovic N', 'Peterson DC', 'Ayeni OR']",Ayeni OR,Anteromedial Portal Double-Bundle Anterior Cruciate Ligament Reconstruction Yields Similar Outcomes to Non-AMP Femoral Drilling Double-Bundle Techniques: A Systematic Review of Comparative Studies.,7,12,2325967119888140,['English'],101620522,2325-9671,2325-9671,"['Journal Article', 'Review']",PubMed,,"['31853457', 'PMC6906356', 'pmc-id: PMC6906356;', '10.1177/2325967119888140', '10.1177_2325967119888140']",10.1177/2325967119888140,"['2019/12/20 06:00', '2019/12/20 06:00', '2019/12/20 06:01', '2019/12/11 00:00']",[],1,36,Orthopaedic journal of sports medicine,doi: 10.1177/2325967119888140,2019 Dec;7(12):2325967119888140,"BACKGROUND: Biomechanical studies have shown double-bundle (DB) anterior cruciate ligament reconstruction (ACLR) to have increased anterior and rotational stability as compared with single-bundle ACLR. Various techniques exist to drill the femoral tunnel, such as anteromedial portal (AMP), outside-in (OI), and transtibial (TT) drilling. However, it is unclear whether one drilling technique is superior to others when a DB graft is used. PURPOSE: To systematically assess the outcomes and complications in patients undergoing DB ACLR through an AMP technique as compared with other femoral drilling techniques. STUDY DESIGN: Systematic review; Level of evidence, 3. METHODS: PubMed, Medline, and EMBASE databases were searched in April 2018. Nonrandomized studies were assessed with the MINORS (Methodological Index for Nonrandomized Studies), whereas randomized studies were assessed with the GRADE (Grading of Recommendations Assessment, Development and Evaluation) system. RESULTS: Ten studies comprising 722 patients satisfied the inclusion criteria. A total of 351 patients underwent DB ACLR with AMP drilling (mean +/- SD age, 32.7 +/- 4.7 years); 318 patients had DB ACLR with OI drilling (age, 31.9 +/- 4.1 years); and 53 received a DB ACLR with TT drilling (age, 26.5 +/- 2.0 years). Graft types used included hamstring autograft (74.1%; n = 247), tibialis anterior autograft (6.0%; n = 20) and unspecified grafts (19.8%; n = 66). No significant difference in postoperative Tegner and Lysholm scores was found between the AMP and OI groups postoperatively. The AMP group had a lower anterior and posterior graft bending angle as compared with the OI group. Four patients (1.1%) in the AMP group had graft reruptures, as compared with 9 reruptures (2.8%) in the OI group. There were no reports of rerupture in the TT group. CONCLUSION: DB AMP ACLR results in significantly improved functional outcome scores postoperatively. AMP techniques yield similar functional outcomes to OI ACLR. No direct comparison in functional outcomes scores were available between the AMP and TT techniques. Low overall complication and revision rates were observed for patients undergoing DB AMP ACLR and were found to be similar to those of other femoral drilling techniques. Owing to a steeper graft bending angle in patients undergoing OI or TT ACLR relative to AMP ACLR, patients treated with OI or TT femoral drilling may have increased strain placed on the graft. Based on the various limitations in the available literature, it is not currently possible to make a definite conclusion of whether AMP is superior to non-AMP techniques in the setting of DB ACLR.",2019
8,29991077,2019 Jul,2018 Jul 10,J Knee Surg,"['Shanmugaraj A', 'de Sa D', 'Skelly MM', 'Duong A', 'Simunovic N', 'Musahl V', 'Peterson DC', 'Ayeni OR']",Ayeni OR,"Primary Allograft ACL Reconstruction in Skeletally Immature Patients-A Systematic Review of Surgical Techniques, Outcomes, and Complications.",32,7,673-685,['English'],101137599,1538-8506,1938-2480,"['Journal Article', 'Systematic Review']",PubMed - indexed for MEDLINE,ppublish+epublish,"['29991077', '10.1055/s-0038-1666833']",10.1055/s-0038-1666833,"['2018/07/11 06:00', '2019/10/29 06:00', '2018/07/11 06:00']",[],1,0,The journal of knee surgery,doi: 10.1055/s-0038-1666833,2019 Jul;32(7):673-685,"The purpose of this systematic review is to ascertain the risk profile of allografts in primary anterior cruciate ligament reconstruction (ACLR) of skeletally immature patients. Three databases (PubMed, EMBASE, and MEDLINE) were searched for articles addressing primary ACLR in skeletally immature patients (i.e., open femoral and tibial physes). Inclusion criteria encompassed the use of allograft tissue with available postoperative outcomes data. The methodological index for non-randomized studies (MINORS) was used to assess all studies. Descriptive statistics such as means, 95% confidence intervals and standard deviations are presented where applicable. A total of 3,852 studies were screened, with 9 studies of a total of 406 skeletally immature patients (mean age 14.9 +/- 1.2 years) satisfying inclusion criteria. The majority (98%) of included patients underwent complete transphyseal ACLR. Where specified, allograft options included Achilles tendon (AT) (66.5%), tibialis anterior tendon (7.6%), bone-patellar tendon (2.5%), and fascia lata (1.0%). The use of a bone block for the AT was reported in one patient (0.2%). Postoperatively, and where specified, patients achieved full range of motion (12.1%), had good Lysholm scores of 94 to 100 (8.1%), and a return to preinjury level athletic participation of 82.9% (8.4%). Complications (13.3%) included graft failures (7.9%), nonrevision reoperation (4.7%), and a combined leg length discrepancy and angular (valgus and extension) deformity (0.2%). There were no reported incidences of disease transmission. Although failure rates of primary allograft ACL reconstruction are acceptable compared with other studies of mainly autograft use in this young, high-risk population, there was a very low rate of clinically significant physeal damage. However, the relatively low quality of the included studies limits the ability to recommend routine use of allograft for ACLR in the skeletally immature patient. More robust studies with long-term follow-up data are necessary to better ascertain the influence of allograft choice on postoperative outcomes for these young patients. This is a Level IV study, systematic review of Levels III and IV studies.",2019
9,28636429,2018 Jun,2017 Jun 21,Am J Sports Med,"['Belk JW', 'Kraeutler MJ', 'Purcell JM', 'McCarty EC']",McCarty EC,Autograft Versus Allograft for Posterior Cruciate Ligament Reconstruction: An Updated Systematic Review and Meta-analysis.,46,7,1752-1757,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Meta-Analysis', 'Systematic Review']",PubMed - indexed for MEDLINE,ppublish+epublish,"['28636429', '10.1177/0363546517713164']",10.1177/0363546517713164,"['2017/06/22 06:00', '2019/09/24 06:00', '2017/06/22 06:00']",[],1,0,The American journal of sports medicine,doi: 10.1177/0363546517713164,2018 Jun;46(7):1752-1757,"BACKGROUND: Multiple studies have demonstrated a higher risk of graft failure after anterior cruciate ligament reconstruction with allograft, but limited data are available comparing outcomes of posterior cruciate ligament reconstruction (PCLR) with autograft versus allograft. PURPOSE: To compare the clinical outcomes of autograft versus allograft for primary PCLR. STUDY DESIGN: Systematic review. METHODS: A systematic review was performed by searching PubMed, the Cochrane Library, and EMBASE to locate studies (level of evidence I-III) comparing clinical outcomes of autograft versus allograft in patients undergoing primary PCLR with the conventional transtibial technique. Search terms used were ""posterior cruciate ligament,"" ""autograft,"" and ""allograft."" Patients were evaluated based on graft failure rate, examination of knee laxity, and patient-reported outcome scores (Lysholm, Tegner, subjective International Knee Documentation Committee [IKDC], and objective IKDC scores). RESULTS: Five studies (2 level II, 3 level III) were identified that met inclusion criteria, including a total of 132 patients undergoing PCLR with autograft (semitendinosus-gracilis or bone-patellar tendon-bone) and 110 patients with allograft (tibialis anterior, Achilles tendon, or bone-patellar tendon-bone). No patients experienced graft failure. Average anteroposterior (AP) knee laxity was significantly higher in allograft patients (3.8 mm) compared with autograft patients (3.1 mm) ( P < .01). Subjective IKDC, Lysholm, and Tegner scores improved for both groups across studies, without a significant difference in improvement between groups except in one study, in which Lysholm scores improved to a significantly greater extent in the autograft group ( P < .01). CONCLUSION: Patients undergoing primary PCLR with either autograft or allograft can be expected to experience improvement in clinical outcomes. Autograft patients experienced less AP knee laxity postoperatively, although the clinical significance of this is unclear and subjective outcomes improved substantially and to a similar degree in both groups.",2018
