,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,abstract,year
0,41984813,2026,2026 Apr 15,PLOS Glob Public Health,"['Chung AM', 'Alani O', 'Barry M']",Barry M,Male allyship to advance women's leadership in global health academia: A qualitative study.,6,4,e0005258,['English'],9918283779606676,,2767-3375,['Journal Article'],PubMed,,"['41984813', '10.1371/journal.pgph.0005258', 'PGPH-D-25-02685']",10.1371/journal.pgph.0005258,"['2025/09/16 00:00', '2026/03/10 00:00', '2026/04/15 18:32', '2026/04/15 18:31', '2026/04/15 13:35']",[],1,0,PLOS global public health,doi: 10.1371/journal.pgph.0005258,2026;6(4):e0005258,"Women are underrepresented in leadership positions within global health. Although women leaders have been shown to foster inclusive work environments and prioritize improvements in women's health, they face barriers to their advancement, including microaggressions and disproportionate caregiving responsibilities. Male allyship can facilitate the elevation of women into global health leadership roles. This study explores the experiences of global health leaders in academia of male allyship and identifies actions and best practices to support the growth of women's leadership in global health. Qualitative semi-structured interviews were conducted with twenty-one global health leaders (11 females, 10 males) from U.S. and Canadian academic institutions. Interviews were recorded, transcribed, and coded using a combined inductive-deductive approach. Participants identified barriers and outlined potential approaches to support women's advancement to leadership roles. For the individual male ally, recommendations included completing a self-assessment (to mitigate counterproductive behaviors and biases), engaging in effective mentorship practices, advocating publicly, and serving as a positive role model. Recommendations at the institutional level emphasize the importance of cultivating an enabling environment that facilitates open dialogue, establishing goals and metrics; and implementing allyship training with periodic evaluation. At the societal level, participants suggested promoting early education and shared caregiving to shift cultural norms on gender roles. This paper provides a framework of actions and resources to cultivate and support male allyship for women's leadership advancement in global health. Effective male allyship begins with acknowledging power dynamics and an understanding of how intersectionality, beyond gender alone, shapes women's careers and workplace dynamics. Additionally, mentorship and collaborative peer support are critical to promoting women's career development. Individual allyship when combined with institutional and societal actions and policies, can facilitate the advancement of women in global health leadership roles.",2026
1,41945099,2026 Apr 7,2026 Apr 7,J Homosex,['Hyma R'],Hyma R,Queering Participation: Reimagining the Researcher-Researched Nexus.,,,1-25,['English'],7502386,0091-8369,1540-3602,['Journal Article'],PubMed - as supplied by publisher,aheadofprint,"['41945099', '10.1080/00918369.2026.2653624']",10.1080/00918369.2026.2653624,"['2026/04/07 12:33', '2026/04/07 12:33', '2026/04/07 11:13']",[],1,0,Journal of homosexuality,doi: 10.1080/00918369.2026.2653624,2026 Apr 7;:1-25,"This article advances the concept of queering participation within participatory research, emphasizing research led directly by those whom it concerns and who are most affected by the topic of focus. Reflecting on a case study from Cambodia, it examines inquiry conducted by queer community members through Facilitative Listening Design (FLD). This method transformed local community participants into the researchers, enabling them to engage deeply with respondents in their own community and produce and ultimately frame insider knowledge on issues of gender identity and same-sex relationships themselves. The findings challenge the traditional researcher-researched nexus, underscoring how positionality and shared lived experience foster unique insights often overlooked in conventional paradigms. The article argues for reimagining participation in participatory research through a queer theory lens, advocating for the leadership of marginalized communities (in contrast to passive, peripheral, or performative participation) in knowledge production. By reconfiguring binary roles within the nexus and disrupting power hierarchies embedded in research cultures and design, it contributes to broader debates on inclusive and reflexive participation in participatory research approaches.",2026
2,41929316,2026 Mar 25,2026 Mar 25,medRxiv,"['Gorijavolu R', 'Armengol de la Hoz MÁ', 'Bielick C', 'Cajas S', 'Charpignon ML', 'El Mir A', 'Gichoya JW', 'Kwak HG', 'Madapati K', 'Mattie H', 'McCullum L', 'Mwavu R', 'Nair V', 'Nakayama LF', 'Nanyonjo J', 'Nazer L', 'Patel MS', 'Sauer CM', 'Celi LA']",Celi LA,"The Power of Open Health Data: Impact, Representation, and Knowledge Diffusion.",,,,['English'],101767986,,,"['Journal Article', 'Preprint']",PubMed,epublish,"['41929316', 'PMC13042117', 'pmc-id: PMC13042117;', '10.64898/2026.03.20.26348933', '2026.03.20.26348933']",10.64898/2026.03.20.26348933,"['2026/04/03 06:30', '2026/04/03 06:31', '2026/04/03 04:58', '2026/04/01 00:00']",[],1,28,medRxiv : the preprint server for health sciences,pii: 2026.03.20.26348933. doi: 10.64898/2026.03.20.26348933,2026 Mar 25;,"BACKGROUND: Open health data repositories receive billions in public funding, yet no systematic framework exists to evaluate their downstream scholarly impact, the composition of the research communities they cultivate, or the breadth of disciplines they reach. We introduce a two-degree citation methodology to quantify knowledge diffusion from open data, normalized by funding, and apply it to four major health data repositories. METHODS: Using the OpenAlex bibliometric database (January-February 2026), we identified all first-degree citing publications (n = 30,049) and their second-degree citing publications (n = 485,396), defined as papers citing those first-degree publications, for MIMIC (versions I-IV; retrospective EHR data; $14.4M), UK Biobank (prospective cohort with genomics; $525.5M), OpenSAFELY (federated EHR platform; $53.7M), and All of Us (prospective national cohort with biobanking and community engagement; $2,160M). We extracted author demographics (gender via Genderize.io, institutional country income via World Bank 2024 classifications) and research topics. Chi-square tests with odds ratios assessed demographic differences across repositories. RESULTS: Funding-normalized first-degree papers per $1M ranged from 689 (MIMIC) to 1 (All of Us), though these figures reflect total program investment, which included community engagement and biobanking for prospective cohorts in addition to data-curation costs. The citation amplification ratio was consistent across these four repositories (9.3-11.5x). Author demographics differed significantly (p < 0.001): LMIC authorship ranged from 41.8% (MIMIC) to 4.3% (All of Us), while female authorship showed the opposite pattern, lowest for MIMIC (31.8%) and highest for All of Us (43.2%). Female authors were consistently underrepresented in senior (last-author) compared with first-author positions across all repositories. Differences in scope, design, and what funding covers limit direct comparisons. CONCLUSIONS: Open health data generates a consistent ~10x indirect citation amplification beyond its direct users, a ratio that held across repositories spanning over two orders of magnitude in funding. The large differences in funding-normalized output partly reflect structural differences between retrospective databases and prospective cohorts. Low-cost access combined with intentional community building attracted globally diverse research communities with LMIC investigators in intellectual leadership positions, while a persistent gender gap in senior authorship across all repositories reflects disciplinary and structural inequities that data access policies alone cannot address. Future evaluations of open data investments should examine who is producing research, from where, in what positions, and whether their participation translates into locally relevant knowledge production.",2026
3,41792199,2026 Mar 6,2026 Mar 6,Sci Rep,"['Elshami S', 'Abdel-Rahman ME', 'Abdul Rahim H', 'Mohamed Ibrahim MI', 'Awaisu A', 'Al-Khal A', 'Al Abdulla S', 'Al-Thani M', 'Dungan D', 'AbouGalala W', 'Mukhalalati B']",Mukhalalati B,A mixed methods assessment of disaster management perceptions among healthcare practitioners in Qatar.,16,1,,['English'],101563288,,2045-2322,['Journal Article'],PubMed - indexed for MEDLINE,epublish,"['41792199', 'PMC12988162', 'pmc-id: PMC12988162;', '10.1038/s41598-026-35518-1', '10.1038/s41598-026-35518-1']",10.1038/s41598-026-35518-1,"['2024/11/06 00:00', '2026/01/06 00:00', '2026/03/14 06:34', '2026/03/07 01:37', '2026/03/06 23:19', '2026/03/06 00:00']",[],1,78,Scientific reports,doi: 10.1038/s41598-026-35518-1,2026 Mar 6;16(1),"In response to the growing frequency and complexity of disasters, healthcare practitioners (HCPs) must be proficient in disaster management. Research on HCPs' perceptions of disaster management often lacks the comprehensive scope needed to address diverse healthcare challenges. This study aimed to assess HCPs' perceptions of their disaster management capabilities, focusing on their knowledge, attitudes, and practices, as well as their willingness to continue practicing during disasters. Additionally, it assessed organization-based management approaches and explored the opportunities and challenges associated with disaster prevention and control strategies. An explanatory mixed-methods approach guided by the Disaster Management Framework was followed. Quantitative data were collected through a self-reported questionnaire administered to a stratified random sample of 771 HCPs from various health organizations across Qatar. Of these, 436 responded (response rate: 56.5%), with 403 responses valid for the analysis. This sample exceeded the minimum required sample size (n = 379), which ensured adequate statistical power. Qualitative data were obtained through six online focus groups (FGs) conducted via Microsoft Teams with 41 purposively selected HCPs, ensuring representation of those with disaster response experience. Qualitative data were analyzed thematically, and data collection continued until thematic saturation was reached. Integration of qualitative and quantitative findings was conducted at the interpretation and reporting levels using a contiguous narrative approach, enabling complementary insights and enhancing the coherence and validity of findings. Quantitative data indicated good perceptions among HCPs concerning their knowledge (median [IQR] = 41 [34-44], Min-Max = 18-55), attitude (median [IQR] = 46 [43-50], Min-Max = 10-55), willingness to practice (median [IQR] = 23 [1-24], Min-Max = 6-30), and their organization-based management (median [IQR] = 43 [40-50], Min-Max = 10-50). However, they reported less frequent involvement in practical disaster management activities (median [IQR] = 31 [24-39], Min-Max = 2-50). Higher disaster management perceptions were significantly associated with prior disaster training, administrative roles, and experience during national emergencies, gender, years of experience, profession, and worksite (p < 0.05). Qualitative data emphasized the importance of practical training, mental health support, technological innovations, interdisciplinary collaboration, community engagement, and robust planning and leadership to strengthen disaster management and enhance public health outcomes. The findings suggest that healthcare organizations worldwide should prioritize proactive disaster readiness, continuous assessment, comprehensive support systems, adaptable protocols, and public engagement to enhance system-wide resilience, adaptability, and community partnership in disaster management.",2026
4,41724593,2026 Feb 22,2026 Feb 22,Pers Soc Psychol Bull,"['Lawson MA', 'Matz SC', 'Götz FM', 'Martin AE']",Martin AE,The Gendered Benefits of Communication Strategies: Women Leaders Are Less Effective but More Liked When They Use Prevention-Focused Language.,,,1461672261420854,['English'],7809042,0146-1672,1552-7433,['Journal Article'],PubMed - as supplied by publisher,aheadofprint,"['41724593', '10.1177/01461672261420854']",10.1177/01461672261420854,"['2026/02/23 01:34', '2026/02/23 01:34', '2026/02/22 21:32']",[],1,0,Personality & social psychology bulletin,doi: 10.1177/01461672261420854,2026 Feb 22;:1461672261420854,"Research has identified a double-bind for female leaders: When acting in line with gender stereotypes, they are viewed as more likeable but less competent. Here, we test the impact of using gender stereotypical language-characterized by more prevention-focused language (e.g., avoiding risks) and less promotion-focused language (e.g., seeking gains)-on U.S. governors' approval ratings during COVID-19 and their ability to promote effective social distancing behaviors. With a final dataset of 3,759 documents capturing governors' communication, a 13-week panel of Google mobility data containing 6,534 observations (Study 1), U.S. nationally representative survey data from 57,532 participants (Study 2), and 24,247 tweets (Study 3), we find that female governors who use less prevention-focused, stereotypical language in their communications are more effective at increasing compliance with social distancing measures but receive lower approval ratings. As such, women leaders' necessary approaches in crisis situations may undermine their sustainability in positions of power.",2026
5,41649033,2026 Apr,,Br J Soc Psychol,"['Derks B', 'Manzi F', 'van Laar C', 'Ellemers N']",Ellemers N,Don't rock the boat! Do men prefer women leaders who support the status quo?,65,2,e70053,['English'],8105534,0144-6665,2044-8309,['Journal Article'],PubMed - indexed for MEDLINE,ppublish,"['41649033', 'PMC12879291', 'pmc-id: PMC12879291;', '10.1111/bjso.70053']",10.1111/bjso.70053,"['2025/10/21 00:00', '2026/01/15 00:00', '2026/02/06 13:19', '2026/02/06 13:18', '2026/02/06 07:03', '2026/02/06 00:00']",[],1,93,The British journal of social psychology,doi: 10.1111/bjso.70053,2026 Apr;65(2):e70053,"Women remain underrepresented in leadership, particularly in traditionally masculine work settings. At the same time, the visibility of this imbalance has led to growing calls for diversifying leadership. This research examines how both men and women contribute to the preservation or disruption of gender inequality in masculine organizational contexts. Men remain the gatekeepers of change-deciding who rises to the top and under what conditions-while women face the strategic dilemma of fitting in by downplaying inequality (supporting the status quo, sometimes called 'queen bee behaviour') or 'rocking the boat' by advocating social change (challenging the status quo). Across five experimental studies (total N = 887), we examined how evaluators assessed male and female leadership candidates who either supported or challenged the status quo. Results revealed that although men favoured female over male candidates, they consistently preferred women who reinforced the status quo over those who advocated equality. By contrast, male candidates who supported the status quo were penalized, and female evaluators showed no such preferences. These findings highlight subtle mechanisms through which gendered power dynamics are maintained, underscoring both the strategic trade-offs women must navigate to advance and the conditional nature of men's support for gender equality.",2026
6,41625626,2025,2026 Jan 16,Front Sociol,"['Amandaria R', 'Darma R', 'Tamrin S', 'Rahmadanih R', 'Untari U']",Untari U,Gender dynamics in local organizations: enhancing community participation for sustainable rural development in Indonesia.,10,,1673863,['English'],101777459,,2297-7775,['Journal Article'],PubMed,,"['41625626', 'PMC12856942', 'pmc-id: PMC12856942;', '10.3389/fsoc.2025.1673863']",10.3389/fsoc.2025.1673863,"['2025/07/26 00:00', '2025/12/18 00:00', '2025/12/18 00:00', '2026/02/02 18:14', '2026/02/02 18:13', '2026/02/02 06:55', '2026/01/16 00:00']",[],1,87,Frontiers in sociology,doi: 10.3389/fsoc.2025.1673863,2025;10:1673863,"Gender continues to influence participation in rural governance and economic development. This study examines how gender roles influence participation and leadership in local development organizations (LDOs) and local economic organizations (LEOs) in Ampekale Village, South Sulawesi, Indonesia. Using a qualitative case study design that combined in-depth interviews, focus group discussions, and participant observation, this research draws on insights from 24 key informants (12 men and 10 women), including village officials, organizational leaders, women's groups, NGO facilitators, and community members. The data were thematically coded and analyzed to capture the dynamics of gendered participation. The results show that men dominate leadership and infrastructure planning within LDOs, whereas women's involvement is often symbolic and restricted to welfare and social concerns. In LEOs, women are increasingly active in small-scale enterprises such as crab and snack production. Although these roles are aligned with domestic responsibilities, they enhance household bargaining power and expand women's visibility in governance. Men continue to lead physically demanding production and procurement, but women contribute substantially to value addition, marketing, and household welfare. The findings indicate that entrenched cultural norms, unequal access to resources, and limited leadership opportunities constrain women's influence. To foster equitable rural development, gender-sensitive reforms, such as quotas, participatory budgeting, training, and leadership mentoring are essential.",2025
7,41595072,2026 Jan 16,2026 Jan 16,Behav Sci (Basel),"['Palanović A', 'Trojak N', 'Galić Z']",Galić Z,Up to You and up to Them-Achievement and Power Motives as Building Blocks of Leadership Potential and Overall Reputation.,16,1,,['English'],101576826,2076-328X,2076-328X,['Journal Article'],PubMed,epublish,"['41595072', 'PMC12837301', 'pmc-id: PMC12837301;', '10.3390/bs16010131', 'bs16010131']",10.3390/bs16010131,"['2025/11/04 00:00', '2025/12/27 00:00', '2026/01/12 00:00', '2026/01/28 07:48', '2026/01/28 07:47', '2026/01/28 01:05', '2026/01/16 00:00']",[],1,29,"Behavioral sciences (Basel, Switzerland)",doi: 10.3390/bs16010131,2026 Jan 16;16(1),"BACKGROUND: Building on socioanalytic theory and signaling theory, this study examined whether self-reported motives-representing individuals' identities-translate into reputational outcomes. Furthermore, drawing on role congruity theory, the study examined whether gender would moderate the strength of the relationship between the self-reported motives and reputational consequences. METHODS: We used a large sample of management students (N = 349) on which we collected self-reported achievement and power motives, and peer ratings (N = 508) of overall reputation and leadership potential. RESULTS: We found that (a) achievement motive was positively associated with leadership potential and overall reputation (including trustworthiness and competence); (b) power motive was positively associated with leadership potential; and (c) both motives were equally strong predictors of leadership potential, but only achievement motive was a significant predictor of overall reputation. Finally, in line with role congruity theory, we observed that the positive associations between both motives and leadership potential were stronger for male than for female students. However, for overall reputation, this applied only to the power motive, suggesting that gender affects how motivational signals are socially interpreted. CONCLUSIONS: These findings offer implications for future research and provide practical insights into talent identification, leadership development, and performance evaluation processes.",2026
8,41594976,2025 Dec 23,2025 Dec 23,Behav Sci (Basel),"['Phung V', 'Liu C', 'Luo Z']",Luo Z,Follower Ostracism and Micromanagement Leadership: The Roles of Power Threat and Gender.,16,1,,['English'],101576826,2076-328X,2076-328X,['Journal Article'],PubMed,epublish,"['41594976', 'PMC12837627', 'pmc-id: PMC12837627;', '10.3390/bs16010035', 'bs16010035']",10.3390/bs16010035,"['2025/10/27 00:00', '2025/12/19 00:00', '2025/12/22 00:00', '2026/01/28 07:48', '2026/01/28 07:47', '2026/01/28 01:05', '2025/12/23 00:00']",[],1,89,"Behavioral sciences (Basel, Switzerland)",doi: 10.3390/bs16010035,2025 Dec 23;16(1),"Workplace ostracism, a form of workplace harassment, delineates the experience of being excluded or ignored at work. Despite its covert nature, workplace ostracism elicits a unique pain that distinguishes it from other overt forms of harassment, such as bullying or undermining. While a growing body of literature has examined harassment directed at leaders (e.g., upward bullying), follower ostracism, in which leaders are excluded by their followers, has received relatively little attention. Drawing on Power-Dependence Theory, we conducted a multi-wave, time-lagged study (N = 137) to examine follower ostracism as an antecedent to destructive leadership, specifically micromanagement. The findings indicate that follower ostracism threatened leaders' power, which subsequently motivated leaders to engage in micromanagement as a means to reestablish their influence and authority. Moreover, female leaders experience greater power threats, and exhibit more micromanaging behaviors than their male counterparts. This study advances the theoretical understanding of workplace ostracism, destructive leadership, and gender roles. It also offers practical solutions for organizations and leaders to prevent and cope with the detrimental effects of exclusion by subordinates.",2025
9,41419244,2025 Dec 19,2025 Dec 19,BMJ Glob Health,"['Kalbarczyk A', 'Nakatabira M', 'Banchoff K', 'Ahmed I', 'Abdulkader S', 'Argefa TG', 'Jacobs C', 'Kuo H', 'Rabary M', 'Morgan R']",Morgan R,Exploring the perceived impact and influence of women leaders across sub-Saharan Africa on health policy and gender equity.,10,12,,['English'],101685275,2059-7908,2059-7908,['Journal Article'],PubMed - indexed for MEDLINE,epublish,"['41419244', 'PMC12716510', 'pmc-id: PMC12716510;', '10.1136/bmjgh-2025-021163', 'bmjgh-2025-021163']",10.1136/bmjgh-2025-021163,"['2025/07/11 00:00', '2025/11/26 00:00', '2025/12/20 00:42', '2025/12/20 00:41', '2025/12/19 21:03', '2025/12/19 00:00']",[],1,28,BMJ global health,doi: 10.1136/bmjgh-2025-021163,2025 Dec 19;10(12),"INTRODUCTION: Women make up a significant portion of the global health workforce but are under-represented in leadership roles. In sub-Saharan Africa (SSA), 70% of the health workforce is women, yet only 38% hold leadership positions in health ministries. This gap can lead to gender biases in health research and policymaking, perpetuating systemic gender biases. Despite these barriers, women leaders are making an impact globally. However, evidence of their impact is lacking. METHODS: We conducted an explanatory sequential mixed-methods study to identify perceptions of women leaders' influence and impact within the fields of reproductive, maternal, child and adolescent health and nutrition and immunisation across SSA. The study included a multicountry online survey with men and women leaders and key informant interviews with a subset of women leaders. Descriptive statistics were computed with SPSS, and thematic analysis was conducted using NVivo. RESULTS: 408 women and men leaders completed at least one section of the survey; 34 women leaders participated in key informant interviews. Women leaders are conducting their leadership differently, using identity-derived power and the power of the collective to influence health policy and programme change. They have unique access to communities and can build trust with marginalised groups. Women leaders also prioritise women-centric and neglected health issues, demonstrating ethical responsibility through transparency, commitment to inclusion, accountability and maximising impact with limited resources. CONCLUSION: The findings from this study underscore the critical role of women leaders in advancing health policy and gender equity across SSA. Women leaders' impact can be amplified and enhanced through targeted investments that strengthen enabling environments, foster allyship, champion gender integration activities implemented by women leaders and support their unique networks. Such investments will benefit women and adolescent girls and contribute to achieving broader public health goals and sustainable development.",2025
